Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-2000,16,16,16,16,1800,10.58
04-Jan-2000,15,15,15,15,4600,9.92
05-Jan-2000,15,16,15,15,10100,9.92
06-Jan-2000,NaN,NaN,NaN,15,0,9.92
07-Jan-2000,15.5,15.5,15.5,15.5,24000,10.25
10-Jan-2000,NaN,NaN,NaN,15.5,0,10.25
11-Jan-2000,15.75,15.75,15.75,15.75,2000,10.42
12-Jan-2000,15.9,16,15.9,16,1900,10.58
13-Jan-2000,16,16,16,16,5000,10.58
14-Jan-2000,15.9,15.9,15.9,15.9,200,10.52
18-Jan-2000,NaN,NaN,NaN,15.9,0,10.52
19-Jan-2000,16,16,16,16,4000,10.58
20-Jan-2000,NaN,NaN,NaN,16,0,10.58
21-Jan-2000,15.9,15.9,15.9,15.9,56000,10.52
24-Jan-2000,15.9,15.9,15.9,15.9,500,10.52
25-Jan-2000,NaN,NaN,NaN,15.9,0,10.52
26-Jan-2000,15,15,15,15,2000,9.92
27-Jan-2000,15.12,15.12,15.12,15.12,2000,10
28-Jan-2000,15.25,16.5,15,15,9700,9.92
31-Jan-2000,14.75,15.38,14.75,15.38,2000,10.17
01-Feb-2000,16,16,16,16,1000,10.58
02-Feb-2000,NaN,NaN,NaN,16,0,10.58
03-Feb-2000,NaN,NaN,NaN,16,0,10.58
04-Feb-2000,NaN,NaN,NaN,16,0,10.58
07-Feb-2000,NaN,NaN,NaN,16,0,10.58
08-Feb-2000,NaN,NaN,NaN,16,0,10.58
09-Feb-2000,14.75,15.25,14.75,15.25,2200,10.09
10-Feb-2000,NaN,NaN,NaN,15.25,0,10.09
11-Feb-2000,15.75,15.75,15.75,15.75,1500,10.42
14-Feb-2000,NaN,NaN,NaN,15.75,0,10.42
15-Feb-2000,NaN,NaN,NaN,15.75,0,10.42
16-Feb-2000,NaN,NaN,NaN,15.75,0,10.42
17-Feb-2000,NaN,NaN,NaN,15.75,0,10.42
18-Feb-2000,14.75,15.5,14.75,15.5,1200,10.25
22-Feb-2000,16,16,16,16,1000,10.58
23-Feb-2000,NaN,NaN,NaN,16,0,10.58
24-Feb-2000,15,16,15,16,36800,10.58
25-Feb-2000,16,16,15.5,16,1900,10.58
28-Feb-2000,16,16,16,16,400,10.58
29-Feb-2000,NaN,NaN,NaN,16,0,10.58
01-Mar-2000,NaN,NaN,NaN,16,0,10.58
02-Mar-2000,NaN,NaN,NaN,16,0,10.58
03-Mar-2000,NaN,NaN,NaN,16,0,10.58
06-Mar-2000,NaN,NaN,NaN,16,0,10.58
07-Mar-2000,14.75,14.75,14.75,14.75,100,9.76
08-Mar-2000,NaN,NaN,NaN,14.75,0,9.76
09-Mar-2000,NaN,NaN,NaN,14.75,0,9.76
10-Mar-2000,15.75,16,14.75,16,8800,10.58
13-Mar-2000,NaN,NaN,NaN,16,0,10.58
14-Mar-2000,16,16,16,16,300,10.58
15-Mar-2000,15,15,15,15,1000,9.92
16-Mar-2000,NaN,NaN,NaN,15,0,9.92
17-Mar-2000,NaN,NaN,NaN,15,0,9.92
20-Mar-2000,NaN,NaN,NaN,15,0,9.92
21-Mar-2000,15.25,15.75,15.25,15.75,8900,10.42
22-Mar-2000,15,15.75,15,15.75,10500,10.42
23-Mar-2000,NaN,NaN,NaN,15.75,0,10.42
24-Mar-2000,NaN,NaN,NaN,15.75,0,10.42
27-Mar-2000,NaN,NaN,NaN,15.75,0,10.42
28-Mar-2000,NaN,NaN,NaN,15.75,0,10.42
29-Mar-2000,16,16,16,16,5000,10.58
30-Mar-2000,15,15.5,15,15.5,2200,10.25
31-Mar-2000,15.5,15.5,15.5,15.5,100,10.25
03-Apr-2000,15.5,15.5,15.5,15.5,5200,10.25
04-Apr-2000,15,15.5,15,15.5,6700,10.25
05-Apr-2000,15,15,15,15,1500,9.92
06-Apr-2000,NaN,NaN,NaN,15,0,9.92
07-Apr-2000,14.75,15.5,14.5,15.44,23900,10.21
10-Apr-2000,NaN,NaN,NaN,15.44,0,10.21
11-Apr-2000,NaN,NaN,NaN,15.44,0,10.21
12-Apr-2000,15,15,15,15,200,9.92
13-Apr-2000,15,15,15,15,1200,9.92
14-Apr-2000,15,15,15,15,2200,9.92
17-Apr-2000,15,16,14.5,16,5800,10.58
18-Apr-2000,NaN,NaN,NaN,16,0,10.58
19-Apr-2000,15,16,14,16,3100,10.58
20-Apr-2000,14,16,14,15,7200,9.92
24-Apr-2000,NaN,NaN,NaN,15,0,9.92
25-Apr-2000,14,15,13,13,9300,8.6
26-Apr-2000,12.5,13.5,12.5,13.5,19400,8.93
27-Apr-2000,14.5,14.5,14.5,14.5,2000,9.59
28-Apr-2000,14,14,14,14,5100,9.26
01-May-2000,NaN,NaN,NaN,14,0,9.26
02-May-2000,12.5,15,12.5,15,6000,9.92
03-May-2000,NaN,NaN,NaN,15,0,9.92
04-May-2000,12.75,14,12.75,14,800,9.26
05-May-2000,13.98,13.98,13.98,13.98,400,9.25
08-May-2000,NaN,NaN,NaN,13.98,0,9.25
09-May-2000,12.5,12.5,12.5,12.5,300,8.27
10-May-2000,14,14,14,14,100,9.26
11-May-2000,NaN,NaN,NaN,14,0,9.26
12-May-2000,14,14,13.94,14,20000,9.26
15-May-2000,NaN,NaN,NaN,14,0,9.26
16-May-2000,NaN,NaN,NaN,14,0,9.26
17-May-2000,13.75,13.75,13.75,13.75,400,9.09
18-May-2000,12.5,14,12.5,14,400,9.26
19-May-2000,NaN,NaN,NaN,14,0,9.26
22-May-2000,13.75,13.75,13.75,13.75,4000,9.09
23-May-2000,13.75,13.75,13.75,13.75,6000,9.09
24-May-2000,12.5,13,12.5,12.5,6700,8.27
25-May-2000,12.5,12.5,12.5,12.5,69900,8.27
26-May-2000,12.5,12.75,12.5,12.5,12900,8.27
30-May-2000,12.5,12.5,12.5,12.5,3800,8.27
31-May-2000,12.5,12.5,12.5,12.5,500,8.27
01-Jun-2000,NaN,NaN,NaN,12.5,0,8.27
02-Jun-2000,12.75,12.75,12.75,12.75,2200,8.43
05-Jun-2000,NaN,NaN,NaN,12.75,0,8.43
06-Jun-2000,NaN,NaN,NaN,12.75,0,8.43
07-Jun-2000,12.94,13,12.94,13,29500,8.6
08-Jun-2000,13.75,13.75,13.75,13.75,500,9.09
09-Jun-2000,13.75,13.75,13.75,13.75,200,9.09
12-Jun-2000,13.75,13.75,13.75,13.75,4000,9.09
13-Jun-2000,13.75,14,13.75,14,500,9.26
14-Jun-2000,14,14,14,14,400,9.26
15-Jun-2000,14,14,14,14,300,9.26
16-Jun-2000,12.5,14,12.5,14,1600,9.26
19-Jun-2000,14,14,13.97,14,14500,9.26
20-Jun-2000,14,14,13.25,13.25,2900,8.76
21-Jun-2000,13.25,14,13.25,14,2800,9.26
22-Jun-2000,13.5,13.62,13.5,13.62,6900,9.01
23-Jun-2000,13.25,13.5,13,13.5,15400,8.93
26-Jun-2000,13.5,14,13.5,14,2000,9.26
27-Jun-2000,14,14,13.5,13.5,7300,8.93
28-Jun-2000,13.75,13.75,13.62,13.62,700,9.01
29-Jun-2000,13.75,13.75,13.5,13.75,3500,9.09
30-Jun-2000,13.75,14,13.75,14,10000,9.26
03-Jul-2000,14,14,14,14,7500,9.26
05-Jul-2000,13.5,13.5,13.5,13.5,10300,8.93
06-Jul-2000,13.75,13.75,13.5,13.5,800,8.93
07-Jul-2000,13.5,13.5,13.5,13.5,500,8.93
10-Jul-2000,13.5,13.5,13.5,13.5,2300,8.93
11-Jul-2000,13.25,13.25,13.25,13.25,1000,8.76
12-Jul-2000,13.25,13.38,13.25,13.38,1300,8.85
13-Jul-2000,13.5,13.5,13.38,13.38,200,8.85
14-Jul-2000,13.25,13.25,12.88,13,11200,8.6
17-Jul-2000,13,13,13,13,100,8.6
18-Jul-2000,13,13,13,13,100,8.6
19-Jul-2000,13,13,12.75,12.75,1000,8.43
20-Jul-2000,13,13,12.75,13,2900,8.6
21-Jul-2000,13,13,13,13,100,8.6
24-Jul-2000,13,13.5,12.88,13.38,28000,8.85
25-Jul-2000,13.38,13.38,13.38,13.38,400,8.85
26-Jul-2000,13,14.75,13,13.75,4700,9.09
27-Jul-2000,13.69,13.69,13.69,13.69,3500,9.06
28-Jul-2000,13,13.5,13,13.5,1000,8.93
31-Jul-2000,13,13.5,12.88,13.5,1800,8.93
01-Aug-2000,13.5,13.5,13.5,13.5,400,8.93
02-Aug-2000,13.5,13.5,13.38,13.38,3700,8.85
03-Aug-2000,NaN,NaN,NaN,13.38,0,8.85
04-Aug-2000,13.38,13.5,13.38,13.5,1200,8.93
