Date,Open,High,Low,Close,Volume,AdjClose
14-Apr-2008,13,13.25,12.68,13.15,250500,12.05
15-Apr-2008,13.4,14.5,13,14.35,640506,13.15
16-Apr-2008,14.51,15.75,14.5,15.3,216500,14.02
17-Apr-2008,15.28,15.8,15.2,15.6,239323,14.3
18-Apr-2008,16,16,15.45,15.9,122650,14.57
21-Apr-2008,15.68,15.68,15.16,15.62,85600,14.32
22-Apr-2008,15.43,16,15.42,15.84,160100,14.52
23-Apr-2008,16.2,16.2,15.02,15.02,608200,13.77
24-Apr-2008,15.06,16.5,14.85,16.37,1314446,15
25-Apr-2008,16.51,17.12,16.5,16.93,640019,15.52
28-Apr-2008,17,18.4,16.85,17.75,1273139,16.27
29-Apr-2008,17.63,17.63,16.59,17.08,370951,15.65
30-Apr-2008,17,17.55,16.58,17,471359,15.58
01-May-2008,16.8,17.47,16.5,17.23,274604,15.79
02-May-2008,17.36,17.42,16.96,17.16,295495,15.73
05-May-2008,17.2,17.85,17.06,17.48,260951,16.02
06-May-2008,17.26,17.67,17.06,17.12,193717,15.69
07-May-2008,15.7,17.19,15,16.9,800582,15.49
08-May-2008,16.86,16.86,16.44,16.58,202283,15.2
09-May-2008,16.41,17.36,16.28,17.32,191537,15.87
12-May-2008,17.31,17.39,16.81,16.96,183028,15.54
13-May-2008,16.95,16.95,16,16.65,81105,15.26
14-May-2008,16.66,17.78,16.66,17.17,185773,15.74
15-May-2008,17.09,17.4,16.59,17.02,126983,15.6
16-May-2008,17,17.27,16.88,17.21,196464,15.77
19-May-2008,17.24,17.24,16.67,16.77,186868,15.37
20-May-2008,16.41,16.66,16.23,16.53,468525,15.15
21-May-2008,16.63,16.88,16.22,16.39,123849,15.02
22-May-2008,16.39,16.8,16.36,16.5,165481,15.12
23-May-2008,16.3,16.3,15.9,15.96,127128,14.63
27-May-2008,15.93,16.09,15.68,16,135368,14.66
28-May-2008,16.01,16.84,15.5,16.82,257496,15.42
29-May-2008,16.8,17.17,16.8,17,201320,15.58
