Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.34,1.3,1.34,20800,0.57
04-Jan-1978,0,1.36,1.31,1.34,28800,0.57
05-Jan-1978,0,1.34,1.33,1.34,25600,0.57
06-Jan-1978,0,1.34,1.33,1.33,8000,0.57
09-Jan-1978,0,1.33,1.27,1.27,24800,0.54
10-Jan-1978,0,1.28,1.27,1.28,11200,0.55
11-Jan-1978,0,1.39,1.3,1.39,92800,0.59
12-Jan-1978,0,1.38,1.36,1.36,68800,0.58
13-Jan-1978,0,1.38,1.38,1.38,21600,0.59
16-Jan-1978,0,1.41,1.36,1.39,36000,0.59
17-Jan-1978,0,1.42,1.39,1.39,23200,0.59
18-Jan-1978,0,1.41,1.41,1.41,2400,0.6
19-Jan-1978,0,1.42,1.41,1.41,19200,0.6
20-Jan-1978,0,1.44,1.42,1.42,41600,0.61
23-Jan-1978,0,1.44,1.42,1.44,8800,0.62
24-Jan-1978,0,1.44,1.42,1.44,15200,0.62
25-Jan-1978,0,1.44,1.42,1.44,4800,0.62
26-Jan-1978,0,1.44,1.41,1.41,5600,0.6
27-Jan-1978,0,1.39,1.38,1.38,7200,0.59
30-Jan-1978,0,1.39,1.38,1.38,15200,0.59
31-Jan-1978,0,1.36,1.36,1.36,4000,0.58
01-Feb-1978,0,1.36,1.34,1.34,10400,0.57
02-Feb-1978,0,1.36,1.34,1.34,7200,0.57
03-Feb-1978,0,1.38,1.36,1.38,8000,0.59
06-Feb-1978,0,1.38,1.34,1.34,11200,0.57
07-Feb-1978,0,1.34,1.34,1.34,10400,0.57
08-Feb-1978,0,1.33,1.31,1.31,1600,0.56
09-Feb-1978,0,1.31,1.25,1.25,16800,0.53
10-Feb-1978,0,1.27,1.27,1.27,4800,0.54
13-Feb-1978,0,1.3,1.28,1.3,14400,0.56
14-Feb-1978,0,1.28,1.28,1.28,8000,0.55
15-Feb-1978,0,1.3,1.27,1.3,5600,0.56
16-Feb-1978,0,1.3,1.28,1.3,3200,0.56
17-Feb-1978,0,1.3,1.27,1.27,4000,0.54
21-Feb-1978,0,1.27,1.27,1.27,1600,0.54
