Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2003,NaN,5.33,5.25,5.3,6800,5.3
03-Jan-2003,NaN,5.36,5.32,5.32,22500,5.32
06-Jan-2003,NaN,5.41,5.3,5.41,9500,5.41
07-Jan-2003,NaN,5.4,5.31,5.35,5500,5.35
08-Jan-2003,NaN,5.39,5.3,5.3,5210,5.3
09-Jan-2003,NaN,5.39,5.31,5.39,6600,5.39
10-Jan-2003,NaN,5.53,5.35,5.35,6500,5.35
13-Jan-2003,NaN,5.55,5.4,5.51,5700,5.51
14-Jan-2003,NaN,5.6,5.35,5.47,10800,5.47
16-Jan-2003,NaN,5.69,5.4,5.69,11200,5.69
17-Jan-2003,NaN,5.75,5.4,5.75,8600,5.75
21-Jan-2003,NaN,5.75,5.68,5.75,3900,5.75
22-Jan-2003,NaN,5.82,5.7,5.7,14600,5.7
23-Jan-2003,NaN,5.75,5.51,5.51,5200,5.51
24-Jan-2003,NaN,5.75,5.52,5.7,12300,5.7
27-Jan-2003,NaN,5.7,5.61,5.62,1700,5.62
28-Jan-2003,NaN,5.7,5.57,5.7,13300,5.7
29-Jan-2003,NaN,5.67,5.61,5.61,19800,5.61
30-Jan-2003,NaN,5.7,5.62,5.62,8900,5.62
31-Jan-2003,NaN,5.7,5.62,5.68,5800,5.68
03-Feb-2003,NaN,5.81,5.7,5.74,29400,5.74
04-Feb-2003,NaN,5.75,5.65,5.75,12500,5.75
05-Feb-2003,NaN,5.85,5.63,5.63,18700,5.63
06-Feb-2003,NaN,5.86,5.63,5.72,12200,5.72
07-Feb-2003,NaN,5.72,5.55,5.64,19400,5.64
10-Feb-2003,NaN,5.69,5.61,5.66,6600,5.66
11-Feb-2003,NaN,5.68,5.62,5.63,11400,5.63
12-Feb-2003,NaN,5.68,5.63,5.64,10100,5.64
13-Feb-2003,NaN,5.68,5.57,5.68,12100,5.68
14-Feb-2003,NaN,5.68,5.58,5.59,11800,5.59
18-Feb-2003,NaN,5.67,5.58,5.65,33700,5.65
19-Feb-2003,NaN,5.66,5.55,5.55,11900,5.55
20-Feb-2003,NaN,5.69,5.51,5.69,7100,5.69
21-Feb-2003,NaN,5.7,5.6,5.64,17700,5.64
24-Feb-2003,NaN,5.86,5.62,5.8,29500,5.8
25-Feb-2003,NaN,5.87,5.65,5.65,10900,5.65
26-Feb-2003,NaN,5.74,5.7,5.73,15100,5.73
27-Feb-2003,NaN,5.8,5.74,5.74,25500,5.74
28-Feb-2003,NaN,5.86,5.75,5.78,70100,5.78
03-Mar-2003,NaN,5.8,5.73,5.76,66200,5.76
04-Mar-2003,NaN,5.8,5.75,5.79,14000,5.79
05-Mar-2003,NaN,5.9,5.72,5.8,22800,5.8
06-Mar-2003,NaN,6,5.8,5.82,25400,5.82
07-Mar-2003,NaN,5.95,5.83,5.9,6000,5.9
10-Mar-2003,NaN,5.97,5.75,5.85,10700,5.85
11-Mar-2003,NaN,5.92,5.8,5.92,7805,5.92
12-Mar-2003,NaN,5.94,5.86,5.92,15900,5.92
13-Mar-2003,NaN,6,5.81,5.89,32700,5.89
14-Mar-2003,NaN,6,5.86,5.98,19100,5.98
17-Mar-2003,NaN,6,5.88,6,29800,6
18-Mar-2003,NaN,6.11,5.96,5.96,26200,5.96
19-Mar-2003,NaN,6.06,5.95,6.03,34200,6.03
20-Mar-2003,NaN,6.12,5.95,6.03,16700,6.03
21-Mar-2003,NaN,6.05,5.87,5.93,43300,5.93
24-Mar-2003,NaN,6,5.94,5.98,25300,5.98
25-Mar-2003,NaN,6.07,5.91,6.07,25300,6.07
26-Mar-2003,NaN,6.1,5.94,5.94,23500,5.94
27-Mar-2003,NaN,6.02,5.94,6,13200,6
28-Mar-2003,NaN,6.1,6,6.1,15700,6.1
31-Mar-2003,NaN,6.45,6.01,6.3,67700,6.3
01-Apr-2003,NaN,6.35,6.26,6.27,15200,6.27
02-Apr-2003,NaN,6.3,5.64,6.23,63600,6.23
03-Apr-2003,NaN,6.3,6.15,6.2,56190,6.2
04-Apr-2003,NaN,6.3,6,6.16,44850,6.16
07-Apr-2003,NaN,6.37,6.1,6.35,89700,6.35
08-Apr-2003,NaN,6.41,6.34,6.4,39743,6.4
09-Apr-2003,NaN,6.44,6.19,6.24,23400,6.24
10-Apr-2003,NaN,6.35,6.23,6.35,22700,6.35
11-Apr-2003,NaN,6.38,6.27,6.37,12300,6.37
14-Apr-2003,NaN,6.4,6.36,6.4,22790,6.4
15-Apr-2003,NaN,6.48,6.4,6.46,25900,6.46
16-Apr-2003,NaN,6.48,6.3,6.41,15800,6.41
17-Apr-2003,NaN,6.49,6.44,6.46,15500,6.46
21-Apr-2003,NaN,6.5,6.3,6.48,17090,6.48
22-Apr-2003,NaN,6.49,6.36,6.49,35400,6.49
23-Apr-2003,NaN,6.52,6.49,6.49,32200,6.49
24-Apr-2003,NaN,6.69,6.5,6.65,48100,6.65
25-Apr-2003,NaN,6.65,6.61,6.65,17000,6.65
28-Apr-2003,NaN,6.95,6.45,6.87,86100,6.87
29-Apr-2003,NaN,7,6.77,6.89,30300,6.89
30-Apr-2003,NaN,7.26,6.9,7.26,101400,7.26
01-May-2003,NaN,7.74,7.2,7.36,87750,7.36
02-May-2003,NaN,7.5,7.4,7.4,47600,7.4
05-May-2003,NaN,7.7,7.4,7.54,87200,7.54
06-May-2003,NaN,7.63,7.5,7.63,74300,7.63
07-May-2003,NaN,7.8,7.63,7.8,57100,7.8
08-May-2003,NaN,8.06,7.72,7.97,154200,7.97
09-May-2003,NaN,8.2,7.84,7.9,91200,7.9
12-May-2003,NaN,8.14,7.88,8.03,62000,8.03
13-May-2003,NaN,8.35,8.05,8.24,105000,8.24
14-May-2003,NaN,8.5,8.16,8.5,96500,8.5
15-May-2003,NaN,8.69,8.47,8.65,88600,8.65
16-May-2003,NaN,9.24,8.03,8.95,184552,8.95
19-May-2003,NaN,9.11,8,9.04,148520,9.04
20-May-2003,NaN,9.21,8.97,9.2,124500,9.2
21-May-2003,NaN,9.25,8.6,8.8,109400,8.8
22-May-2003,NaN,9.1,8.62,8.92,116180,8.92
23-May-2003,NaN,9,8.65,8.9,38300,8.9
27-May-2003,NaN,9.1,8.78,9.02,104182,9.02
28-May-2003,NaN,9.04,8.65,8.7,60400,8.7
29-May-2003,NaN,9.24,8.6,9.19,109100,9.19
30-May-2003,NaN,9.24,8.9,9.18,69570,9.18
02-Jun-2003,NaN,9.4,9.03,9.4,149103,9.4
03-Jun-2003,NaN,9.55,8.85,9.55,86200,9.55
04-Jun-2003,NaN,9.52,8.95,9.5,78900,9.5
05-Jun-2003,NaN,9.58,9.35,9.58,80891,9.58
06-Jun-2003,NaN,9.6,9.35,9.59,55646,9.59
09-Jun-2003,NaN,9.52,8.9,9.3,52858,9.3
