Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,4.41,4.41,4.41,5501,0.66
04-Jan-1978,NaN,NaN,NaN,4.41,0,0.66
05-Jan-1978,NaN,NaN,NaN,4.41,0,0.66
06-Jan-1978,NaN,NaN,NaN,4.41,0,0.66
09-Jan-1978,NaN,NaN,NaN,4.41,0,0.66
10-Jan-1978,0,4.41,4.34,4.34,3301,0.65
11-Jan-1978,NaN,NaN,NaN,4.34,0,0.65
12-Jan-1978,0,4.34,4.34,4.34,1299,0.65
13-Jan-1978,0,4.34,4.34,4.34,101,0.65
16-Jan-1978,NaN,NaN,NaN,4.34,0,0.65
17-Jan-1978,0,4.41,4.34,4.41,6001,0.66
18-Jan-1978,0,4.44,4.44,4.44,101,0.66
19-Jan-1978,NaN,NaN,NaN,4.44,0,0.66
20-Jan-1978,NaN,NaN,NaN,4.44,0,0.66
23-Jan-1978,0,4.41,4.41,4.41,1498,0.66
24-Jan-1978,0,4.53,4.44,4.53,901,0.68
25-Jan-1978,0,4.25,4.22,4.22,901,0.63
26-Jan-1978,0,4.16,4.16,4.16,3999,0.62
27-Jan-1978,NaN,NaN,NaN,4.16,0,0.62
30-Jan-1978,NaN,NaN,NaN,4.16,0,0.62
31-Jan-1978,0,4.16,4.16,4.16,901,0.62
01-Feb-1978,0,4.19,4.16,4.16,1900,0.62
02-Feb-1978,0,4.16,4.16,4.16,101,0.62
03-Feb-1978,NaN,NaN,NaN,4.16,0,0.62
06-Feb-1978,0,4.19,4.19,4.19,101,0.63
07-Feb-1978,0,4.22,4.22,4.22,601,0.63
08-Feb-1978,NaN,NaN,NaN,4.22,0,0.63
09-Feb-1978,0,4.34,4.22,4.34,3601,0.65
10-Feb-1978,0,4.34,4.28,4.34,901,0.65
13-Feb-1978,0,4.34,4.34,4.34,601,0.65
14-Feb-1978,NaN,NaN,NaN,4.34,0,0.65
15-Feb-1978,0,4.34,4.34,4.34,3999,0.65
16-Feb-1978,NaN,NaN,NaN,4.34,0,0.65
17-Feb-1978,NaN,NaN,NaN,4.34,0,0.65
21-Feb-1978,NaN,NaN,NaN,4.34,0,0.65
22-Feb-1978,NaN,NaN,NaN,4.34,0,0.65
23-Feb-1978,0,4.34,4.34,4.34,101,0.65
24-Feb-1978,NaN,NaN,NaN,4.34,0,0.65
27-Feb-1978,0,4.28,4.28,4.28,101,0.64
28-Feb-1978,0,4.25,4.25,4.25,101,0.63
01-Mar-1978,0,4.28,4.28,4.28,1299,0.64
02-Mar-1978,0,4.34,4.34,4.34,101,0.65
03-Mar-1978,0,4.34,4.34,4.34,1299,0.65
06-Mar-1978,0,4.34,4.34,4.34,101,0.65
07-Mar-1978,NaN,NaN,NaN,4.34,0,0.65
08-Mar-1978,NaN,NaN,NaN,4.34,0,0.65
09-Mar-1978,0,4.34,4.34,4.34,1900,0.65
10-Mar-1978,NaN,NaN,NaN,4.34,0,0.65
13-Mar-1978,0,4.41,4.34,4.41,2700,0.66
14-Mar-1978,NaN,NaN,NaN,4.41,0,0.66
15-Mar-1978,NaN,NaN,NaN,4.41,0,0.66
16-Mar-1978,NaN,NaN,NaN,4.41,0,0.66
17-Mar-1978,NaN,NaN,NaN,4.41,0,0.66
20-Mar-1978,NaN,NaN,NaN,4.41,0,0.66
21-Mar-1978,0,4.34,4.28,4.28,901,0.64
22-Mar-1978,0,4.28,4.28,4.28,901,0.64
23-Mar-1978,NaN,NaN,NaN,4.28,0,0.64
27-Mar-1978,NaN,NaN,NaN,4.28,0,0.64
28-Mar-1978,NaN,NaN,NaN,4.28,0,0.64
29-Mar-1978,0,4.34,4.34,4.34,101,0.65
30-Mar-1978,0,4.34,4.34,4.34,101,0.65
31-Mar-1978,NaN,NaN,NaN,4.34,0,0.65
03-Apr-1978,0,4.41,4.41,4.41,101,0.66
04-Apr-1978,0,4.41,4.34,4.34,1299,0.65
05-Apr-1978,NaN,NaN,NaN,4.34,0,0.65
06-Apr-1978,0,4.34,4.34,4.34,101,0.65
07-Apr-1978,NaN,NaN,NaN,4.34,0,0.65
10-Apr-1978,0,4.34,4.34,4.34,4900,0.65
11-Apr-1978,0,4.34,4.34,4.34,101,0.65
12-Apr-1978,0,4.44,4.41,4.44,901,0.66
13-Apr-1978,0,4.34,4.34,4.34,6301,0.65
14-Apr-1978,0,4.44,4.44,4.44,2200,0.66
17-Apr-1978,0,4.44,4.44,4.44,601,0.66
18-Apr-1978,NaN,NaN,NaN,4.44,0,0.66
19-Apr-1978,0,4.44,4.44,4.44,1498,0.66
20-Apr-1978,0,4.44,4.44,4.44,1900,0.66
21-Apr-1978,0,4.47,4.41,4.47,4600,0.67
24-Apr-1978,NaN,NaN,NaN,4.47,0,0.67
25-Apr-1978,0,4.53,4.44,4.53,2700,0.68
26-Apr-1978,NaN,NaN,NaN,4.53,0,0.68
27-Apr-1978,NaN,NaN,NaN,4.53,0,0.68
28-Apr-1978,NaN,NaN,NaN,4.53,0,0.68
01-May-1978,NaN,NaN,NaN,4.53,0,0.68
02-May-1978,NaN,NaN,NaN,4.53,0,0.68
03-May-1978,NaN,NaN,NaN,4.53,0,0.68
04-May-1978,0,4.44,4.44,4.44,2700,0.66
05-May-1978,NaN,NaN,NaN,4.44,0,0.66
08-May-1978,NaN,NaN,NaN,4.44,0,0.66
09-May-1978,0,4.41,4.41,4.41,901,0.66
10-May-1978,NaN,NaN,NaN,4.41,0,0.66
11-May-1978,0,4.41,4.41,4.41,2700,0.66
12-May-1978,NaN,NaN,NaN,4.41,0,0.66
15-May-1978,NaN,NaN,NaN,4.41,0,0.66
16-May-1978,NaN,NaN,NaN,4.41,0,0.66
17-May-1978,NaN,NaN,NaN,4.41,0,0.66
18-May-1978,NaN,NaN,NaN,4.41,0,0.66
19-May-1978,0,4.41,4.41,4.41,901,0.66
22-May-1978,0,4.34,4.34,4.34,901,0.65
23-May-1978,0,4.34,4.34,4.34,601,0.65
24-May-1978,0,4.34,4.34,4.34,1498,0.65
25-May-1978,NaN,NaN,NaN,4.34,0,0.65
26-May-1978,0,4.34,4.34,4.34,901,0.65
30-May-1978,0,4.34,4.34,4.34,601,0.65
31-May-1978,0,4.34,4.34,4.34,1299,0.65
01-Jun-1978,NaN,NaN,NaN,4.34,0,0.65
02-Jun-1978,NaN,NaN,NaN,4.34,0,0.65
05-Jun-1978,0,4.34,4.34,4.34,3301,0.65
06-Jun-1978,0,4.44,4.34,4.34,1900,0.65
07-Jun-1978,NaN,NaN,NaN,4.34,0,0.65
08-Jun-1978,0,4.44,4.34,4.44,1900,0.66
09-Jun-1978,0,4.44,4.44,4.44,901,0.66
12-Jun-1978,NaN,NaN,NaN,4.44,0,0.66
13-Jun-1978,0,4.44,4.44,4.44,601,0.66
14-Jun-1978,0,4.44,4.44,4.44,101,0.66
15-Jun-1978,NaN,NaN,NaN,4.44,0,0.66
16-Jun-1978,0,4.44,4.34,4.44,2700,0.66
19-Jun-1978,0,4.44,4.44,4.44,1498,0.66
20-Jun-1978,0,4.44,4.44,4.44,901,0.66
21-Jun-1978,0,4.53,4.44,4.53,6001,0.68
22-Jun-1978,0,4.44,4.44,4.44,101,0.66
23-Jun-1978,NaN,NaN,NaN,4.44,0,0.66
26-Jun-1978,NaN,NaN,NaN,4.44,0,0.66
27-Jun-1978,0,4.47,4.44,4.47,601,0.67
28-Jun-1978,0,4.59,4.53,4.59,37300,0.68
29-Jun-1978,0,4.62,4.62,4.62,601,0.69
30-Jun-1978,NaN,NaN,NaN,4.62,0,0.69
03-Jul-1978,NaN,NaN,NaN,4.62,0,0.69
05-Jul-1978,NaN,NaN,NaN,4.62,0,0.69
06-Jul-1978,0,4.56,4.56,4.56,101,0.68
07-Jul-1978,NaN,NaN,NaN,4.56,0,0.68
10-Jul-1978,0,4.47,4.47,4.47,1498,0.67
11-Jul-1978,0,4.47,4.47,4.47,601,0.67
12-Jul-1978,NaN,NaN,NaN,4.47,0,0.67
