Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.3,0.3,0.3,2700,0.09
04-Jan-1978,0,0.3,0.3,0.3,5700,0.09
05-Jan-1978,0,0.3,0.29,0.3,4500,0.09
06-Jan-1978,0,0.29,0.29,0.29,4500,0.08
09-Jan-1978,0,0.33,0.3,0.33,16200,0.09
10-Jan-1978,0,0.31,0.29,0.3,21900,0.09
11-Jan-1978,0,0.33,0.31,0.33,4500,0.09
12-Jan-1978,0,0.31,0.31,0.31,300,0.09
13-Jan-1978,0,0.3,0.3,0.3,4500,0.09
16-Jan-1978,NaN,NaN,NaN,0.3,0,0.09
17-Jan-1978,NaN,NaN,NaN,0.3,0,0.09
18-Jan-1978,NaN,NaN,NaN,0.3,0,0.09
19-Jan-1978,NaN,NaN,NaN,0.3,0,0.09
20-Jan-1978,0,0.29,0.29,0.29,300,0.08
23-Jan-1978,NaN,NaN,NaN,0.29,0,0.08
24-Jan-1978,NaN,NaN,NaN,0.29,0,0.08
25-Jan-1978,0,0.29,0.29,0.29,3900,0.08
26-Jan-1978,0,0.29,0.29,0.29,5700,0.08
27-Jan-1978,NaN,NaN,NaN,0.29,0,0.08
30-Jan-1978,NaN,NaN,NaN,0.29,0,0.08
31-Jan-1978,NaN,NaN,NaN,0.29,0,0.08
01-Feb-1978,NaN,NaN,NaN,0.29,0,0.08
02-Feb-1978,NaN,NaN,NaN,0.29,0,0.08
03-Feb-1978,0,0.33,0.3,0.33,16200,0.09
06-Feb-1978,0,0.35,0.33,0.35,12600,0.1
07-Feb-1978,0,0.36,0.36,0.36,2700,0.1
08-Feb-1978,0,0.38,0.36,0.38,6600,0.11
09-Feb-1978,NaN,NaN,NaN,0.38,0,0.11
10-Feb-1978,0,0.44,0.38,0.42,30000,0.12
13-Feb-1978,0,0.4,0.39,0.39,4500,0.11
14-Feb-1978,0,0.38,0.38,0.38,300,0.11
15-Feb-1978,0,0.39,0.38,0.38,3900,0.11
16-Feb-1978,0,0.4,0.36,0.4,16200,0.11
17-Feb-1978,0,0.4,0.4,0.4,2700,0.11
21-Feb-1978,0,0.4,0.38,0.38,2700,0.11
22-Feb-1978,0,0.39,0.39,0.39,1800,0.11
23-Feb-1978,NaN,NaN,NaN,0.39,0,0.11
24-Feb-1978,0,0.39,0.39,0.39,300,0.11
27-Feb-1978,0,0.39,0.39,0.39,4500,0.11
28-Feb-1978,0,0.38,0.35,0.35,5700,0.1
01-Mar-1978,0,0.36,0.36,0.36,2700,0.1
02-Mar-1978,NaN,NaN,NaN,0.36,0,0.1
03-Mar-1978,0,0.35,0.33,0.33,8100,0.09
06-Mar-1978,0,0.36,0.35,0.36,4500,0.1
07-Mar-1978,NaN,NaN,NaN,0.36,0,0.1
08-Mar-1978,NaN,NaN,NaN,0.36,0,0.1
09-Mar-1978,0,0.38,0.35,0.38,6600,0.11
10-Mar-1978,NaN,NaN,NaN,0.38,0,0.11
13-Mar-1978,NaN,NaN,NaN,0.38,0,0.11
14-Mar-1978,0,0.36,0.36,0.36,1800,0.1
15-Mar-1978,NaN,NaN,NaN,0.36,0,0.1
16-Mar-1978,0,0.35,0.35,0.35,300,0.1
17-Mar-1978,0,0.38,0.36,0.38,4500,0.11
20-Mar-1978,0,0.39,0.39,0.39,1800,0.11
21-Mar-1978,0,0.38,0.38,0.38,300,0.11
22-Mar-1978,NaN,NaN,NaN,0.38,0,0.11
23-Mar-1978,0,0.39,0.39,0.39,2700,0.11
27-Mar-1978,0,0.38,0.36,0.38,5700,0.11
28-Mar-1978,NaN,NaN,NaN,0.38,0,0.11
29-Mar-1978,0,0.39,0.39,0.39,26100,0.11
30-Mar-1978,0,0.38,0.38,0.38,300,0.11
31-Mar-1978,NaN,NaN,NaN,0.38,0,0.11
03-Apr-1978,NaN,NaN,NaN,0.38,0,0.11
04-Apr-1978,0,0.39,0.38,0.38,1800,0.11
05-Apr-1978,0,0.38,0.38,0.38,1800,0.11
06-Apr-1978,NaN,NaN,NaN,0.38,0,0.11
07-Apr-1978,0,0.39,0.38,0.39,4500,0.11
10-Apr-1978,0,0.44,0.43,0.44,40500,0.13
11-Apr-1978,0,0.44,0.43,0.43,1800,0.12
12-Apr-1978,0,0.43,0.43,0.43,300,0.12
13-Apr-1978,0,0.45,0.42,0.45,12000,0.13
14-Apr-1978,0,0.48,0.46,0.46,16200,0.13
17-Apr-1978,0,0.46,0.44,0.46,10800,0.13
18-Apr-1978,0,0.48,0.45,0.48,24600,0.14
19-Apr-1978,0,0.48,0.46,0.48,16500,0.14
20-Apr-1978,0,0.52,0.5,0.51,35100,0.15
21-Apr-1978,0,0.48,0.48,0.48,12600,0.14
24-Apr-1978,0,0.48,0.48,0.48,13800,0.14
25-Apr-1978,0,0.48,0.46,0.46,2700,0.13
26-Apr-1978,0,0.48,0.46,0.48,18000,0.14
27-Apr-1978,0,0.48,0.44,0.46,13800,0.13
28-Apr-1978,0,0.48,0.45,0.48,12600,0.14
01-May-1978,0,0.48,0.48,0.48,300,0.14
02-May-1978,0,0.48,0.48,0.48,12000,0.14
03-May-1978,0,0.5,0.48,0.5,22800,0.14
04-May-1978,0,0.48,0.48,0.48,8100,0.14
05-May-1978,0,0.48,0.46,0.48,13800,0.14
08-May-1978,0,0.48,0.48,0.48,5700,0.14
09-May-1978,0,0.48,0.48,0.48,1800,0.14
10-May-1978,0,0.46,0.46,0.46,1800,0.13
11-May-1978,0,0.46,0.45,0.46,4500,0.13
12-May-1978,0,0.45,0.45,0.45,300,0.13
15-May-1978,0,0.44,0.44,0.44,8100,0.13
16-May-1978,0,0.45,0.44,0.45,1800,0.13
17-May-1978,NaN,NaN,NaN,0.45,0,0.13
18-May-1978,0,0.51,0.46,0.51,71400,0.15
19-May-1978,0,0.52,0.51,0.51,12000,0.15
22-May-1978,0,0.58,0.51,0.58,76800,0.17
23-May-1978,0,0.64,0.59,0.59,35100,0.17
24-May-1978,0,0.64,0.58,0.58,22800,0.17
25-May-1978,0,0.63,0.59,0.59,30900,0.17
26-May-1978,0,0.63,0.58,0.63,12000,0.18
30-May-1978,0,0.63,0.58,0.58,40500,0.17
31-May-1978,0,0.64,0.58,0.64,24300,0.18
01-Jun-1978,0,0.65,0.63,0.64,4500,0.18
02-Jun-1978,0,0.65,0.64,0.65,3900,0.19
05-Jun-1978,0,0.65,0.64,0.64,8100,0.18
06-Jun-1978,0,0.64,0.64,0.64,4500,0.18
07-Jun-1978,0,0.64,0.64,0.64,12000,0.18
08-Jun-1978,0,0.64,0.64,0.64,6600,0.18
09-Jun-1978,0,0.65,0.64,0.64,10800,0.18
12-Jun-1978,0,0.64,0.64,0.64,4500,0.18
13-Jun-1978,0,0.63,0.63,0.63,300,0.18
14-Jun-1978,NaN,NaN,NaN,0.63,0,0.18
15-Jun-1978,0,0.6,0.6,0.6,1800,0.17
16-Jun-1978,0,0.6,0.6,0.6,300,0.17
19-Jun-1978,0,0.59,0.59,0.59,12600,0.17
20-Jun-1978,0,0.58,0.58,0.58,300,0.17
21-Jun-1978,0,0.58,0.56,0.56,9900,0.16
22-Jun-1978,0,0.55,0.5,0.5,32700,0.14
