Date,Open,High,Low,Close,Volume,AdjClose
10-Oct-2014,17,18.43,15.89,17.28,7045090,17.28
13-Oct-2014,17.08,17.99,17.07,17.5,466906,17.5
14-Oct-2014,18.42,18.42,17.05,17.29,168022,17.29
15-Oct-2014,17,17.36,16.58,17.2,434939,17.2
16-Oct-2014,17.35,17.69,17,17.48,108542,17.48
17-Oct-2014,17.57,18.74,17.4,17.81,217104,17.81
20-Oct-2014,17.99,18.5,17.81,18.39,85556,18.39
21-Oct-2014,18.97,19.37,18.41,18.91,121334,18.91
22-Oct-2014,19.34,19.5,18.8,18.89,128475,18.89
23-Oct-2014,18.9,19.41,18.84,18.93,92079,18.93
24-Oct-2014,18.85,19.25,18.8,18.81,191755,18.81
27-Oct-2014,18.82,19.86,18.82,19.53,127285,19.53
28-Oct-2014,20,20,19.1,19.25,229697,19.25
29-Oct-2014,19.2,19.75,19,19.1,271270,19.1
30-Oct-2014,19,19.7,18.95,19.38,190899,19.38
31-Oct-2014,19.58,19.87,19.05,19.66,140727,19.66
03-Nov-2014,19.52,20.49,19.2,20.07,108884,20.07
04-Nov-2014,19.98,22.39,19.92,21.09,376374,21.09
05-Nov-2014,21.2,21.2,20.59,20.88,168084,20.88
06-Nov-2014,20.75,21.3,20.5,20.61,120430,20.61
07-Nov-2014,21,21.3,20.52,21.3,208827,21.3
10-Nov-2014,21.35,23.33,21.19,22.06,322726,22.06
11-Nov-2014,21.77,22.79,21.77,21.88,56621,21.88
12-Nov-2014,21.77,22.15,21.65,21.73,160438,21.73
13-Nov-2014,21.73,22.85,21.67,22.13,259839,22.13
14-Nov-2014,22.25,22.76,22,22.58,77317,22.58
17-Nov-2014,22.75,22.95,22.41,22.62,85125,22.62
18-Nov-2014,22.6,22.93,21.96,22.01,81938,22.01
19-Nov-2014,21.9,22.01,20.3,21.33,133406,21.33
20-Nov-2014,21.24,21.74,21.1,21.51,93385,21.51
21-Nov-2014,21.41,22.5,21.11,21.94,204114,21.94
24-Nov-2014,22.03,22.11,21.78,21.89,33638,21.89
25-Nov-2014,21.84,22.17,21.25,21.49,89155,21.49
26-Nov-2014,22.76,22.98,22.06,22.32,304728,22.32
28-Nov-2014,22.77,23.24,22.34,22.92,99617,22.92
01-Dec-2014,23.31,24.25,22.37,23,286250,23
02-Dec-2014,23.08,23.2,22.62,23.13,425182,23.13
03-Dec-2014,23.2,23.63,22.75,23.26,88562,23.26
04-Dec-2014,23.42,23.8,23.27,23.71,170298,23.71
05-Dec-2014,23.75,23.8,23.58,23.65,106158,23.65
08-Dec-2014,23.5,23.7,23,23.23,150999,23.23
09-Dec-2014,23.18,23.8,23,23.59,96582,23.59
10-Dec-2014,23.47,23.84,23.25,23.66,121948,23.66
11-Dec-2014,23.43,23.84,23.38,23.57,58303,23.57
12-Dec-2014,23.48,23.84,22.62,22.69,143486,22.69
15-Dec-2014,22.7,23.69,21.09,21.59,204752,21.59
16-Dec-2014,21.5,22.21,21.45,21.63,251428,21.63
17-Dec-2014,23,24.75,21.89,24.18,547141,24.18
18-Dec-2014,24.71,25.99,24.15,25.58,354565,25.58
19-Dec-2014,25.84,25.84,24.75,24.81,1195085,24.81
22-Dec-2014,24.75,25.64,24.6,25.57,146047,25.57
23-Dec-2014,25.6,25.9,24.8,25.83,192022,25.83
24-Dec-2014,25.75,26.56,25.5,25.66,72353,25.66
26-Dec-2014,25.65,26.5,25.01,26.26,94908,26.26
29-Dec-2014,26.21,27,26.19,26.83,122309,26.83
30-Dec-2014,26.69,27.02,26.5,26.95,91281,26.95
31-Dec-2014,26.95,27.61,26.65,27.3,234071,27.3
