Date,Open,High,Low,Close,Volume,AdjClose
19-Sep-1997,0,16.12,15.12,15.75,3815400,15.08
22-Sep-1997,0,16,15.38,15.62,560500,14.95
23-Sep-1997,0,16,15.38,15.62,190800,14.95
24-Sep-1997,0,15.88,15,15.38,457300,14.72
25-Sep-1997,0,15.62,15.25,15.56,274800,14.89
26-Sep-1997,0,15.62,15.25,15.38,286700,14.72
29-Sep-1997,0,15.12,14,14.12,295500,13.52
30-Sep-1997,0,14.5,14,14.5,246200,13.88
01-Oct-1997,0,14.5,14,14,300900,13.4
02-Oct-1997,0,14.25,13.88,14,379600,13.4
03-Oct-1997,0,14.25,14,14.25,367500,13.64
06-Oct-1997,0,14.12,14,14.12,111100,13.52
07-Oct-1997,0,14.19,14,14.06,134500,13.46
08-Oct-1997,0,14.5,14.06,14.25,76700,13.64
09-Oct-1997,0,14.25,14,14.12,241400,13.52
10-Oct-1997,0,14.12,13.75,13.75,310300,13.16
13-Oct-1997,0,13.75,12.88,13.38,217400,12.81
14-Oct-1997,0,9,7.44,7.53,4399800,7.21
15-Oct-1997,0,7.62,6.88,7,1079200,6.7
16-Oct-1997,0,7.06,6.25,6.62,699800,6.34
17-Oct-1997,0,6.56,6.12,6.38,173300,6.11
20-Oct-1997,0,6.75,6.38,6.5,244000,6.22
21-Oct-1997,0,7.12,6.5,6.62,418000,6.34
22-Oct-1997,0,6.75,6.44,6.44,256900,6.16
23-Oct-1997,0,6.5,5.94,6.19,135700,5.93
24-Oct-1997,0,6.44,6.06,6.38,118500,6.11
27-Oct-1997,0,6.38,5.12,5.12,302300,4.9
28-Oct-1997,0,6,4.5,5.69,340800,5.45
29-Oct-1997,0,5.75,5.5,5.56,43600,5.32
30-Oct-1997,0,6.19,5.38,6.19,163000,5.93
31-Oct-1997,0,6.25,5.97,6,59100,5.74
03-Nov-1997,0,6.25,6,6.12,42700,5.86
04-Nov-1997,0,6.19,5.88,5.94,73100,5.69
05-Nov-1997,0,6.25,5.88,6,47300,5.74
06-Nov-1997,0,6.88,6,6.62,111600,6.34
07-Nov-1997,0,6.62,6.25,6.5,57700,6.22
10-Nov-1997,0,6.62,6,6,61600,5.74
11-Nov-1997,0,6.12,6,6.12,8700,5.86
12-Nov-1997,0,6.25,5.81,5.81,28400,5.56
13-Nov-1997,0,6,5.75,5.75,23100,5.5
14-Nov-1997,0,5.88,5.62,5.62,9700,5.38
17-Nov-1997,0,5.88,5.62,5.69,17700,5.45
18-Nov-1997,0,5.88,5.62,5.62,27300,5.38
19-Nov-1997,0,6,5.38,5.5,145900,5.26
20-Nov-1997,0,5.81,5.38,5.5,262700,5.26
21-Nov-1997,0,5.5,5.25,5.25,138500,5.03
24-Nov-1997,0,5.31,4.88,4.94,47800,4.73
25-Nov-1997,0,5,4.69,4.69,98200,4.49
26-Nov-1997,0,4.81,4.69,4.75,103000,4.55
28-Nov-1997,0,5,4.69,5,118300,4.79
01-Dec-1997,0,5,4.88,4.94,31800,4.73
02-Dec-1997,0,4.94,4.81,4.81,171700,4.6
03-Dec-1997,0,5,4.81,4.84,85400,4.63
04-Dec-1997,0,5,4.88,4.94,171300,4.73
05-Dec-1997,0,5.25,4.84,5.19,193500,4.97
08-Dec-1997,0,5.88,5.19,5.62,127100,5.38
09-Dec-1997,0,5.69,5.38,5.5,78800,5.26
10-Dec-1997,0,5.56,5.12,5.12,90900,4.9
11-Dec-1997,0,5.12,4.75,4.94,23400,4.73
12-Dec-1997,0,5.12,4.88,4.94,76000,4.73
15-Dec-1997,0,5,4.81,4.94,13300,4.73
16-Dec-1997,0,5,4.81,4.88,53300,4.67
17-Dec-1997,0,5,4.81,4.81,62100,4.6
18-Dec-1997,0,4.81,4.5,4.5,32600,4.31
19-Dec-1997,0,4.56,4.38,4.44,104500,4.25
22-Dec-1997,0,5.19,4.44,4.81,146000,4.6
23-Dec-1997,0,4.94,4.62,4.69,107000,4.49
24-Dec-1997,0,4.75,4.69,4.69,25600,4.49
26-Dec-1997,0,4.81,4.69,4.75,60700,4.55
29-Dec-1997,0,4.81,4.69,4.69,124600,4.49
30-Dec-1997,0,4.78,4.69,4.75,221700,4.55
31-Dec-1997,0,5.25,4.72,5.12,193900,4.9
02-Jan-1998,0,5.12,4.94,5.06,17600,4.84
05-Jan-1998,0,5.38,5.12,5.38,58500,5.15
06-Jan-1998,0,5.69,5.38,5.62,29200,5.38
07-Jan-1998,0,5.88,5.62,5.75,34200,5.5
08-Jan-1998,0,6.12,5.81,6.12,105800,5.86
09-Jan-1998,0,6.38,6,6.38,78100,6.11
12-Jan-1998,0,6.44,6.25,6.38,51700,6.11
13-Jan-1998,0,6.5,6,6,40000,5.74
14-Jan-1998,0,6.38,6,6.22,32000,5.95
15-Jan-1998,0,6.38,6.19,6.25,48100,5.98
16-Jan-1998,0,6.25,6.22,6.22,32600,5.95
20-Jan-1998,0,6.62,6.31,6.5,90000,6.22
21-Jan-1998,0,7.12,6.5,6.88,131000,6.59
22-Jan-1998,0,7.75,6.88,7.38,300100,7.06
23-Jan-1998,0,7.56,7.38,7.44,167200,7.12
26-Jan-1998,0,7.88,7.25,7.25,247600,6.94
27-Jan-1998,0,7.19,7,7.12,138700,6.82
28-Jan-1998,0,7.44,7,7.31,84000,7
29-Jan-1998,0,7.31,7.25,7.25,31000,6.94
30-Jan-1998,0,7.38,7.25,7.31,48400,7
02-Feb-1998,0,7.56,7.25,7.56,96700,7.24
03-Feb-1998,0,7.75,7.5,7.56,89300,7.24
04-Feb-1998,0,8.12,7.75,8.12,306300,7.77
05-Feb-1998,0,8.12,7.5,7.75,482500,7.42
06-Feb-1998,0,7.75,7.5,7.5,84700,7.18
09-Feb-1998,0,7.75,7.5,7.62,54200,7.29
10-Feb-1998,0,7.88,7.62,7.69,56200,7.36
11-Feb-1998,0,7.75,7.5,7.56,66600,7.24
12-Feb-1998,0,7.62,7.5,7.62,33300,7.29
13-Feb-1998,0,7.62,7.5,7.56,17500,7.24
17-Feb-1998,0,7.62,7.5,7.62,31200,7.29
18-Feb-1998,0,7.56,7.44,7.5,28100,7.18
19-Feb-1998,0,7.5,7.12,7.12,95400,6.82
20-Feb-1998,0,7.38,7.12,7.12,4700,6.82
23-Feb-1998,0,7.25,7.06,7.25,8700,6.94
24-Feb-1998,0,7.38,7,7.25,26100,6.94
25-Feb-1998,0,7.5,7.12,7.12,34300,6.82
26-Feb-1998,0,7.25,7.12,7.25,17900,6.94
27-Feb-1998,0,7.38,7.12,7.19,13400,6.88
02-Mar-1998,0,7.5,7.25,7.5,52600,7.18
03-Mar-1998,0,7.5,7.12,7.12,64100,6.82
04-Mar-1998,0,7.5,7.25,7.25,16000,6.94
05-Mar-1998,0,7.5,7.12,7.25,17800,6.94
06-Mar-1998,0,7.5,7.19,7.44,35100,7.12
09-Mar-1998,0,7.62,7.38,7.5,35400,7.18
10-Mar-1998,0,8.44,7.81,8.06,507000,7.72
11-Mar-1998,0,8.38,7.88,8,74700,7.66
12-Mar-1998,0,8.12,7.5,7.5,29100,7.18
13-Mar-1998,0,8.25,7.38,8,171400,7.66
16-Mar-1998,0,8.88,8.06,8.88,120200,8.5
17-Mar-1998,0,9.09,8.19,8.19,105500,7.84
18-Mar-1998,0,8.44,8.25,8.44,23800,8.08
19-Mar-1998,0,8.44,8.25,8.25,65900,7.9
20-Mar-1998,0,8.31,8.12,8.25,29900,7.9
23-Mar-1998,0,8.5,8.19,8.31,31400,7.95
24-Mar-1998,0,8.59,8.25,8.38,33600,8.02
25-Mar-1998,0,8.5,8.38,8.5,10000,8.14
26-Mar-1998,0,8.56,8.5,8.5,12200,8.14
27-Mar-1998,0,8.78,8.62,8.62,11900,8.25
30-Mar-1998,0,9.5,8.88,9.06,211400,8.67
31-Mar-1998,0,9.25,8.62,9,77300,8.62
01-Apr-1998,0,9.12,8.88,8.88,47800,8.5
02-Apr-1998,0,9.12,8.88,9,55400,8.62
03-Apr-1998,0,9.06,8.75,8.75,42300,8.38
06-Apr-1998,0,9,8.38,8.56,387800,8.19
07-Apr-1998,0,8.5,8.12,8.12,36400,7.77
08-Apr-1998,0,8.44,8,8.34,91600,7.98
09-Apr-1998,0,8.56,8.44,8.56,50100,8.19
13-Apr-1998,0,8.5,7.88,8.19,45700,7.84
14-Apr-1998,0,8.38,8,8.38,53700,8.02
15-Apr-1998,0,8.88,8.5,8.62,31100,8.25
16-Apr-1998,0,8.75,8.5,8.5,23300,8.14
17-Apr-1998,0,8.81,8.5,8.81,10400,8.43
