Date,Open,High,Low,Close,Volume,AdjClose
12-Dec-1997,0,4.38,4.06,4.06,4442400,3.8
15-Dec-1997,0,4.12,4,4,1415000,3.75
16-Dec-1997,0,4.22,4,4.19,657800,3.92
17-Dec-1997,0,4.38,4.06,4.19,622800,3.92
18-Dec-1997,0,4.25,4,4.19,621200,3.92
19-Dec-1997,0,4.31,4.12,4.31,232000,4.04
22-Dec-1997,0,4.53,4.19,4.44,129000,4.16
23-Dec-1997,0,4.5,4.38,4.44,201800,4.16
24-Dec-1997,0,4.5,4.44,4.44,6000,4.16
26-Dec-1997,0,4.56,4.44,4.56,26600,4.27
29-Dec-1997,0,4.69,4.44,4.5,45200,4.21
30-Dec-1997,0,4.62,4.44,4.44,9200,4.16
31-Dec-1997,0,4.75,4.44,4.62,153400,4.33
02-Jan-1998,0,4.75,4.62,4.75,33200,4.45
05-Jan-1998,0,4.75,4.47,4.69,88400,4.39
06-Jan-1998,0,4.75,4.5,4.69,445000,4.39
07-Jan-1998,0,5.06,4.62,4.78,809800,4.48
08-Jan-1998,0,5.19,4.75,5.06,262400,4.74
09-Jan-1998,0,5.19,4.69,4.84,527000,4.53
12-Jan-1998,0,4.88,4.69,4.88,150000,4.57
13-Jan-1998,0,5.19,4.94,5.12,210400,4.8
14-Jan-1998,0,5.19,4.94,5.06,127800,4.74
15-Jan-1998,0,5.12,5,5,149400,4.68
16-Jan-1998,0,5.06,4.88,4.88,664200,4.57
20-Jan-1998,0,5.19,4.88,5.12,638800,4.8
21-Jan-1998,0,6.06,5.25,6.03,1372600,5.65
22-Jan-1998,0,5.94,5.62,5.75,595800,5.39
23-Jan-1998,0,6.5,5.53,5.62,1536800,5.26
26-Jan-1998,0,5.69,5.19,5.25,921600,4.92
27-Jan-1998,0,5.44,5.19,5.38,893600,5.04
28-Jan-1998,0,5.81,5.38,5.69,798600,5.33
29-Jan-1998,0,6.44,5.69,6.06,898400,5.68
30-Jan-1998,0,6.25,6.06,6.12,109200,5.73
02-Feb-1998,0,6.5,6.12,6.25,542200,5.85
03-Feb-1998,0,6.38,6,6.06,263000,5.68
04-Feb-1998,0,6.12,6.06,6.06,190400,5.68
05-Feb-1998,0,6.69,6.06,6.5,678400,6.09
06-Feb-1998,0,6.62,6.31,6.41,303200,6
09-Feb-1998,0,6.5,6.25,6.31,169600,5.91
10-Feb-1998,0,6.38,6.12,6.19,196000,5.8
11-Feb-1998,0,7.06,6.19,7,861000,6.56
12-Feb-1998,0,7.06,6.62,7,670200,6.56
13-Feb-1998,0,7.25,6.94,7.09,281600,6.64
17-Feb-1998,0,7.62,7.12,7.12,1049800,6.67
18-Feb-1998,0,7.25,6.78,6.88,387000,6.44
19-Feb-1998,0,6.94,6.62,6.81,511800,6.38
20-Feb-1998,0,6.97,6.81,6.84,525200,6.41
23-Feb-1998,0,7,6.75,6.91,390400,6.47
24-Feb-1998,0,7,6.84,6.88,178600,6.44
25-Feb-1998,0,6.94,6.75,6.81,327000,6.38
26-Feb-1998,0,6.81,6.31,6.44,646800,6.03
27-Feb-1998,0,6.62,6.44,6.53,127800,6.12
02-Mar-1998,0,6.53,6.38,6.44,165600,6.03
03-Mar-1998,0,6.5,6.31,6.44,95800,6.03
04-Mar-1998,0,6.44,6.12,6.31,274600,5.91
05-Mar-1998,0,6.28,5.88,6,294800,5.62
06-Mar-1998,0,6,5.5,5.81,250800,5.44
09-Mar-1998,0,5.88,5.5,5.62,386000,5.26
10-Mar-1998,0,6.09,5.62,6.03,318400,5.65
11-Mar-1998,0,6.19,5.81,5.94,137600,5.56
12-Mar-1998,0,6.06,5.69,5.94,78800,5.56
13-Mar-1998,0,6.09,5.75,5.81,121400,5.44
16-Mar-1998,0,5.88,5.38,5.81,243600,5.44
17-Mar-1998,0,6.06,5.69,6.06,201400,5.68
18-Mar-1998,0,6.31,5.81,6.31,167800,5.91
19-Mar-1998,0,6.56,6.22,6.44,105000,6.03
20-Mar-1998,0,6.5,6.25,6.47,109600,6.06
23-Mar-1998,0,6.44,6.17,6.25,181400,5.85
24-Mar-1998,0,6.31,6.19,6.19,96400,5.8
25-Mar-1998,0,6.34,5.94,5.94,31200,5.56
26-Mar-1998,0,6.75,6,6.44,114600,6.03
27-Mar-1998,0,6.62,6.31,6.56,98800,6.14
30-Mar-1998,0,6.56,6.38,6.5,83800,6.09
31-Mar-1998,0,6.88,6.53,6.62,169600,6.2
01-Apr-1998,0,7.12,6.56,6.75,242400,6.32
02-Apr-1998,0,6.81,6.44,6.56,241000,6.14
03-Apr-1998,0,6.88,6.5,6.81,330400,6.38
06-Apr-1998,0,7.12,6.81,6.94,284400,6.5
07-Apr-1998,0,7,6.69,6.75,240400,6.32
08-Apr-1998,0,6.88,6.62,6.75,106800,6.32
