Date,Open,High,Low,Close,Volume,AdjClose
02-Oct-2013,26.25,27.97,25.4,27,13845246,24.61
03-Oct-2013,27.13,31.08,27,30.21,2456362,27.54
04-Oct-2013,30.92,33.54,30.4,31.65,1998018,28.85
07-Oct-2013,31.1,31.42,30.02,30.83,460316,28.11
08-Oct-2013,30.51,30.64,28.08,28.5,1101650,25.98
09-Oct-2013,28.5,29.42,27.75,28.99,367859,26.43
10-Oct-2013,30,30.36,29.58,29.78,262730,27.15
11-Oct-2013,30.1,30.1,28.82,29.37,131966,26.77
14-Oct-2013,28.82,29.95,28.56,29.86,179573,27.22
15-Oct-2013,30.1,30.1,29.48,29.84,209269,27.2
16-Oct-2013,29.95,30.05,29.13,29.98,340605,27.33
17-Oct-2013,29.72,29.72,28.75,29.23,247942,26.65
18-Oct-2013,29.01,29.55,28.8,29.35,135160,26.76
21-Oct-2013,29.7,29.87,28.52,28.62,150170,26.09
22-Oct-2013,28.98,29.34,28.2,28.48,191535,25.96
23-Oct-2013,28.11,28.49,27.5,27.98,266569,25.51
24-Oct-2013,28,29.48,27.91,29.43,284266,26.83
25-Oct-2013,29.18,29.8,28.5,29.06,149176,26.49
28-Oct-2013,28.75,28.94,28.2,28.34,333612,25.84
29-Oct-2013,27.98,28.2,27.5,27.91,127757,25.44
30-Oct-2013,28,28,26.95,27.52,277206,25.09
31-Oct-2013,27.16,28.49,27,28.2,104684,25.71
01-Nov-2013,28.17,28.5,27.41,27.66,49952,25.22
04-Nov-2013,28.31,29.05,27.75,28.92,103558,26.36
05-Nov-2013,28.62,29.45,28.12,29.37,62117,26.77
06-Nov-2013,29.12,29.35,28.54,28.96,34045,26.4
07-Nov-2013,28.63,28.99,28.16,28.36,50508,25.85
08-Nov-2013,27.7,27.76,26.65,27.59,195578,25.15
11-Nov-2013,27.43,27.92,27,27.31,153944,24.9
12-Nov-2013,27.38,28,27.01,27.93,84133,25.46
13-Nov-2013,27.77,28.4,27.76,28.26,321596,25.76
14-Nov-2013,27.2,28.2,27.17,27.75,221588,25.3
15-Nov-2013,27.9,29.25,27.75,29.24,171492,26.66
18-Nov-2013,29.25,30.08,29.2,29.6,211347,26.98
19-Nov-2013,29.6,29.62,28.95,29.48,67029,26.88
20-Nov-2013,29.67,29.95,28.85,29.05,130524,26.48
21-Nov-2013,29.1,30.09,28.63,29.87,357037,27.23
22-Nov-2013,29.63,30.21,29.63,30.12,88827,27.46
25-Nov-2013,30,30.25,29.76,29.85,37706,27.21
26-Nov-2013,29.87,30.91,29.87,30.29,114695,27.61
27-Nov-2013,30.4,31.16,30.3,30.78,136581,28.06
29-Nov-2013,30.85,31.29,30.2,30.38,20105,27.7
02-Dec-2013,30.17,30.29,29.59,29.95,139416,27.3
03-Dec-2013,29.05,30.24,29.05,30.1,141290,27.44
04-Dec-2013,29.89,30.22,29.59,30,109097,27.35
05-Dec-2013,29.9,30.1,29.6,29.91,111460,27.27
06-Dec-2013,30.1,30.21,28.88,29,79598,26.44
09-Dec-2013,28.93,30.05,28.93,29.81,72735,27.18
10-Dec-2013,29.84,29.84,29.4,29.58,69971,26.97
11-Dec-2013,29.69,29.92,29.12,29.49,97444,26.88
12-Dec-2013,29.62,29.74,28.78,28.95,100296,26.39
13-Dec-2013,29.13,29.13,27.71,27.76,176575,25.31
16-Dec-2013,27.92,29.94,27.92,29.68,257817,27.06
17-Dec-2013,29.76,30,29.32,29.88,159766,27.24
18-Dec-2013,29.82,31.31,29.28,30.96,202408,28.22
19-Dec-2013,30.59,31,29.38,29.53,172284,26.92
20-Dec-2013,29.54,30.72,29.03,30.72,1389180,28.01
23-Dec-2013,30.9,32.7,30.7,32.19,162503,29.35
24-Dec-2013,32.15,32.49,31.72,32.29,24894,29.44
26-Dec-2013,32.52,32.74,31.19,31.77,82878,28.96
27-Dec-2013,31.84,32.7,31.32,32.56,69617,29.68
30-Dec-2013,32.52,32.77,31.75,31.86,48902,29.04
31-Dec-2013,31.9,32.54,31.78,32.07,91413,29.24
02-Jan-2014,31.99,32.23,31.58,32.18,78628,29.34
03-Jan-2014,32.17,32.33,31.79,32.1,51891,29.26
06-Jan-2014,31.88,32.05,30.68,31.03,91489,28.29
07-Jan-2014,31.06,31.36,30.64,31,66269,28.26
08-Jan-2014,31.07,31.1,30.61,30.83,86399,28.11
09-Jan-2014,31.01,31.21,30.3,30.92,50377,28.19
10-Jan-2014,31.03,31.49,30.8,31.11,77388,28.36
13-Jan-2014,31.12,31.12,30.03,30.51,46405,27.81
