Date,Open,High,Low,Close,Volume,AdjClose
05-Nov-1993,0,7.67,7.34,7.42,1037800,7.42
08-Nov-1993,0,7.59,7.34,7.59,153800,7.59
09-Nov-1993,0,7.59,7.34,7.34,77200,7.34
10-Nov-1993,0,7.75,7.34,7.5,75600,7.5
11-Nov-1993,0,7.75,7.5,7.67,24000,7.67
12-Nov-1993,0,7.75,7.5,7.59,48100,7.59
15-Nov-1993,0,7.75,7.34,7.34,264900,7.34
16-Nov-1993,0,7.59,7.34,7.34,34200,7.34
17-Nov-1993,0,7.59,7.34,7.34,85000,7.34
18-Nov-1993,0,7.59,7.34,7.34,55600,7.34
19-Nov-1993,0,7.59,7.34,7.5,385900,7.5
22-Nov-1993,0,7.59,7.34,7.34,59400,7.34
23-Nov-1993,0,7.59,7.42,7.59,30600,7.59
24-Nov-1993,0,7.59,7.34,7.59,26800,7.59
26-Nov-1993,0,7.59,7.59,7.59,300,7.59
29-Nov-1993,0,7.59,7.34,7.34,2500,7.34
30-Nov-1993,0,7.59,7.34,7.34,19600,7.34
01-Dec-1993,0,7.42,7.34,7.42,2400,7.42
02-Dec-1993,0,7.34,7.34,7.34,3400,7.34
03-Dec-1993,0,7.42,7.34,7.42,9700,7.42
06-Dec-1993,0,7.59,7.34,7.34,6100,7.34
07-Dec-1993,0,7.42,7.34,7.34,86400,7.34
08-Dec-1993,0,7.59,7.34,7.34,56100,7.34
09-Dec-1993,0,7.59,7.34,7.59,49200,7.59
10-Dec-1993,0,7.59,7.34,7.59,13600,7.59
13-Dec-1993,0,7.59,7.34,7.59,105100,7.59
14-Dec-1993,0,7.67,7.42,7.42,34000,7.42
15-Dec-1993,0,7.67,7.5,7.67,5700,7.67
16-Dec-1993,0,7.67,7.42,7.5,109300,7.5
17-Dec-1993,0,8,7.5,7.75,102100,7.75
20-Dec-1993,0,8.17,7.67,8.09,27700,8.09
21-Dec-1993,0,8.17,8.17,8.17,2800,8.17
22-Dec-1993,0,8.17,8,8.17,23800,8.17
23-Dec-1993,0,8.17,7.84,8.09,14700,8.09
27-Dec-1993,0,8.34,8,8.34,20500,8.34
28-Dec-1993,0,8.5,8.17,8.5,255200,8.5
29-Dec-1993,0,9.17,8.5,9.17,246300,9.17
30-Dec-1993,0,9.17,9,9.17,63400,9.17
31-Dec-1993,0,9.67,8.84,9.67,14700,9.67
03-Jan-1994,0,9.67,9.34,9.67,130000,9.67
04-Jan-1994,0,9.67,9.17,9.5,18700,9.5
05-Jan-1994,0,9.5,8.84,9.17,84900,9.17
06-Jan-1994,0,9.17,8.84,9,21100,9
07-Jan-1994,0,9.17,8.84,8.84,27600,8.84
10-Jan-1994,0,9.34,9,9.34,1000,9.34
11-Jan-1994,0,9.34,8.84,9,3900,9
12-Jan-1994,0,9.34,8.84,9.34,15300,9.34
13-Jan-1994,0,9.34,9,9.34,9400,9.34
14-Jan-1994,0,9.67,9.25,9.5,122500,9.5
17-Jan-1994,0,9.84,9.34,9.5,48400,9.5
18-Jan-1994,0,10.17,9.5,9.67,43200,9.67
19-Jan-1994,0,10.67,9.67,10.51,252000,10.51
20-Jan-1994,0,10.84,10.34,10.34,26200,10.34
21-Jan-1994,0,10.84,10.34,10.34,143900,10.34
24-Jan-1994,0,10.84,10.34,10.34,35700,10.34
25-Jan-1994,0,10.84,10.34,10.34,25900,10.34
26-Jan-1994,0,10.84,10.26,10.26,27900,10.26
27-Jan-1994,0,10.51,10,10.17,20500,10.17
28-Jan-1994,0,10.34,9.84,10.34,26400,10.34
31-Jan-1994,0,10.34,9.84,10.17,22200,10.17
01-Feb-1994,0,10.17,9.84,10,31500,10
02-Feb-1994,0,10.34,9.84,10.09,55200,10.09
03-Feb-1994,0,10.34,9.84,10.34,42100,10.34
04-Feb-1994,0,10.34,9.84,9.84,29200,9.84
07-Feb-1994,0,10,9.67,9.84,36000,9.84
08-Feb-1994,0,10,9.67,9.84,60900,9.84
09-Feb-1994,0,10,9.67,9.84,27400,9.84
10-Feb-1994,0,10.17,9.67,10,23100,10
11-Feb-1994,0,10.17,9.84,9.84,1800,9.84
14-Feb-1994,0,10.17,10,10.17,111500,10.17
15-Feb-1994,0,10.17,9.84,9.92,13000,9.92
16-Feb-1994,0,10.17,9.84,9.92,4300,9.92
17-Feb-1994,0,10.17,9.84,10,7800,10
18-Feb-1994,0,10.17,9.84,10.17,4600,10.17
22-Feb-1994,0,10,9.84,9.84,5200,9.84
23-Feb-1994,0,10,9.67,9.84,11800,9.84
24-Feb-1994,0,10,9.5,9.5,19000,9.5
25-Feb-1994,0,9.84,9.5,9.5,3900,9.5
28-Feb-1994,0,9.84,9.34,9.67,15400,9.67
01-Mar-1994,0,9.67,9.34,9.34,6300,9.34
02-Mar-1994,0,9.67,9.34,9.5,7200,9.5
03-Mar-1994,0,9.67,9.34,9.5,15100,9.5
04-Mar-1994,0,10.51,9.5,10.09,74800,10.09
07-Mar-1994,0,10.34,10,10.09,40900,10.09
08-Mar-1994,0,10.34,10,10,20800,10
