Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.41,1.41,1.41,800,0.18
04-Jan-1978,0,1.4,1.38,1.4,3200,0.18
05-Jan-1978,NaN,NaN,NaN,1.4,0,0.18
06-Jan-1978,NaN,NaN,NaN,1.4,0,0.18
09-Jan-1978,0,1.38,1.38,1.38,2400,0.18
10-Jan-1978,NaN,NaN,NaN,1.38,0,0.18
11-Jan-1978,0,1.38,1.38,1.38,3200,0.18
12-Jan-1978,NaN,NaN,NaN,1.38,0,0.18
13-Jan-1978,0,1.38,1.38,1.38,7200,0.18
16-Jan-1978,NaN,NaN,NaN,1.38,0,0.18
17-Jan-1978,0,1.4,1.4,1.4,800,0.18
18-Jan-1978,NaN,NaN,NaN,1.4,0,0.18
19-Jan-1978,0,1.38,1.36,1.38,26400,0.18
20-Jan-1978,NaN,NaN,NaN,1.38,0,0.18
23-Jan-1978,NaN,NaN,NaN,1.38,0,0.18
24-Jan-1978,0,1.4,1.4,1.4,800,0.18
25-Jan-1978,NaN,NaN,NaN,1.4,0,0.18
26-Jan-1978,0,1.4,1.4,1.4,800,0.18
27-Jan-1978,NaN,NaN,NaN,1.4,0,0.18
30-Jan-1978,NaN,NaN,NaN,1.4,0,0.18
31-Jan-1978,NaN,NaN,NaN,1.4,0,0.18
01-Feb-1978,0,1.42,1.42,1.42,800,0.18
02-Feb-1978,0,1.41,1.41,1.41,800,0.18
03-Feb-1978,NaN,NaN,NaN,1.41,0,0.18
06-Feb-1978,0,1.44,1.42,1.44,2400,0.18
07-Feb-1978,0,1.41,1.41,1.41,800,0.18
08-Feb-1978,0,1.53,1.44,1.53,8800,0.19
09-Feb-1978,0,1.59,1.53,1.59,82400,0.2
10-Feb-1978,0,1.78,1.61,1.78,39200,0.23
13-Feb-1978,0,1.84,1.72,1.84,47200,0.23
14-Feb-1978,0,1.82,1.77,1.78,36000,0.23
15-Feb-1978,0,1.81,1.78,1.8,16000,0.23
16-Feb-1978,0,1.78,1.75,1.75,7200,0.22
17-Feb-1978,0,1.76,1.76,1.76,800,0.22
21-Feb-1978,0,1.73,1.71,1.73,8000,0.22
22-Feb-1978,0,1.72,1.67,1.71,28000,0.22
23-Feb-1978,0,1.71,1.71,1.71,800,0.22
24-Feb-1978,0,1.75,1.69,1.75,14400,0.22
27-Feb-1978,0,1.72,1.69,1.69,6400,0.22
28-Feb-1978,0,1.66,1.66,1.66,800,0.21
01-Mar-1978,0,1.67,1.67,1.67,800,0.21
02-Mar-1978,0,1.67,1.65,1.65,8000,0.21
03-Mar-1978,0,1.67,1.66,1.66,2400,0.21
06-Mar-1978,0,1.67,1.67,1.67,800,0.21
07-Mar-1978,NaN,NaN,NaN,1.67,0,0.21
08-Mar-1978,0,1.67,1.66,1.66,10400,0.21
09-Mar-1978,0,1.67,1.67,1.67,800,0.21
10-Mar-1978,0,1.66,1.66,1.66,800,0.21
13-Mar-1978,0,1.67,1.67,1.67,7200,0.21
14-Mar-1978,0,1.65,1.65,1.65,800,0.21
15-Mar-1978,0,1.65,1.65,1.65,800,0.21
16-Mar-1978,NaN,NaN,NaN,1.65,0,0.21
17-Mar-1978,0,1.7,1.65,1.69,24000,0.22
20-Mar-1978,0,1.69,1.69,1.69,4000,0.22
21-Mar-1978,0,1.69,1.69,1.69,8000,0.22
22-Mar-1978,0,1.71,1.69,1.69,3200,0.22
23-Mar-1978,NaN,NaN,NaN,1.69,0,0.22
27-Mar-1978,0,1.72,1.69,1.72,7200,0.22
28-Mar-1978,0,1.84,1.7,1.84,14400,0.23
29-Mar-1978,0,1.95,1.88,1.95,52000,0.25
30-Mar-1978,0,2.05,1.96,2.05,30400,0.26
31-Mar-1978,0,2.09,1.98,2.07,48000,0.26
03-Apr-1978,0,2.13,2.09,2.13,10400,0.27
04-Apr-1978,0,2.28,2.11,2.28,56800,0.29
05-Apr-1978,0,2.63,2.32,2.61,104000,0.33
06-Apr-1978,0,2.59,2.38,2.59,124800,0.33
07-Apr-1978,0,2.59,2.5,2.5,52800,0.32
10-Apr-1978,0,2.45,2.34,2.34,32000,0.3
11-Apr-1978,0,2.46,2.31,2.46,47200,0.31
12-Apr-1978,0,2.46,2.4,2.46,19200,0.31
13-Apr-1978,0,2.44,2.42,2.44,4000,0.31
14-Apr-1978,0,2.45,2.4,2.4,16000,0.31
17-Apr-1978,0,2.38,2.32,2.32,8000,0.3
18-Apr-1978,0,2.32,2.32,2.32,15200,0.3
19-Apr-1978,0,2.36,2.28,2.3,11200,0.29
20-Apr-1978,0,2.31,2.26,2.31,11200,0.29
21-Apr-1978,0,2.34,2.25,2.34,19200,0.3
24-Apr-1978,0,2.32,2.3,2.3,4800,0.29
25-Apr-1978,0,2.27,2.27,2.27,800,0.29
26-Apr-1978,0,2.3,2.22,2.27,16000,0.29
27-Apr-1978,0,2.28,2.25,2.26,8000,0.29
28-Apr-1978,0,2.3,2.22,2.27,16000,0.29
01-May-1978,0,2.38,2.3,2.38,11200,0.3
02-May-1978,0,2.4,2.4,2.4,800,0.31
03-May-1978,0,2.52,2.42,2.52,10400,0.32
04-May-1978,0,2.56,2.5,2.51,12800,0.32
05-May-1978,0,2.56,2.51,2.56,18400,0.33
08-May-1978,0,2.59,2.59,2.59,10400,0.33
09-May-1978,0,2.56,2.55,2.55,7200,0.32
10-May-1978,0,2.56,2.53,2.53,11200,0.32
11-May-1978,NaN,NaN,NaN,2.53,0,0.32
12-May-1978,0,2.53,2.5,2.5,4000,0.32
15-May-1978,0,2.53,2.52,2.53,8000,0.32
16-May-1978,0,2.55,2.5,2.5,10400,0.32
17-May-1978,0,2.48,2.48,2.48,800,0.32
18-May-1978,NaN,NaN,NaN,2.48,0,0.32
19-May-1978,0,2.51,2.51,2.51,800,0.32
22-May-1978,0,2.52,2.5,2.5,6400,0.32
23-May-1978,NaN,NaN,NaN,2.5,0,0.32
24-May-1978,0,2.63,2.51,2.63,36000,0.33
25-May-1978,0,2.78,2.65,2.78,18400,0.35
26-May-1978,0,2.84,2.8,2.84,12000,0.36
30-May-1978,0,2.84,2.84,2.84,3200,0.36
31-May-1978,0,2.86,2.82,2.86,8000,0.36
01-Jun-1978,0,3.05,2.94,3,116800,0.38
