Date,Open,High,Low,Close,Volume,AdjClose
13-May-2010,13.75,14.07,13.6,13.75,3341439,13.75
14-May-2010,13.52,14,13.45,13.85,747028,13.85
17-May-2010,13.86,14.02,13.85,14,245055,14
18-May-2010,14.02,14.15,13.92,13.92,42600,13.92
19-May-2010,13.9,14.07,13.75,14.07,64900,14.07
20-May-2010,13.91,13.99,13.25,13.91,70650,13.91
21-May-2010,14.05,14.05,13.61,13.85,129181,13.85
24-May-2010,14,14.04,13.91,13.95,159200,13.95
25-May-2010,13.81,13.81,13.5,13.75,218180,13.75
26-May-2010,14.05,14.05,13.73,13.9,143055,13.9
27-May-2010,14.24,14.24,13.94,14,119365,14
28-May-2010,14.04,14.05,13.55,14.04,194083,14.04
01-Jun-2010,13.99,14.19,13.95,13.98,117588,13.98
02-Jun-2010,14.1,14.1,13.83,14.01,71879,14.01
03-Jun-2010,14.15,14.15,13.91,14,50742,14
04-Jun-2010,14.05,14.05,13.81,14,37641,14
07-Jun-2010,13.96,14.16,13.81,13.91,22426,13.91
08-Jun-2010,13.96,14.06,13.45,13.49,133788,13.49
09-Jun-2010,13.58,13.84,13.46,13.49,22902,13.49
10-Jun-2010,13.96,13.96,13.59,13.7,48155,13.7
11-Jun-2010,13.75,13.9,13.7,13.74,6300,13.74
14-Jun-2010,13.79,14,13.76,13.8,55233,13.8
15-Jun-2010,13.85,13.95,13.75,13.88,176507,13.88
16-Jun-2010,13.97,14,13.78,13.92,241483,13.92
17-Jun-2010,13.8,13.99,13.7,13.8,66074,13.8
18-Jun-2010,13.7,14.09,13.7,14.05,230814,14.05
21-Jun-2010,14.17,14.24,13.99,14.16,129149,14.16
22-Jun-2010,14.37,14.47,13.94,14.2,202610,14.2
23-Jun-2010,14.28,14.46,13.98,14.38,164081,14.38
24-Jun-2010,14.48,14.49,14.19,14.22,197528,14.22
25-Jun-2010,14.36,14.36,14.09,14.23,940391,14.23
28-Jun-2010,14.11,14.2,13.99,14.14,79273,14.14
29-Jun-2010,14.03,14.2,13.91,14.05,307026,14.05
30-Jun-2010,14.08,14.4,14.05,14.21,124671,14.21
01-Jul-2010,14.19,14.3,13.93,14.09,39895,14.09
02-Jul-2010,14.03,14.26,14.01,14.03,20115,14.03
06-Jul-2010,14.2,14.3,13.99,14.02,40058,14.02
07-Jul-2010,14.14,14.25,13.96,14.24,106172,14.24
08-Jul-2010,14.25,14.45,14.2,14.22,78938,14.22
09-Jul-2010,14.17,14.24,14,14.23,59118,14.23
12-Jul-2010,14.28,14.33,14.12,14.16,23322,14.16
13-Jul-2010,14.06,14.37,14.06,14.32,126495,14.32
14-Jul-2010,14.27,14.41,14.22,14.37,54315,14.37
15-Jul-2010,14.41,14.41,14.16,14.21,42409,14.21
16-Jul-2010,14.14,14.24,14.02,14.1,75044,14.1
19-Jul-2010,14.15,14.16,13.82,14.13,54655,14.13
20-Jul-2010,14.02,14.15,13.87,14.15,83872,14.15
21-Jul-2010,14.28,14.35,14.04,14.07,46285,14.07
22-Jul-2010,14.13,14.36,14.06,14.14,132593,14.14
23-Jul-2010,14.05,14.35,14,14.34,85876,14.34
26-Jul-2010,14.4,14.63,14.32,14.6,101733,14.6
