Date,Open,High,Low,Close,Volume,AdjClose
12-Nov-1999,0,24.75,20,22.88,7382100,22.88
15-Nov-1999,0,23.25,21.25,22.88,988900,22.88
16-Nov-1999,0,26.5,22.75,26.12,1109300,26.12
17-Nov-1999,0,28.62,25.88,27.31,418100,27.31
18-Nov-1999,0,28.19,26.06,26.5,289900,26.5
19-Nov-1999,0,27.94,24,25.75,287600,25.75
22-Nov-1999,0,26.62,25.75,26.38,128400,26.38
23-Nov-1999,0,26.75,23.25,23.25,184800,23.25
24-Nov-1999,0,26.75,23.25,26.25,223900,26.25
26-Nov-1999,0,27.88,26.5,27.88,195700,27.88
29-Nov-1999,0,32.72,27.38,29.38,170100,29.38
30-Nov-1999,0,30.12,28,29.5,42800,29.5
01-Dec-1999,0,29.12,25.5,26.25,23300,26.25
02-Dec-1999,0,27.25,25,25,113200,25
03-Dec-1999,0,27.12,25.06,26.44,346400,26.44
06-Dec-1999,0,27.12,25.5,26.75,165400,26.75
07-Dec-1999,0,29.75,25.62,29.25,247000,29.25
08-Dec-1999,0,30.62,28.75,30.25,253800,30.25
09-Dec-1999,0,31,27.88,29,260300,29
10-Dec-1999,0,29.94,28.75,29.62,90600,29.62
13-Dec-1999,0,29.62,28.75,28.88,100200,28.88
14-Dec-1999,0,28.56,27.88,28,83900,28
15-Dec-1999,0,27.81,25,25.25,268100,25.25
16-Dec-1999,0,26,25,25.38,40700,25.38
17-Dec-1999,0,28,25.62,27.5,113400,27.5
20-Dec-1999,0,29.88,27.38,28.5,96200,28.5
21-Dec-1999,0,30.12,29,29.81,107100,29.81
22-Dec-1999,0,31,29.75,30,132400,30
23-Dec-1999,0,33.75,30,32,73800,32
27-Dec-1999,0,32.69,31.62,31.88,339900,31.88
28-Dec-1999,0,33,31.81,32.31,56500,32.31
29-Dec-1999,0,36.75,31.5,35.75,70000,35.75
30-Dec-1999,0,35.5,33.88,34,110100,34
31-Dec-1999,0,34.12,33,33.5,16400,33.5
03-Jan-2000,34.38,35,32.12,32.12,29600,32.12
04-Jan-2000,32,33.75,27.06,29,24400,29
05-Jan-2000,28,35,28,33,42500,33
06-Jan-2000,32.12,32.12,31,31.25,82100,31.25
07-Jan-2000,31,31.38,30.75,31.12,91800,31.12
10-Jan-2000,31.5,31.5,29.88,30,156600,30
11-Jan-2000,29.88,30.75,29.88,30.5,131100,30.5
12-Jan-2000,30.38,30.38,29.38,29.62,58300,29.62
13-Jan-2000,30.38,30.38,28,28,212700,28
14-Jan-2000,34.88,44.25,34,40,688900,40
18-Jan-2000,47.5,48.19,40.25,41,472400,41
19-Jan-2000,42.75,43.25,35,37,347800,37
20-Jan-2000,40.5,41,37.62,39.88,139200,39.88
