Date,Open,High,Low,Close,Volume,AdjClose
22-Nov-2002,12.05,13.4,12,12.9,1719300,7.28
25-Nov-2002,12.99,13.03,12.5,12.66,149400,7.14
26-Nov-2002,12.61,12.75,12.46,12.5,147200,7.05
27-Nov-2002,12.5,13,12.5,12.9,95100,7.28
29-Nov-2002,12.9,13,12.8,12.85,145900,7.25
02-Dec-2002,12.78,13.24,12.78,13.24,104900,7.47
03-Dec-2002,13.24,13.4,13.05,13.25,58600,7.48
04-Dec-2002,13.21,13.94,13.21,13.65,156100,7.7
05-Dec-2002,13.71,13.96,13.15,13.47,64200,7.6
06-Dec-2002,13.21,13.78,13.21,13.4,28500,7.56
09-Dec-2002,13.25,13.5,13.24,13.24,18200,7.47
10-Dec-2002,13.5,13.83,13.3,13.7,34300,7.73
11-Dec-2002,13.73,13.8,13.42,13.68,4800,7.72
12-Dec-2002,13.69,13.93,13.5,13.92,107100,7.85
13-Dec-2002,13.92,14.18,13.55,14.12,43000,7.97
16-Dec-2002,14.14,14.38,14.11,14.11,34400,7.96
17-Dec-2002,14.2,14.29,14.04,14.22,13200,8.02
18-Dec-2002,13.88,14.1,13.65,13.84,36800,7.81
19-Dec-2002,13.76,14.08,13.75,13.87,18700,7.83
20-Dec-2002,13.86,14.25,13.8,13.9,9200,7.84
23-Dec-2002,13.92,14.05,13.9,13.9,14000,7.84
24-Dec-2002,14,14,13.85,13.98,15000,7.89
26-Dec-2002,14.3,14.3,14.1,14.3,3400,8.07
27-Dec-2002,14.04,14.75,13.9,14.73,28500,8.31
30-Dec-2002,14.59,15.12,14.52,15.08,72100,8.51
31-Dec-2002,14.9,15.4,14.38,14.38,68200,8.11
02-Jan-2003,14.75,14.75,14.12,14.25,63300,8.04
03-Jan-2003,14.2,14.25,13.91,14.02,38700,7.91
06-Jan-2003,14,14.19,13.8,14.1,6500,7.96
07-Jan-2003,13.8,14.1,13.76,14.05,4000,7.93
08-Jan-2003,13.76,14,13.49,13.9,18200,7.84
09-Jan-2003,13.9,13.9,13.42,13.71,46700,7.74
10-Jan-2003,13.7,13.81,13.6,13.81,17700,7.79
13-Jan-2003,13.6,14,13.6,13.86,6900,7.82
14-Jan-2003,13.95,13.95,13.71,13.95,3200,7.87
15-Jan-2003,13.85,13.85,13.6,13.6,5800,7.67
16-Jan-2003,13.6,14.07,13.6,13.6,8000,7.67
17-Jan-2003,13.61,13.61,13.45,13.6,5800,7.67
21-Jan-2003,13.48,13.5,13.25,13.48,22500,7.61
22-Jan-2003,13.24,13.5,13.23,13.49,10500,7.61
