Date,Open,High,Low,Close,Volume,AdjClose
14-Apr-1993,0,4.12,3.75,4.03,2846400,4.03
15-Apr-1993,0,4.12,3.84,4.03,511467,4.03
16-Apr-1993,0,4.12,3.94,3.94,479467,3.94
19-Apr-1993,0,4.12,3.84,3.84,226667,3.84
20-Apr-1993,0,3.94,3.84,3.84,255733,3.84
21-Apr-1993,0,4.03,3.84,4.03,225333,4.03
22-Apr-1993,0,4.22,3.94,4.22,245867,4.22
23-Apr-1993,0,4.41,4.12,4.22,182133,4.22
26-Apr-1993,0,4.31,4.12,4.27,181600,4.27
27-Apr-1993,0,4.31,4.22,4.22,55200,4.22
28-Apr-1993,0,4.41,4.22,4.22,95733,4.22
29-Apr-1993,0,4.41,4.22,4.22,189333,4.22
30-Apr-1993,0,4.31,4.22,4.22,15733,4.22
03-May-1993,0,4.36,4.22,4.22,272267,4.22
04-May-1993,0,5.06,4.22,4.97,642133,4.97
05-May-1993,0,5.25,4.88,5.06,1104267,5.06
06-May-1993,0,5.06,4.69,4.88,102400,4.88
07-May-1993,0,5.77,4.69,5.77,368267,5.77
10-May-1993,0,5.81,5.44,5.62,110400,5.62
11-May-1993,0,5.62,5.34,5.48,32000,5.48
12-May-1993,0,5.53,5.25,5.53,8267,5.53
13-May-1993,0,5.53,5.2,5.44,139733,5.44
14-May-1993,0,5.44,5.16,5.3,9867,5.3
17-May-1993,0,5.44,5.3,5.34,37067,5.34
18-May-1993,0,5.34,5.25,5.3,113067,5.3
19-May-1993,0,5.44,5.16,5.3,30933,5.3
20-May-1993,0,5.44,5.16,5.16,61867,5.16
21-May-1993,0,5.81,5.44,5.81,213867,5.81
24-May-1993,0,6.28,5.91,6.23,589333,6.23
25-May-1993,0,6.38,6.09,6.09,472533,6.09
26-May-1993,0,6.38,6,6.14,255200,6.14
27-May-1993,0,6.38,6,6.09,299733,6.09
28-May-1993,0,6.09,5.34,5.72,390933,5.72
01-Jun-1993,0,5.81,5.53,5.81,542133,5.81
02-Jun-1993,0,6,5.72,6,9067,6
03-Jun-1993,0,5.91,5.91,5.91,5333,5.91
04-Jun-1993,0,6.09,5.86,6,22133,6
07-Jun-1993,0,6.09,6.09,6.09,267,6.09
08-Jun-1993,0,5.81,5.81,5.81,6400,5.81
09-Jun-1993,0,5.91,5.44,5.44,100533,5.44
10-Jun-1993,0,5.72,5.44,5.72,7467,5.72
11-Jun-1993,0,5.53,5.16,5.44,83733,5.44
14-Jun-1993,0,5.44,5.16,5.25,271200,5.25
15-Jun-1993,0,5.44,5.16,5.44,410400,5.44
16-Jun-1993,0,5.44,5.16,5.44,265333,5.44
17-Jun-1993,0,5.53,5.25,5.25,6400,5.25
18-Jun-1993,0,5.53,5.25,5.53,17600,5.53
21-Jun-1993,0,5.72,5.44,5.67,38933,5.67
22-Jun-1993,0,6,5.62,5.81,33067,5.81
23-Jun-1993,0,6.19,5.81,5.81,238133,5.81
24-Jun-1993,0,6,5.62,5.91,268267,5.91
25-Jun-1993,0,5.91,5.62,5.91,4000,5.91
28-Jun-1993,0,5.91,5.53,5.91,291467,5.91
29-Jun-1993,0,5.91,5.62,5.91,40533,5.91
30-Jun-1993,0,6.09,5.81,6.09,48000,6.09
01-Jul-1993,0,6.38,6.05,6.09,555200,6.09
02-Jul-1993,0,6.38,6.19,6.28,7467,6.28
06-Jul-1993,0,6.38,6.09,6.38,29333,6.38
07-Jul-1993,0,6.38,6,6.09,22400,6.09
08-Jul-1993,0,6.28,6,6,33867,6
09-Jul-1993,0,6.28,6,6,2400,6
12-Jul-1993,0,6.38,6.19,6.19,1867,6.19
13-Jul-1993,0,6.38,6,6.38,2667,6.38
14-Jul-1993,0,6.38,6,6.38,1600,6.38
15-Jul-1993,0,6.23,6,6.05,100533,6.05
16-Jul-1993,0,6,5.81,5.95,50400,5.95
19-Jul-1993,NaN,NaN,NaN,5.95,0,5.95
20-Jul-1993,0,5.91,5.72,5.72,19733,5.72
21-Jul-1993,0,6.28,5.91,6.19,271200,6.19
22-Jul-1993,0,6.28,5.72,5.91,196267,5.91
23-Jul-1993,0,6,5.72,5.81,20533,5.81
26-Jul-1993,0,5.95,5.72,5.72,163733,5.72
27-Jul-1993,0,5.77,5.72,5.72,122933,5.72
28-Jul-1993,0,5.62,5.62,5.62,1333,5.62
29-Jul-1993,NaN,NaN,NaN,5.62,0,5.62
30-Jul-1993,0,5.81,5.44,5.53,42667,5.53
02-Aug-1993,0,5.44,5.44,5.44,30667,5.44
03-Aug-1993,0,5.44,5.34,5.39,50667,5.39
04-Aug-1993,0,5.44,5.25,5.44,124000,5.44
05-Aug-1993,0,5.48,5.25,5.25,185333,5.25
06-Aug-1993,0,5.44,5.3,5.34,178667,5.34
09-Aug-1993,0,5.72,5.34,5.72,486933,5.72
10-Aug-1993,0,6.09,5.62,5.91,356000,5.91
11-Aug-1993,0,6.47,5.81,6.42,273867,6.42
12-Aug-1993,0,6.56,6.19,6.19,423200,6.19
13-Aug-1993,0,6.47,6.14,6.33,181600,6.33
16-Aug-1993,0,7.12,6.38,6.94,557600,6.94
17-Aug-1993,0,7.12,6.84,6.94,365600,6.94
18-Aug-1993,0,7.12,6.75,6.75,302933,6.75
19-Aug-1993,0,6.94,6.47,6.61,78400,6.61
20-Aug-1993,0,6.75,6.47,6.47,16800,6.47
23-Aug-1993,0,6.75,6.56,6.66,9333,6.66
24-Aug-1993,0,7.03,6.56,7.03,548800,7.03
25-Aug-1993,0,7.59,7.12,7.41,88267,7.41
26-Aug-1993,0,7.5,7.03,7.31,72000,7.31
27-Aug-1993,0,7.5,7.41,7.5,15467,7.5
30-Aug-1993,0,8.25,7.5,7.64,404267,7.64
31-Aug-1993,0,7.97,7.5,7.97,522667,7.97
01-Sep-1993,0,8.44,7.88,8.3,492000,8.3
02-Sep-1993,0,8.72,8.25,8.53,401333,8.53
03-Sep-1993,0,8.72,8.44,8.72,82667,8.72
07-Sep-1993,0,9.47,8.44,9,927467,9
08-Sep-1993,0,9,8.44,8.62,496800,8.62
09-Sep-1993,0,8.72,8.44,8.53,146933,8.53
10-Sep-1993,0,8.81,8.44,8.53,12000,8.53
13-Sep-1993,0,8.86,8.44,8.81,36267,8.81
14-Sep-1993,0,8.91,8.62,8.67,88533,8.67
15-Sep-1993,0,8.91,8.53,8.53,113067,8.53
16-Sep-1993,0,8.91,8.53,8.53,4000,8.53
17-Sep-1993,0,8.91,8.53,8.91,4267,8.91
20-Sep-1993,0,8.91,8.53,8.53,42933,8.53
21-Sep-1993,0,8.91,8.53,8.53,11467,8.53
22-Sep-1993,0,8.81,8.53,8.53,43733,8.53
23-Sep-1993,0,9.75,8.53,9.75,186133,9.75
24-Sep-1993,0,10.5,9.75,10.03,313067,10.03
27-Sep-1993,0,10.03,9.75,9.84,97067,9.84
28-Sep-1993,0,9.94,9.66,9.8,112000,9.8
29-Sep-1993,0,10.12,9.66,10.03,179200,10.03
30-Sep-1993,0,10.22,9.19,9.56,300000,9.56
01-Oct-1993,0,9.38,8.72,9,292533,9
04-Oct-1993,0,9,8.81,9,83733,9
05-Oct-1993,0,9.19,8.53,8.62,200000,8.62
06-Oct-1993,0,8.81,8.53,8.53,90400,8.53
07-Oct-1993,0,8.81,8.53,8.58,9333,8.58
08-Oct-1993,0,8.62,8.16,8.53,413867,8.53
11-Oct-1993,0,8.53,7.88,8.16,149600,8.16
12-Oct-1993,0,8.16,7.88,7.88,17333,7.88
13-Oct-1993,0,8.34,7.88,8.34,89867,8.34
14-Oct-1993,0,8.34,7.97,8.34,68000,8.34
15-Oct-1993,0,8.3,8.06,8.06,125600,8.06
18-Oct-1993,0,8.25,8.06,8.06,125067,8.06
19-Oct-1993,0,8.16,7.97,8.16,297600,8.16
20-Oct-1993,0,8.25,8.06,8.06,97067,8.06
21-Oct-1993,0,8.16,8.06,8.16,29067,8.16
22-Oct-1993,0,8.16,7.31,7.59,97333,7.59
25-Oct-1993,0,7.59,7.41,7.59,111467,7.59
26-Oct-1993,0,7.59,7.41,7.59,113067,7.59
27-Oct-1993,0,8.34,7.5,8.16,457333,8.16
28-Oct-1993,0,8.34,7.97,8.25,157333,8.25
29-Oct-1993,0,8.25,7.88,8.06,102667,8.06
01-Nov-1993,0,8.25,7.88,8.25,17067,8.25
02-Nov-1993,0,8.25,7.97,8.25,15733,8.25
03-Nov-1993,0,8.25,7.97,7.97,23200,7.97
04-Nov-1993,0,8.25,7.78,7.78,97600,7.78
05-Nov-1993,0,7.59,7.12,7.12,53067,7.12
08-Nov-1993,0,7.5,7.31,7.45,50667,7.45
09-Nov-1993,0,8.44,7.59,8.25,193867,8.25
10-Nov-1993,0,8.34,8.34,8.34,7467,8.34
11-Nov-1993,0,8.44,8.25,8.34,59467,8.34
12-Nov-1993,0,8.62,8.62,8.62,1600,8.62
15-Nov-1993,0,8.53,8.25,8.3,84533,8.3
16-Nov-1993,0,9.09,8.25,9,4625600,9
17-Nov-1993,0,9.28,8.72,8.91,1100533,8.91
18-Nov-1993,0,8.91,8.44,8.44,336533,8.44
19-Nov-1993,0,8.53,8.25,8.25,299467,8.25
22-Nov-1993,0,8.34,8.16,8.16,277600,8.16
23-Nov-1993,0,8.53,8.16,8.34,338400,8.34
24-Nov-1993,0,9,8.34,9,573067,9
