Date,Open,High,Low,Close,Volume,AdjClose
26-Sep-1995,0,20,20,20,100,20
27-Sep-1995,NaN,NaN,NaN,20,0,20
28-Sep-1995,NaN,NaN,NaN,20,0,20
29-Sep-1995,0,19.5,19.5,19.5,200,19.5
02-Oct-1995,NaN,NaN,NaN,19.5,0,19.5
03-Oct-1995,NaN,NaN,NaN,19.5,0,19.5
04-Oct-1995,NaN,NaN,NaN,19.5,0,19.5
05-Oct-1995,0,19.5,19.5,19.5,2500,19.5
06-Oct-1995,0,19.75,19.5,19.5,2100,19.5
09-Oct-1995,NaN,NaN,NaN,19.5,0,19.5
10-Oct-1995,NaN,NaN,NaN,19.5,0,19.5
11-Oct-1995,0,19.5,19.5,19.5,100,19.5
12-Oct-1995,0,19.75,19.5,19.75,6000,19.75
13-Oct-1995,NaN,NaN,NaN,19.75,0,19.75
16-Oct-1995,NaN,NaN,NaN,19.75,0,19.75
17-Oct-1995,0,19.25,19,19,7600,19
18-Oct-1995,0,19.25,19,19,6500,19
19-Oct-1995,NaN,NaN,NaN,19,0,19
20-Oct-1995,0,18.75,18.5,18.5,5000,18.5
23-Oct-1995,0,19.5,18.25,18.25,1700,18.25
24-Oct-1995,NaN,NaN,NaN,18.25,0,18.25
25-Oct-1995,0,18.38,18,18.12,8500,18.12
26-Oct-1995,0,18.25,18,18.25,15000,18.25
27-Oct-1995,0,17.75,17.75,17.75,700,17.75
30-Oct-1995,0,17.75,17.75,17.75,5500,17.75
31-Oct-1995,0,18,17.75,17.75,4600,17.75
01-Nov-1995,0,17.75,17,17,2800,17
02-Nov-1995,0,17.12,17,17,2600,17
03-Nov-1995,0,18,18,18,500,18
06-Nov-1995,NaN,NaN,NaN,18,0,18
07-Nov-1995,0,16.25,16.25,16.25,200,16.25
08-Nov-1995,0,16,16,16,1300,16
09-Nov-1995,0,17.25,16.12,17.25,2400,17.25
10-Nov-1995,0,16,16,16,500,16
13-Nov-1995,0,16.25,16,16,6500,16
14-Nov-1995,0,15.5,15.5,15.5,200,15.5
15-Nov-1995,NaN,NaN,NaN,15.5,0,15.5
16-Nov-1995,NaN,NaN,NaN,15.5,0,15.5
17-Nov-1995,0,16,15.5,15.75,23800,15.75
20-Nov-1995,0,17.5,15.5,17.5,200,17.5
21-Nov-1995,0,17,15,15.62,21800,15.62
22-Nov-1995,0,15,15,15,200,15
24-Nov-1995,NaN,NaN,NaN,15,0,15
27-Nov-1995,0,16.25,15.25,16.25,5800,16.25
28-Nov-1995,0,16.75,16.75,16.75,100,16.75
29-Nov-1995,0,15.25,15.25,15.25,400,15.25
30-Nov-1995,0,15.25,15.25,15.25,400,15.25
01-Dec-1995,NaN,NaN,NaN,15.25,0,15.25
04-Dec-1995,NaN,NaN,NaN,15.25,0,15.25
05-Dec-1995,0,16.5,16,16.5,2500,16.5
06-Dec-1995,0,16.5,16,16.5,1700,16.5
07-Dec-1995,NaN,NaN,NaN,16.5,0,16.5
08-Dec-1995,NaN,NaN,NaN,16.5,0,16.5
11-Dec-1995,NaN,NaN,NaN,16.5,0,16.5
12-Dec-1995,NaN,NaN,NaN,16.5,0,16.5
13-Dec-1995,NaN,NaN,NaN,16.5,0,16.5
14-Dec-1995,0,16.25,16.25,16.25,100,16.25
15-Dec-1995,NaN,NaN,NaN,16.25,0,16.25
18-Dec-1995,NaN,NaN,NaN,16.25,0,16.25
19-Dec-1995,0,18.25,18.25,18.25,300,18.25
20-Dec-1995,NaN,NaN,NaN,18.25,0,18.25
21-Dec-1995,NaN,NaN,NaN,18.25,0,18.25
22-Dec-1995,NaN,NaN,NaN,18.25,0,18.25
26-Dec-1995,NaN,NaN,NaN,18.25,0,18.25
27-Dec-1995,NaN,NaN,NaN,18.25,0,18.25
28-Dec-1995,0,18.25,17,18.25,4500,18.25
29-Dec-1995,NaN,NaN,NaN,18.25,0,18.25
02-Jan-1996,NaN,NaN,NaN,18.25,0,18.25
03-Jan-1996,NaN,NaN,NaN,18.25,0,18.25
04-Jan-1996,0,17.5,17.5,17.5,400,17.5
05-Jan-1996,0,18.5,17.5,18.5,9200,18.5
08-Jan-1996,NaN,NaN,NaN,18.5,0,18.5
09-Jan-1996,NaN,NaN,NaN,18.5,0,18.5
10-Jan-1996,NaN,NaN,NaN,18.5,0,18.5
11-Jan-1996,0,18.38,17.5,18.25,13000,18.25
12-Jan-1996,NaN,NaN,NaN,18.25,0,18.25
15-Jan-1996,NaN,NaN,NaN,18.25,0,18.25
16-Jan-1996,NaN,NaN,NaN,18.25,0,18.25
17-Jan-1996,0,17.5,17.5,17.5,1200,17.5
18-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
19-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
22-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
23-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
24-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
25-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
26-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
29-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
30-Jan-1996,NaN,NaN,NaN,17.5,0,17.5
