Date,Open,High,Low,Close,Volume,AdjClose
14-May-2014,15.17,15.48,13.89,14.17,2797896,13.86
15-May-2014,14.2,14.2,13.8,13.9,967806,13.6
16-May-2014,13.9,14,13.7,13.8,536190,13.5
19-May-2014,13.78,13.81,13.48,13.49,574950,13.2
20-May-2014,13.5,13.5,13.25,13.43,655518,13.14
21-May-2014,13.47,14.33,13.47,14.25,663864,13.94
22-May-2014,14.47,14.55,14.18,14.36,323580,14.05
23-May-2014,14.26,14.55,14.17,14.38,239478,14.07
27-May-2014,14.42,14.46,14.35,14.39,72504,14.08
28-May-2014,14.37,14.42,14.21,14.4,84138,14.09
29-May-2014,14.42,14.47,14.34,14.38,196866,14.07
30-May-2014,14.39,14.42,14.26,14.29,63066,13.98
02-Jun-2014,14.22,14.22,13.96,14.02,176658,13.72
03-Jun-2014,14,14.29,14,14.25,74400,13.94
04-Jun-2014,14.33,14.33,14.17,14.21,121026,13.9
05-Jun-2014,14.17,14.31,14.14,14.17,153330,13.86
06-Jun-2014,14.13,14.27,14,14.27,133302,13.96
09-Jun-2014,14.24,14.41,14.01,14.35,99084,14.04
10-Jun-2014,14.25,14.42,14.17,14.36,106872,14.05
11-Jun-2014,14.38,14.46,14.29,14.42,109890,14.11
12-Jun-2014,14.5,14.5,14.38,14.42,100044,14.11
13-Jun-2014,14.42,14.48,14.34,14.34,39720,14.03
16-Jun-2014,14.34,14.42,14.33,14.38,106884,14.07
17-Jun-2014,14.42,14.42,14.34,14.41,118848,14.1
18-Jun-2014,14.42,15.13,14.33,14.39,198864,14.08
19-Jun-2014,14.4,15,14.3,14.6,175332,14.28
20-Jun-2014,14.8,14.96,14.67,14.68,191232,14.36
23-Jun-2014,15,15.34,15,15.13,173574,14.8
24-Jun-2014,15.09,15.17,14.82,14.92,60840,14.6
25-Jun-2014,14.85,14.99,14.67,14.77,66162,14.45
26-Jun-2014,14.76,14.9,14.71,14.89,124440,14.57
27-Jun-2014,14.72,15,14.4,14.4,796086,14.09
30-Jun-2014,14.51,14.56,14.38,14.4,174300,14.09
01-Jul-2014,14.49,14.5,14.37,14.42,126738,14.11
02-Jul-2014,14.44,14.48,14.37,14.39,62532,14.08
03-Jul-2014,14.45,14.46,14.31,14.43,79740,14.14
07-Jul-2014,14.37,14.83,14.37,14.42,55416,14.13
08-Jul-2014,14.42,14.5,14.17,14.26,143148,13.98
09-Jul-2014,14.31,14.46,14.08,14.14,118770,13.86
10-Jul-2014,14.06,14.08,14,14.03,128874,13.75
11-Jul-2014,14,14.07,13.92,14.04,103182,13.76
14-Jul-2014,14.1,14.1,14.02,14.04,100194,13.76
15-Jul-2014,14.05,14.06,14.02,14.02,124872,13.74
16-Jul-2014,14.06,14.06,14.01,14.04,58338,13.76
17-Jul-2014,14.42,14.42,13.76,14.15,77468,13.87
18-Jul-2014,14.18,14.5,14.15,14.26,75220,13.98
21-Jul-2014,14.3,14.37,14.18,14.26,66210,13.98
22-Jul-2014,14.37,14.38,14.16,14.25,73054,13.97
23-Jul-2014,14.26,14.38,14.12,14.22,52046,13.94
24-Jul-2014,14.13,14.28,14.13,14.26,55564,13.98
25-Jul-2014,14.25,14.3,14.19,14.25,39774,13.97
28-Jul-2014,14.3,14.3,14.13,14.25,41840,13.97
29-Jul-2014,14.24,14.3,14.15,14.22,44818,13.94
30-Jul-2014,14.26,14.3,14.12,14.25,106438,13.97
31-Jul-2014,14.18,14.36,14.06,14.1,60126,13.82
01-Aug-2014,14.08,14.47,14.06,14.28,54404,14
04-Aug-2014,14.38,14.38,14.05,14.2,37372,13.92
05-Aug-2014,14.16,14.16,13.98,14.12,84224,13.84
06-Aug-2014,14.1,14.35,14,14.21,35066,13.93
07-Aug-2014,14.2,14.36,14.12,14.25,38574,13.97
08-Aug-2014,14.28,14.3,14.2,14.24,61926,13.96
11-Aug-2014,14.2,14.48,14.2,14.44,118474,14.15
12-Aug-2014,14.39,14.65,14.02,14.52,136862,14.23
13-Aug-2014,14.54,14.88,14.54,14.75,68340,14.46
14-Aug-2014,14.75,14.87,14.48,14.81,83306,14.51
15-Aug-2014,14.88,14.94,14.8,14.94,120706,14.64
18-Aug-2014,14.95,15.15,14.92,15,87652,14.7
19-Aug-2014,15,15.07,14.87,14.9,60016,14.6
20-Aug-2014,14.78,14.9,14.75,14.78,18050,14.49
21-Aug-2014,14.83,14.92,14.75,14.88,40576,14.58
22-Aug-2014,14.64,14.92,14.64,14.83,27502,14.53
25-Aug-2014,14.8,14.98,14.8,14.84,56264,14.54
26-Aug-2014,14.9,15.15,14.9,15.14,62724,14.84
27-Aug-2014,15.1,15.15,14.91,14.94,74396,14.64
28-Aug-2014,14.99,15,14.76,14.85,40134,14.55
29-Aug-2014,14.88,15.15,14.86,15.08,98112,14.78
02-Sep-2014,14.91,15,14.84,14.95,92932,14.65
03-Sep-2014,14.84,14.92,14.84,14.88,43758,14.58
04-Sep-2014,14.94,15.04,14.62,14.88,47150,14.58
05-Sep-2014,14.92,14.95,14.84,14.92,94380,14.62
08-Sep-2014,14.92,14.98,14.86,14.96,166180,14.66
09-Sep-2014,14.97,14.98,14.85,14.94,93798,14.64
10-Sep-2014,14.95,15.1,14.88,14.94,84698,14.64
11-Sep-2014,14.86,15.1,14.86,14.91,122174,14.61
12-Sep-2014,14.91,15.12,14.29,14.89,157550,14.59
15-Sep-2014,14.84,15.1,14.8,15.08,66490,14.78
16-Sep-2014,15.1,15.1,14.51,14.66,109978,14.37
17-Sep-2014,14.72,14.95,14.46,14.6,63844,14.31
18-Sep-2014,14.72,14.8,14.34,14.54,151986,14.25
19-Sep-2014,14.67,14.77,14.28,14.28,635982,14
22-Sep-2014,14.28,14.38,14.08,14.22,76846,13.94
23-Sep-2014,14.18,14.32,14.12,14.24,28578,13.96
24-Sep-2014,14.31,14.38,14.12,14.14,44708,13.86
25-Sep-2014,14.23,14.23,14.12,14.16,43164,13.88
26-Sep-2014,14.18,14.28,14.06,14.18,66158,13.9
29-Sep-2014,14.18,14.45,14.18,14.36,71900,14.07
30-Sep-2014,14.36,14.47,14.32,14.4,74206,14.11
01-Oct-2014,14.46,14.52,14.38,14.42,60030,14.13
02-Oct-2014,14.4,14.55,14.4,14.48,19614,14.19
03-Oct-2014,14.52,14.63,14.5,14.58,20826,14.29
06-Oct-2014,14.54,14.73,14.53,14.58,86134,14.31
07-Oct-2014,14.65,14.74,14.45,14.5,42564,14.23
08-Oct-2014,14.52,14.56,14.4,14.45,39932,14.18
09-Oct-2014,14.3,14.52,14.21,14.26,37204,14
10-Oct-2014,14.25,14.33,14.18,14.22,28660,13.96
13-Oct-2014,14.25,14.39,14.19,14.38,28630,14.11
14-Oct-2014,14.38,14.65,14.25,14.34,62554,14.07
15-Oct-2014,14.24,14.45,14,14.36,54242,14.09
16-Oct-2014,14.22,14.5,14.21,14.42,63186,14.15
17-Oct-2014,14.42,14.64,14.17,14.42,52862,14.15
20-Oct-2014,14.34,14.39,14.25,14.39,20698,14.12
21-Oct-2014,14.5,14.5,14.26,14.4,20974,14.13
22-Oct-2014,14.47,14.48,14.26,14.3,35154,14.03
23-Oct-2014,14.36,14.49,14.35,14.44,21092,14.17
24-Oct-2014,14.41,14.74,14.41,14.74,46336,14.47
27-Oct-2014,14.66,14.66,14.58,14.6,14824,14.33
28-Oct-2014,14.68,14.97,14.6,14.96,47496,14.68
29-Oct-2014,14.88,14.9,14.68,14.9,11248,14.62
30-Oct-2014,14.88,14.88,14.62,14.68,19672,14.41
31-Oct-2014,14.75,14.75,14.58,14.74,22292,14.47
03-Nov-2014,14.74,14.74,14.63,14.66,54554,14.39
04-Nov-2014,14.59,14.74,14.59,14.7,12256,14.43
05-Nov-2014,14.75,14.85,14.67,14.8,107820,14.52
06-Nov-2014,14.69,14.78,14.65,14.78,25508,14.51
07-Nov-2014,14.72,15.22,14.72,15.18,132984,14.9
10-Nov-2014,14.98,15.39,14.98,15.21,120966,14.93
11-Nov-2014,15.22,15.36,14.7,14.92,64904,14.64
12-Nov-2014,15.04,15.7,14.99,15.38,85430,15.09
13-Nov-2014,15.46,15.67,15.39,15.52,83222,15.23
14-Nov-2014,15.6,15.92,15.53,15.6,88210,15.31
17-Nov-2014,15.66,15.7,15.28,15.6,78176,15.31
18-Nov-2014,15.62,15.75,15.54,15.74,52654,15.45
19-Nov-2014,15.75,15.75,15.52,15.67,48762,15.38
20-Nov-2014,15.64,15.8,15.49,15.5,77492,15.21
21-Nov-2014,15.49,15.8,15.14,15.68,72968,15.39
24-Nov-2014,15.76,15.76,15.3,15.71,71050,15.42
25-Nov-2014,15.75,15.96,15.36,15.76,245208,15.47
26-Nov-2014,15.76,15.77,15.44,15.48,102948,15.19
28-Nov-2014,15.6,15.86,15.6,15.8,14966,15.51
01-Dec-2014,15.79,15.79,15.31,15.32,23530,15.04
02-Dec-2014,15.32,15.6,15.23,15.3,57880,15.02
03-Dec-2014,15.28,15.42,15,15.18,35572,14.9
04-Dec-2014,15.18,15.28,15.1,15.21,36348,14.93
05-Dec-2014,15.12,15.44,15.12,15.28,75986,15
08-Dec-2014,15.3,15.34,15.18,15.19,29922,14.91
09-Dec-2014,15.19,15.28,14.92,15.13,61942,14.85
10-Dec-2014,15.2,15.27,15.06,15.14,30714,14.86
11-Dec-2014,15.36,15.36,15.02,15.24,43330,14.96
12-Dec-2014,15.12,15.25,15.12,15.18,31370,14.9
15-Dec-2014,15.19,15.25,15.13,15.14,104200,14.86
16-Dec-2014,15.04,15.28,15.04,15.2,54820,14.92
17-Dec-2014,15.24,15.26,14.78,14.95,80982,14.67
18-Dec-2014,15.04,15.26,15.04,15.24,55782,14.96
19-Dec-2014,15.16,15.76,15,15.76,520370,15.47
22-Dec-2014,15.68,16.24,15.68,15.95,116492,15.65
23-Dec-2014,15.86,16.05,15.63,15.88,68242,15.58
24-Dec-2014,15.55,16.12,15.55,16.12,32002,15.82
26-Dec-2014,16.11,17.55,15.88,16.11,38480,15.81
29-Dec-2014,16.25,16.25,16.1,16.16,91418,15.86
30-Dec-2014,16.04,16.24,16,16.18,82348,15.88
31-Dec-2014,16.2,16.52,16.01,16.48,274748,16.17
02-Jan-2015,16.48,16.5,15.87,16.25,57028,15.95
05-Jan-2015,16.17,16.25,15.68,15.95,116840,15.65
06-Jan-2015,16.25,16.25,15.18,15.67,71052,15.4
07-Jan-2015,15.56,15.99,15.56,15.99,47788,15.71
08-Jan-2015,16.01,16.01,15.5,15.96,46522,15.68
09-Jan-2015,15.94,15.94,15.4,15.46,41258,15.19
12-Jan-2015,15.28,15.76,14.95,14.96,93400,14.7
13-Jan-2015,15,15.3,14.95,15.24,83406,14.98
14-Jan-2015,14.94,15.23,14.94,15.2,32920,14.94
15-Jan-2015,15.27,15.27,14.99,15.09,19726,14.83
16-Jan-2015,15.12,15.52,15.1,15.25,44798,14.99
20-Jan-2015,15.3,15.3,15,15.08,16364,14.82
21-Jan-2015,15.23,15.3,15.09,15.13,46710,14.87
22-Jan-2015,15.25,15.72,15.1,15.72,113092,15.45
23-Jan-2015,15.62,15.98,15.62,15.88,87316,15.6
26-Jan-2015,15.98,15.98,15.75,15.78,16218,15.51
27-Jan-2015,15.7,15.72,15.5,15.62,18254,15.35
28-Jan-2015,15.56,15.56,15.16,15.17,32496,14.91
29-Jan-2015,14.98,15.24,14.98,15.14,46456,14.88
30-Jan-2015,15.1,15.27,15.1,15.2,21432,14.94
02-Feb-2015,15.32,15.36,15.2,15.24,58946,14.98
03-Feb-2015,15.36,15.63,15.35,15.6,33534,15.33
04-Feb-2015,15.38,15.92,15.38,15.58,20944,15.31
05-Feb-2015,15.68,15.91,15.6,15.63,38456,15.36
06-Feb-2015,15.81,16,15.74,15.78,22014,15.51
09-Feb-2015,15.68,15.99,15.6,15.69,56568,15.42
10-Feb-2015,15.71,15.9,15.54,15.71,19928,15.44
11-Feb-2015,15.56,15.75,15.5,15.62,39688,15.35
12-Feb-2015,15.75,15.99,15.65,15.99,33238,15.71
13-Feb-2015,16,16.05,15.94,16.04,128836,15.76
17-Feb-2015,16,16,15.67,15.74,47042,15.47
18-Feb-2015,15.52,15.75,15.52,15.6,21318,15.33
19-Feb-2015,15.74,15.74,15.62,15.7,15012,15.43
20-Feb-2015,15.74,15.74,15.49,15.53,24580,15.26
23-Feb-2015,15.52,15.7,15.52,15.52,42058,15.25
24-Feb-2015,15.74,16.04,15.52,15.72,35892,15.45
25-Feb-2015,15.69,15.82,15.69,15.77,17428,15.5
26-Feb-2015,15.8,16.04,15.54,15.98,42200,15.7
27-Feb-2015,15.98,16.09,15.96,16.07,104600,15.79
02-Mar-2015,15.98,16.2,15.96,16.15,99696,15.87
03-Mar-2015,16.15,16.23,16.06,16.08,14418,15.8
04-Mar-2015,16.08,16.15,15.97,16,45990,15.72
05-Mar-2015,16,16.1,15.79,15.95,41778,15.67
06-Mar-2015,15.92,16.16,15.58,15.9,62922,15.62
09-Mar-2015,15.9,16,15.66,16,19536,15.72
10-Mar-2015,15.89,15.96,15.76,15.82,59344,15.55
11-Mar-2015,15.82,16,15.82,15.96,29596,15.68
12-Mar-2015,16,16.08,15.92,16,18612,15.72
13-Mar-2015,15.96,16,15.82,15.93,19970,15.65
16-Mar-2015,15.82,16,15.82,15.84,39046,15.57
17-Mar-2015,15.82,15.99,15.82,15.94,19942,15.66
18-Mar-2015,15.97,16,15.9,16,33448,15.72
19-Mar-2015,15.85,16.12,15.8,16.12,81260,15.84
20-Mar-2015,16.1,16.12,15.9,16.08,34892,15.8
23-Mar-2015,16.02,16.24,15.98,16.08,22746,15.8
24-Mar-2015,16.1,16.25,15.96,16.11,68022,15.83
25-Mar-2015,16.16,16.25,16,16.04,43244,15.76
26-Mar-2015,16.12,16.12,15.94,16,48038,15.72
27-Mar-2015,15.93,16.15,15.92,16.07,43330,15.79
30-Mar-2015,15.98,16.35,15.98,16.33,99898,16.05
31-Mar-2015,16.32,16.5,16.18,16.5,117480,16.21
01-Apr-2015,16.45,16.45,16.28,16.38,53888,16.1
