Date,Open,High,Low,Close,Volume,AdjClose
13-Mar-1985,NaN,NaN,NaN,2.58,0,1.35
14-Mar-1985,NaN,NaN,NaN,2.58,0,1.35
15-Mar-1985,0,2.58,2.58,2.58,2400,1.35
18-Mar-1985,0,2.58,2.58,2.58,3600,1.35
19-Mar-1985,NaN,NaN,NaN,2.58,0,1.35
20-Mar-1985,0,2.58,2.58,2.58,6000,1.35
21-Mar-1985,0,2.58,2.58,2.58,27600,1.35
22-Mar-1985,0,2.58,2.58,2.58,2400,1.35
25-Mar-1985,0,2.5,2.5,2.5,25200,1.31
26-Mar-1985,0,2.5,2.5,2.5,1200,1.31
27-Mar-1985,NaN,NaN,NaN,2.5,0,1.31
28-Mar-1985,0,2.5,2.5,2.5,27600,1.31
29-Mar-1985,0,2.5,2.5,2.5,3600,1.31
01-Apr-1985,0,2.5,2.5,2.5,27600,1.31
02-Apr-1985,0,2.5,2.5,2.5,2400,1.31
03-Apr-1985,0,2.5,2.5,2.5,2400,1.31
04-Apr-1985,0,2.5,2.5,2.5,1200,1.31
08-Apr-1985,0,2.5,2.5,2.5,1200,1.31
09-Apr-1985,0,2.5,2.5,2.5,1200,1.31
10-Apr-1985,0,2.5,2.5,2.5,2400,1.31
11-Apr-1985,0,2.5,2.5,2.5,1200,1.31
12-Apr-1985,0,2.5,2.5,2.5,1200,1.31
15-Apr-1985,NaN,NaN,NaN,2.5,0,1.31
16-Apr-1985,0,2.5,2.5,2.5,3600,1.31
17-Apr-1985,NaN,NaN,NaN,2.5,0,1.31
18-Apr-1985,0,2.5,2.5,2.5,1200,1.31
19-Apr-1985,NaN,NaN,NaN,2.5,0,1.31
22-Apr-1985,NaN,NaN,NaN,2.58,0,1.35
23-Apr-1985,NaN,NaN,NaN,2.58,0,1.35
24-Apr-1985,NaN,NaN,NaN,2.58,0,1.35
25-Apr-1985,NaN,NaN,NaN,2.58,0,1.35
26-Apr-1985,0,2.58,2.58,2.58,2400,1.35
29-Apr-1985,NaN,NaN,NaN,2.58,0,1.35
30-Apr-1985,NaN,NaN,NaN,2.58,0,1.35
01-May-1985,NaN,NaN,NaN,2.58,0,1.35
02-May-1985,0,2.63,2.63,2.63,9600,1.38
03-May-1985,0,2.63,2.63,2.63,1800,1.38
06-May-1985,0,2.63,2.63,2.63,1200,1.38
07-May-1985,0,2.67,2.67,2.67,8400,1.4
08-May-1985,0,2.67,2.67,2.67,3000,1.4
09-May-1985,0,2.67,2.67,2.67,7200,1.4
10-May-1985,0,2.67,2.67,2.67,19200,1.4
13-May-1985,0,2.67,2.67,2.67,1200,1.4
14-May-1985,NaN,NaN,NaN,2.67,0,1.4
15-May-1985,NaN,NaN,NaN,2.67,0,1.4
16-May-1985,0,2.67,2.67,2.67,1800,1.4
17-May-1985,0,2.67,2.67,2.67,3000,1.4
20-May-1985,0,2.67,2.67,2.67,600,1.4
21-May-1985,NaN,NaN,NaN,2.67,0,1.4
22-May-1985,NaN,NaN,NaN,2.67,0,1.4
23-May-1985,NaN,NaN,NaN,2.67,0,1.4
24-May-1985,0,2.67,2.67,2.67,4200,1.4
28-May-1985,NaN,NaN,NaN,2.67,0,1.4
29-May-1985,0,2.67,2.67,2.67,12000,1.4
30-May-1985,NaN,NaN,NaN,2.67,0,1.4
31-May-1985,0,2.67,2.67,2.67,600,1.4
03-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
04-Jun-1985,0,2.75,2.75,2.75,1800,1.44
05-Jun-1985,0,2.75,2.75,2.75,2400,1.44
06-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
07-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
10-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
11-Jun-1985,0,2.75,2.75,2.75,600,1.44
12-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
13-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
14-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
17-Jun-1985,0,2.75,2.75,2.75,600,1.44
18-Jun-1985,0,2.75,2.75,2.75,1800,1.44
19-Jun-1985,0,2.75,2.75,2.75,3000,1.44
20-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
21-Jun-1985,NaN,NaN,NaN,2.75,0,1.44
24-Jun-1985,NaN,NaN,NaN,2.83,0,1.48
25-Jun-1985,NaN,NaN,NaN,2.83,0,1.48
26-Jun-1985,NaN,NaN,NaN,2.83,0,1.48
27-Jun-1985,NaN,NaN,NaN,2.83,0,1.48
28-Jun-1985,NaN,NaN,NaN,2.83,0,1.48
01-Jul-1985,NaN,NaN,NaN,2.83,0,1.48
02-Jul-1985,0,2.83,2.83,2.83,600,1.48
03-Jul-1985,NaN,NaN,NaN,2.83,0,1.48
05-Jul-1985,NaN,NaN,NaN,2.83,0,1.48
08-Jul-1985,NaN,NaN,NaN,2.83,0,1.48
09-Jul-1985,0,2.83,2.83,2.83,600,1.48
10-Jul-1985,NaN,NaN,NaN,2.83,0,1.48
11-Jul-1985,NaN,NaN,NaN,2.83,0,1.48
12-Jul-1985,0,2.83,2.83,2.83,6600,1.48
15-Jul-1985,0,2.75,2.75,2.75,6000,1.44
16-Jul-1985,0,2.67,2.67,2.67,9000,1.4
17-Jul-1985,0,2.75,2.75,2.75,600,1.44
18-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
19-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
22-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
23-Jul-1985,0,2.67,2.67,2.67,4200,1.4
24-Jul-1985,NaN,NaN,NaN,2.67,0,1.4
25-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
26-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
29-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
30-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
31-Jul-1985,NaN,NaN,NaN,2.75,0,1.44
01-Aug-1985,NaN,NaN,NaN,2.75,0,1.44
02-Aug-1985,NaN,NaN,NaN,2.75,0,1.44
05-Aug-1985,NaN,NaN,NaN,2.75,0,1.44
06-Aug-1985,NaN,NaN,NaN,2.75,0,1.44
07-Aug-1985,0,2.67,2.67,2.67,1200,1.4
08-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
09-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
12-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
13-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
14-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
15-Aug-1985,0,2.67,2.67,2.67,4800,1.4
16-Aug-1985,0,2.67,2.67,2.67,600,1.4
19-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
20-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
21-Aug-1985,0,2.67,2.67,2.67,1200,1.4
22-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
23-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
26-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
27-Aug-1985,0,2.67,2.67,2.67,600,1.4
28-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
29-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
30-Aug-1985,NaN,NaN,NaN,2.67,0,1.4
03-Sep-1985,0,2.67,2.67,2.67,8400,1.4
04-Sep-1985,NaN,NaN,NaN,2.67,0,1.4
05-Sep-1985,NaN,NaN,NaN,2.67,0,1.4
06-Sep-1985,0,2.67,2.67,2.67,2400,1.4
09-Sep-1985,0,2.67,2.67,2.67,600,1.4
10-Sep-1985,0,2.67,2.67,2.67,15000,1.4
11-Sep-1985,0,2.5,2.5,2.5,1200,1.31
12-Sep-1985,NaN,NaN,NaN,2.5,0,1.31
13-Sep-1985,NaN,NaN,NaN,2.5,0,1.31
16-Sep-1985,0,2.5,2.5,2.5,600,1.31
17-Sep-1985,NaN,NaN,NaN,2.5,0,1.31
18-Sep-1985,0,2.5,2.5,2.5,600,1.31
19-Sep-1985,NaN,NaN,NaN,2.5,0,1.31
20-Sep-1985,NaN,NaN,NaN,2.5,0,1.31
23-Sep-1985,0,2.42,2.42,2.42,600,1.27
24-Sep-1985,NaN,NaN,NaN,2.42,0,1.27
25-Sep-1985,NaN,NaN,NaN,2.42,0,1.27
26-Sep-1985,NaN,NaN,NaN,2.42,0,1.27
27-Sep-1985,NaN,NaN,NaN,2.42,0,1.27
30-Sep-1985,0,2.42,2.42,2.42,1200,1.27
01-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
02-Oct-1985,0,2.42,2.42,2.42,3000,1.27
03-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
04-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
07-Oct-1985,0,2.42,2.42,2.42,600,1.27
08-Oct-1985,0,2.42,2.42,2.42,9000,1.27
09-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
10-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
11-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
14-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
15-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
16-Oct-1985,0,2.42,2.42,2.42,2400,1.27
17-Oct-1985,0,2.42,2.42,2.42,1200,1.27
18-Oct-1985,NaN,NaN,NaN,2.42,0,1.27
21-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
22-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
23-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
24-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
25-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
28-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
29-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
30-Oct-1985,0,2.5,2.5,2.5,3000,1.31
31-Oct-1985,NaN,NaN,NaN,2.5,0,1.31
01-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
04-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
05-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
06-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
07-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
08-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
11-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
12-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
13-Nov-1985,NaN,NaN,NaN,2.5,0,1.31
14-Nov-1985,NaN,NaN,NaN,2.58,0,1.35
15-Nov-1985,NaN,NaN,NaN,2.58,0,1.35
18-Nov-1985,NaN,NaN,NaN,2.58,0,1.35
19-Nov-1985,NaN,NaN,NaN,2.58,0,1.35
20-Nov-1985,NaN,NaN,NaN,2.58,0,1.35
21-Nov-1985,0,2.58,2.58,2.58,61200,1.35
22-Nov-1985,NaN,NaN,NaN,2.58,0,1.35
25-Nov-1985,NaN,NaN,NaN,2.58,0,1.35
26-Nov-1985,NaN,NaN,NaN,2.67,0,1.4
