Date,Open,High,Low,Close,Volume,AdjClose
01-Feb-2012,17.25,17.44,15.77,16,11511901,14.64
02-Feb-2012,16,16.14,15.38,16,1378341,14.64
03-Feb-2012,16,16.4,15.71,16.12,554105,14.75
06-Feb-2012,16.4,16.45,15.92,16.35,336239,14.96
07-Feb-2012,16.44,17.5,16.04,17.34,880355,15.86
08-Feb-2012,17.2,17.74,17,17.2,777337,15.73
09-Feb-2012,17.5,17.7,17.08,17.25,157110,15.78
10-Feb-2012,17,17.32,16.95,17.05,200531,15.6
13-Feb-2012,17.07,17.39,17.03,17.25,140498,15.78
14-Feb-2012,17.25,17.32,16.8,16.85,329648,15.41
15-Feb-2012,17,17,16.41,16.66,168389,15.24
16-Feb-2012,16.75,16.97,16.57,16.79,71635,15.36
17-Feb-2012,18.22,18.22,16.38,16.54,371474,15.13
21-Feb-2012,16.75,16.75,16.45,16.75,251566,15.32
22-Feb-2012,16.95,17.1,16.71,17,199474,15.55
23-Feb-2012,17.05,17.09,16.74,17.01,407547,15.56
24-Feb-2012,16.98,17.9,16.9,17.43,346557,15.94
27-Feb-2012,17.36,17.57,17.09,17.4,166644,15.92
28-Feb-2012,17.35,17.39,16.99,17.05,148528,15.6
29-Feb-2012,17.14,17.14,16.9,16.92,113121,15.48
01-Mar-2012,16.94,17.09,16.91,17.09,114641,15.63
02-Mar-2012,17,17.21,16.89,16.94,101746,15.5
05-Mar-2012,16.77,17.03,16.2,16.24,337596,14.86
06-Mar-2012,16.1,16.65,16.1,16.25,489096,14.87
07-Mar-2012,16.55,16.75,16.2,16.45,256387,15.05
08-Mar-2012,16.65,16.89,16.49,16.56,200010,15.15
09-Mar-2012,16.5,17.15,16.5,17.06,691386,15.61
12-Mar-2012,17.35,17.85,17.19,17.34,753408,15.86
13-Mar-2012,17.29,17.98,17.21,17.47,354944,15.98
14-Mar-2012,17.65,18.85,17.6,18.3,553174,16.74
15-Mar-2012,18.24,19.48,18.23,19.33,570773,17.68
16-Mar-2012,19.56,20.45,19.41,19.94,884001,18.24
19-Mar-2012,20.75,20.91,19.49,19.81,551944,18.12
20-Mar-2012,19.67,21.78,19.61,21.09,1170867,19.29
21-Mar-2012,21.6,21.75,20.5,21.4,794208,19.58
22-Mar-2012,21.06,21.07,20.07,20.13,476914,18.41
23-Mar-2012,20.78,21,20.4,20.62,259007,18.86
26-Mar-2012,20.95,21.73,20.74,21.69,320217,19.84
27-Mar-2012,21.78,22.14,21.54,21.87,303059,20.01
28-Mar-2012,21.79,21.99,20.85,20.94,272802,19.16
29-Mar-2012,20.87,21.21,20.38,20.72,348834,18.95
30-Mar-2012,21.01,21.07,20.61,20.94,1027963,19.16
02-Apr-2012,20.94,21.51,20.65,21.11,308807,19.31
03-Apr-2012,21.79,21.79,20.59,21.21,362638,19.4
04-Apr-2012,20.75,21.1,20.25,20.42,173724,18.68
05-Apr-2012,20.34,20.4,19.72,20.01,381780,18.3
09-Apr-2012,19.95,20.41,19.01,19.72,142227,18.04
10-Apr-2012,19.72,20.06,18.47,19.09,303911,17.46
11-Apr-2012,19.19,19.4,18.33,18.75,420868,17.15
12-Apr-2012,18.77,19.3,18.4,18.79,380962,17.19
13-Apr-2012,18.19,18.67,17.47,18,786694,16.47
16-Apr-2012,18.8,18.8,17.34,17.63,433360,16.13
17-Apr-2012,17.85,18.09,17.4,17.47,480645,15.98
18-Apr-2012,17.93,17.93,16.64,16.88,546885,15.44
19-Apr-2012,17.1,17.46,16.45,16.75,655426,15.32
20-Apr-2012,16.88,17.01,16.32,16.56,188056,15.15
23-Apr-2012,16.25,16.51,15.92,16.28,428816,14.89
24-Apr-2012,16.31,17.05,16.23,16.83,303154,15.4
25-Apr-2012,16.94,17.81,16.72,17.12,355792,15.66
26-Apr-2012,17.08,17.96,16.92,17.84,435372,16.32
27-Apr-2012,17.9,18.53,17.9,18.19,441157,16.64
30-Apr-2012,18.15,18.27,17.57,18.12,200000,16.58
01-May-2012,18.12,18.64,17.85,18.12,235139,16.58
02-May-2012,17.98,18.65,17.96,18.52,159479,16.94
03-May-2012,18.5,18.82,18.22,18.48,118861,16.91
04-May-2012,18.41,18.42,17.56,17.78,263556,16.26
07-May-2012,17.77,17.88,17.43,17.68,227540,16.17
08-May-2012,17.61,17.73,15.38,15.58,1001634,14.25
09-May-2012,15.49,15.8,14.76,15.15,355873,13.86
10-May-2012,15.28,15.35,14.37,14.85,440274,13.58
11-May-2012,14.68,14.87,13.67,14.02,273546,12.83
14-May-2012,14.25,14.32,13.04,13.11,274355,11.99
