Date,Open,High,Low,Close,Volume,AdjClose
04-Mar-1998,0,4.09,3.75,4.06,374600,4.06
05-Mar-1998,0,4.06,3.84,3.88,159400,3.88
06-Mar-1998,0,4.06,3.94,4.06,31400,4.06
09-Mar-1998,0,4.06,3.97,3.97,31200,3.97
10-Mar-1998,0,4.06,3.97,4.06,74800,4.06
11-Mar-1998,0,4.03,3.94,3.97,15800,3.97
12-Mar-1998,0,4.06,3.97,4,144400,4
13-Mar-1998,0,4.12,4,4.12,18600,4.12
16-Mar-1998,0,4.22,4.09,4.12,49800,4.12
17-Mar-1998,0,4.25,4.06,4.06,15800,4.06
18-Mar-1998,0,4.38,4.12,4.38,47400,4.38
19-Mar-1998,0,4.44,4.25,4.38,41200,4.38
20-Mar-1998,0,4.56,4.31,4.5,142800,4.5
23-Mar-1998,0,4.56,4.44,4.5,36400,4.5
24-Mar-1998,0,4.5,4.31,4.5,25000,4.5
25-Mar-1998,0,4.5,4.31,4.5,15200,4.5
26-Mar-1998,0,4.47,4.19,4.25,68800,4.25
27-Mar-1998,0,4.38,4.25,4.38,12000,4.38
30-Mar-1998,0,4.38,4.28,4.38,6000,4.38
31-Mar-1998,0,4.44,4.25,4.25,11200,4.25
01-Apr-1998,0,4.44,4.38,4.44,19800,4.44
02-Apr-1998,0,4.38,4.25,4.38,33800,4.38
03-Apr-1998,0,4.38,4.31,4.38,20400,4.38
06-Apr-1998,0,4.38,4.31,4.31,39000,4.31
07-Apr-1998,0,4.38,4.19,4.19,38400,4.19
08-Apr-1998,0,4.38,4.12,4.12,61800,4.12
09-Apr-1998,0,4.31,4.12,4.25,38800,4.25
13-Apr-1998,0,4.38,4.25,4.31,55200,4.31
14-Apr-1998,0,4.38,4.25,4.25,64200,4.25
15-Apr-1998,0,4.38,4.25,4.25,23200,4.25
16-Apr-1998,0,4.38,4.25,4.31,42200,4.31
17-Apr-1998,0,4.38,4.25,4.38,30400,4.38
20-Apr-1998,0,4.38,4.28,4.28,15200,4.28
21-Apr-1998,0,4.38,4.25,4.38,42000,4.38
22-Apr-1998,0,4.38,4.25,4.25,8000,4.25
23-Apr-1998,0,4.31,4.25,4.31,67000,4.31
24-Apr-1998,0,4.69,4.4,4.56,78600,4.56
27-Apr-1998,0,4.69,4.47,4.69,78400,4.69
28-Apr-1998,0,4.75,4.56,4.62,32400,4.62
29-Apr-1998,0,4.88,4.75,4.78,76600,4.78
30-Apr-1998,0,4.88,4.75,4.81,47000,4.81
01-May-1998,0,4.88,4.69,4.88,62800,4.88
04-May-1998,0,4.88,4.81,4.88,12200,4.88
05-May-1998,0,4.88,4.69,4.69,24000,4.69
06-May-1998,0,4.88,4.69,4.88,16600,4.88
07-May-1998,0,4.88,4.75,4.75,22400,4.75
08-May-1998,0,4.94,4.75,4.94,32800,4.94
11-May-1998,0,4.94,4.81,4.94,44000,4.94
12-May-1998,0,4.94,4.81,4.88,47200,4.88
13-May-1998,0,5.25,4.88,5.25,43000,5.25
14-May-1998,0,5.62,5.06,5.44,65000,5.44
15-May-1998,0,5.5,5.25,5.38,26200,5.38
18-May-1998,0,5.5,5.19,5.19,26600,5.19
19-May-1998,0,5.31,5.12,5.12,45200,5.12
20-May-1998,0,5.12,4.75,5.06,68000,5.06
21-May-1998,0,4.94,4.88,4.94,14000,4.94
22-May-1998,0,5.12,4.75,5,33400,5
26-May-1998,0,6.88,5.5,5.69,977800,5.69
27-May-1998,0,5.88,5.25,5.56,226200,5.56
28-May-1998,0,5.62,5.44,5.56,89000,5.56
29-May-1998,0,5.62,5.5,5.53,78000,5.53
01-Jun-1998,0,5.88,5.5,5.69,114200,5.69
02-Jun-1998,0,6,5.62,5.81,155200,5.81
03-Jun-1998,0,5.94,5.75,5.75,42400,5.75
04-Jun-1998,0,5.88,5.25,5.25,41800,5.25
05-Jun-1998,0,5.62,5.38,5.38,25600,5.38
08-Jun-1998,0,5.44,5.25,5.34,24400,5.34
09-Jun-1998,0,5.5,5.28,5.28,33200,5.28
10-Jun-1998,0,5.5,5.25,5.5,9800,5.5
11-Jun-1998,0,5.5,5.28,5.28,23200,5.28
12-Jun-1998,0,5.5,5.25,5.25,36400,5.25
15-Jun-1998,0,5.38,5.19,5.25,28200,5.25
16-Jun-1998,0,5.5,5.22,5.38,13800,5.38
17-Jun-1998,0,5.75,5.44,5.44,8200,5.44
18-Jun-1998,0,5.75,5.62,5.62,27000,5.62
19-Jun-1998,0,5.75,5.5,5.69,20800,5.69
22-Jun-1998,0,5.78,5.44,5.69,53000,5.69
23-Jun-1998,0,5.88,5.62,5.81,17200,5.81
24-Jun-1998,0,6.06,5.75,5.75,61600,5.75
25-Jun-1998,0,6,5.81,5.81,15000,5.81
26-Jun-1998,0,5.94,5.62,5.62,22600,5.62
29-Jun-1998,0,5.88,5.53,5.69,10400,5.69
30-Jun-1998,0,5.88,5.63,5.88,51400,5.88
01-Jul-1998,0,6.25,5.88,5.88,78400,5.88
02-Jul-1998,0,6.19,5.94,6.06,44400,6.06
06-Jul-1998,0,6.44,6,6.44,78000,6.44
07-Jul-1998,0,6.5,6.12,6.19,105400,6.19
08-Jul-1998,0,6.31,6.12,6.12,53000,6.12
09-Jul-1998,0,6.25,5.94,5.94,44600,5.94
10-Jul-1998,0,6.06,5.88,5.88,38400,5.88
13-Jul-1998,0,6.12,5.88,6,19400,6
14-Jul-1998,0,6.12,5.94,6.12,38800,6.12
15-Jul-1998,0,6.38,6,6.25,27600,6.25
16-Jul-1998,0,6.88,6,6.62,106600,6.62
17-Jul-1998,0,6.88,6.56,6.81,32000,6.81
20-Jul-1998,0,6.81,6.38,6.81,42600,6.81
21-Jul-1998,0,7.22,6.62,7.06,79000,7.06
22-Jul-1998,0,7.38,6.12,6.44,92400,6.44
23-Jul-1998,0,6.69,6.31,6.5,47400,6.5
24-Jul-1998,0,6.5,6.12,6.38,40600,6.38
27-Jul-1998,0,6.56,6.12,6.25,8800,6.25
28-Jul-1998,0,6.28,5.94,5.94,27600,5.94
29-Jul-1998,0,6.06,5.75,5.88,15400,5.88
30-Jul-1998,0,6.06,5.81,6,11200,6
31-Jul-1998,0,6,5.81,5.94,7400,5.94
03-Aug-1998,0,6.03,5.81,5.97,16400,5.97
04-Aug-1998,0,6.19,5.81,5.88,92400,5.88
05-Aug-1998,0,6,5.81,5.88,32800,5.88
06-Aug-1998,0,6,5.88,5.88,53800,5.88
07-Aug-1998,0,6,5.88,5.88,6800,5.88
10-Aug-1998,0,5.94,5.88,5.88,34800,5.88
11-Aug-1998,0,5.88,5.69,5.75,56400,5.75
12-Aug-1998,0,5.88,5.69,5.75,52600,5.75
13-Aug-1998,0,5.88,5.19,5.19,38400,5.19
14-Aug-1998,0,5.38,5.12,5.38,57000,5.38
17-Aug-1998,0,5.19,4.88,5.19,21200,5.19
18-Aug-1998,0,5.19,4.75,4.94,32200,4.94
19-Aug-1998,0,4.94,4.5,4.62,104600,4.62
20-Aug-1998,0,5,4.75,4.84,10000,4.84
21-Aug-1998,0,5.06,4.53,5,83400,5
24-Aug-1998,0,5.06,4.81,4.91,26600,4.91
25-Aug-1998,0,5,4.75,4.75,40000,4.75
26-Aug-1998,0,4.84,4.56,4.75,60400,4.75
27-Aug-1998,0,4.69,4.06,4.5,120800,4.5
28-Aug-1998,0,4.5,4.06,4.25,53400,4.25
31-Aug-1998,0,4.38,3.62,3.62,11400,3.62
01-Sep-1998,0,3.75,3.5,3.75,117200,3.75
02-Sep-1998,0,3.75,3.69,3.75,56600,3.75
03-Sep-1998,0,3.75,3.5,3.66,26400,3.66
04-Sep-1998,0,3.69,3.5,3.59,11800,3.59
08-Sep-1998,0,3.62,3.5,3.62,74800,3.62
09-Sep-1998,0,3.75,3.62,3.72,75400,3.72
10-Sep-1998,0,3.75,3.62,3.69,83200,3.69
11-Sep-1998,0,3.75,3.72,3.75,40400,3.75
14-Sep-1998,0,3.88,3.75,3.88,140200,3.88
15-Sep-1998,0,3.88,3.81,3.88,40200,3.88
16-Sep-1998,0,3.88,3.75,3.88,40000,3.88
17-Sep-1998,0,3.88,3.88,3.88,3200,3.88
18-Sep-1998,0,3.88,3.81,3.84,27800,3.84
21-Sep-1998,0,3.88,3.88,3.88,1600,3.88
22-Sep-1998,0,3.88,3.78,3.88,2400,3.88
23-Sep-1998,0,3.88,3.78,3.88,56400,3.88
24-Sep-1998,0,3.88,3.78,3.88,12600,3.88
25-Sep-1998,0,3.88,3.81,3.88,117000,3.88
28-Sep-1998,0,3.88,3.88,3.88,45600,3.88
29-Sep-1998,0,3.88,3.78,3.88,8600,3.88
30-Sep-1998,0,3.88,3.78,3.84,16600,3.84
01-Oct-1998,0,3.88,3.56,3.56,23800,3.56
02-Oct-1998,0,3.75,3.41,3.5,6800,3.5
05-Oct-1998,0,3.62,2.5,3.12,51600,3.12
06-Oct-1998,0,3.62,3.25,3.47,58600,3.47
07-Oct-1998,0,3.62,3.25,3.25,17000,3.25
08-Oct-1998,0,3.5,3.06,3.5,28000,3.5
09-Oct-1998,0,3.56,3.38,3.5,34000,3.5
12-Oct-1998,0,3.62,3.44,3.44,25400,3.44
13-Oct-1998,0,3.44,3.19,3.38,44200,3.38
14-Oct-1998,0,3.56,3.33,3.56,35800,3.56
