Date,Open,High,Low,Close,Volume,AdjClose
31-Dec-2012,9.16,9.34,9.06,9.31,79145,8.36
02-Jan-2013,9.49,9.71,9.44,9.54,201828,8.56
03-Jan-2013,9.57,9.61,9.39,9.52,54892,8.55
04-Jan-2013,9.58,9.6,9.38,9.5,49273,8.53
07-Jan-2013,9.44,9.44,9.28,9.4,47967,8.44
08-Jan-2013,9.42,9.44,9.21,9.36,41351,8.4
09-Jan-2013,9.4,9.44,9.32,9.39,60683,8.43
10-Jan-2013,9.42,9.44,9.17,9.34,72021,8.38
11-Jan-2013,9.37,9.38,9.13,9.28,35579,8.33
14-Jan-2013,9.23,9.34,9.21,9.24,39934,8.29
15-Jan-2013,9.17,9.2,9.02,9.17,38157,8.23
16-Jan-2013,9.13,9.13,9,9.06,38252,8.13
17-Jan-2013,9.13,9.14,9.05,9.09,23975,8.16
18-Jan-2013,9.06,9.06,8.93,9.01,69159,8.09
22-Jan-2013,8.98,9.13,8.94,9.09,45692,8.16
23-Jan-2013,9.07,9.07,8.81,8.95,57580,8.03
24-Jan-2013,8.95,9,8.74,8.78,87311,7.88
25-Jan-2013,8.82,8.86,8.65,8.7,76254,7.81
28-Jan-2013,8.68,8.84,8.59,8.83,74521,7.93
29-Jan-2013,8.79,9.11,8.79,9.07,74098,8.14
30-Jan-2013,9.07,9.07,8.77,8.86,64779,7.95
31-Jan-2013,8.81,9.02,8.7,8.93,74132,8.02
01-Feb-2013,8.97,9.24,8.89,8.99,84557,8.07
04-Feb-2013,8.95,9.01,8.68,8.72,63848,7.83
05-Feb-2013,8.65,8.98,8.65,8.93,54464,8.02
06-Feb-2013,8.85,8.95,8.82,8.93,27796,8.02
07-Feb-2013,8.9,8.92,8.85,8.91,29472,8
08-Feb-2013,8.93,8.97,8.83,8.86,55121,7.95
11-Feb-2013,8.88,8.88,8.68,8.78,38910,7.88
12-Feb-2013,8.8,8.9,8.72,8.88,36988,7.97
13-Feb-2013,8.9,8.97,8.8,8.97,297194,8.05
14-Feb-2013,8.96,9.13,8.95,9.05,458642,8.12
15-Feb-2013,9.11,9.12,8.93,9.02,124577,8.1
19-Feb-2013,9.02,9.05,8.96,9.05,61635,8.12
20-Feb-2013,9.02,9.12,8.91,8.91,90553,8
21-Feb-2013,8.9,9.12,8.9,9.07,529897,8.14
22-Feb-2013,9.14,9.15,9.06,9.15,37322,8.21
25-Feb-2013,9.13,9.2,8.89,8.9,66201,7.99
26-Feb-2013,8.89,9.04,8.68,8.95,27597,8.03
27-Feb-2013,8.94,9.11,8.92,9.02,43672,8.1
28-Feb-2013,9,9.03,8.87,8.98,62746,8.06
01-Mar-2013,8.87,9.15,8.85,9.15,56418,8.21
04-Mar-2013,9.11,9.23,9.05,9.21,33000,8.27
05-Mar-2013,9.17,9.27,9.11,9.24,37732,8.29
06-Mar-2013,9.24,9.24,9.12,9.22,25339,8.28
07-Mar-2013,9.21,9.25,9.13,9.24,22297,8.29
08-Mar-2013,9.33,9.34,9.2,9.23,61208,8.29
11-Mar-2013,9.18,9.25,9,9.03,45000,8.11
12-Mar-2013,8.99,9.05,8.98,9,25995,8.08
