Date,Open,High,Low,Close,Volume,AdjClose
18-Apr-1983,NaN,NaN,NaN,0.35,0,0.07
19-Apr-1983,NaN,NaN,NaN,0.35,0,0.07
20-Apr-1983,0,0.36,0.35,0.35,5301,0.07
21-Apr-1983,0,0.36,0.35,0.35,42502,0.07
22-Apr-1983,0,0.37,0.35,0.35,93597,0.07
25-Apr-1983,0,0.38,0.35,0.35,16095,0.07
26-Apr-1983,NaN,NaN,NaN,0.35,0,0.07
27-Apr-1983,NaN,NaN,NaN,0.35,0,0.07
28-Apr-1983,0,0.38,0.35,0.35,42502,0.07
29-Apr-1983,NaN,NaN,NaN,0.35,0,0.07
02-May-1983,0,0.38,0.35,0.35,16095,0.07
03-May-1983,0,0.37,0.35,0.35,42502,0.07
04-May-1983,NaN,NaN,NaN,0.35,0,0.07
05-May-1983,NaN,NaN,NaN,0.35,0,0.07
06-May-1983,NaN,NaN,NaN,0.35,0,0.07
09-May-1983,NaN,NaN,NaN,0.35,0,0.07
10-May-1983,0,0.37,0.35,0.35,172803,0.07
11-May-1983,0,0.37,0.35,0.35,112294,0.07
12-May-1983,NaN,NaN,NaN,0.35,0,0.07
13-May-1983,NaN,NaN,NaN,0.35,0,0.07
16-May-1983,NaN,NaN,NaN,0.35,0,0.07
17-May-1983,0,0.37,0.35,0.35,5301,0.07
18-May-1983,0,0.37,0.35,0.35,5301,0.07
19-May-1983,NaN,NaN,NaN,0.35,0,0.07
20-May-1983,0,0.37,0.35,0.35,206695,0.07
23-May-1983,NaN,NaN,NaN,0.35,0,0.07
24-May-1983,0,0.37,0.35,0.35,128196,0.07
25-May-1983,0,0.38,0.36,0.36,27194,0.07
26-May-1983,0,0.37,0.36,0.36,93597,0.07
27-May-1983,0,0.37,0.36,0.36,35193,0.07
31-May-1983,0,0.38,0.36,0.36,5301,0.07
01-Jun-1983,0,0.38,0.36,0.36,27194,0.07
02-Jun-1983,0,0.38,0.36,0.36,93597,0.07
03-Jun-1983,0,0.38,0.36,0.36,93597,0.07
06-Jun-1983,NaN,NaN,NaN,0.36,0,0.07
07-Jun-1983,NaN,NaN,NaN,0.36,0,0.07
08-Jun-1983,NaN,NaN,NaN,0.36,0,0.07
09-Jun-1983,NaN,NaN,NaN,0.36,0,0.07
10-Jun-1983,0,0.38,0.36,0.36,257597,0.07
13-Jun-1983,NaN,NaN,NaN,0.36,0,0.07
14-Jun-1983,0,0.38,0.36,0.36,69792,0.07
15-Jun-1983,NaN,NaN,NaN,0.36,0,0.07
16-Jun-1983,0,0.38,0.36,0.36,52107,0.07
17-Jun-1983,0,0.39,0.36,0.36,69792,0.07
20-Jun-1983,0,0.38,0.36,0.36,5301,0.07
21-Jun-1983,0,0.38,0.36,0.36,172803,0.07
22-Jun-1983,0,0.38,0.36,0.36,178007,0.07
23-Jun-1983,0,0.38,0.36,0.36,391593,0.07
24-Jun-1983,0,0.38,0.36,0.36,58404,0.07
27-Jun-1983,0,0.38,0.36,0.36,27194,0.07
28-Jun-1983,0,0.38,0.36,0.36,5301,0.07
29-Jun-1983,NaN,NaN,NaN,0.36,0,0.07
30-Jun-1983,0,0.38,0.36,0.36,5301,0.07
01-Jul-1983,NaN,NaN,NaN,0.36,0,0.07
05-Jul-1983,0,0.38,0.36,0.36,5301,0.07
06-Jul-1983,NaN,NaN,NaN,0.36,0,0.07
07-Jul-1983,0,0.38,0.36,0.36,35193,0.07
08-Jul-1983,0,0.38,0.36,0.36,69792,0.07
11-Jul-1983,0,0.38,0.36,0.36,84795,0.07
12-Jul-1983,NaN,NaN,NaN,0.36,0,0.07
