Date,Open,High,Low,Close,Volume,AdjClose
01-Aug-1996,0,18,15.5,16.88,3440500,16.2
02-Aug-1996,0,18.5,17,18.5,356400,17.76
05-Aug-1996,0,20.5,18,19.5,336100,18.72
06-Aug-1996,0,20,18.5,19,227300,18.24
07-Aug-1996,0,19.5,19,19.25,90600,18.48
08-Aug-1996,0,19.5,18.75,19.12,115600,18.35
09-Aug-1996,0,19.5,18.75,19.25,74500,18.48
12-Aug-1996,0,19.5,19,19.5,148000,18.72
13-Aug-1996,0,19.5,18.25,19,73600,18.24
14-Aug-1996,0,19,18,18.38,144200,17.64
15-Aug-1996,0,18.5,18,18,85500,17.28
16-Aug-1996,0,20.75,18,20.75,108300,19.91
19-Aug-1996,0,21.5,20,20,144800,19.2
20-Aug-1996,0,20.5,19.5,20.38,172900,19.56
21-Aug-1996,0,20.5,19.75,20,112800,19.2
22-Aug-1996,0,23,19.75,22.75,192500,21.83
23-Aug-1996,0,26,22.38,25.88,191100,24.84
26-Aug-1996,0,27.75,25.25,25.25,297300,24.23
27-Aug-1996,0,25.88,23.25,24,202200,23.03
28-Aug-1996,0,25.75,24.62,25,161500,23.99
29-Aug-1996,0,27.25,25,27,87900,25.91
30-Aug-1996,0,27,26.25,26.38,56700,25.32
03-Sep-1996,0,27,24.88,26.88,120200,25.8
04-Sep-1996,0,27.25,25.25,26.25,88500,25.19
05-Sep-1996,0,26.75,25.75,26.5,53500,25.43
06-Sep-1996,0,26.75,26,26,42400,24.95
09-Sep-1996,0,27.25,25.88,27.12,75600,26.03
10-Sep-1996,0,29,26.5,29,196200,27.83
11-Sep-1996,0,29.25,28.5,29,291200,27.83
12-Sep-1996,0,29.25,28.5,29.25,32400,28.07
13-Sep-1996,0,31.88,28.75,31.62,102800,30.35
16-Sep-1996,0,33.5,31.38,32.88,292000,31.56
17-Sep-1996,0,33.62,31.75,33,358200,31.67
18-Sep-1996,0,35.25,33,35,166500,33.59
19-Sep-1996,0,40.38,35.12,38,409200,36.47
20-Sep-1996,0,40,32.12,34,635400,32.63
23-Sep-1996,0,34.75,30.25,30.5,216600,29.27
24-Sep-1996,0,31.25,28.25,31.12,220100,29.87
25-Sep-1996,0,31.25,30.5,30.62,88400,29.39
26-Sep-1996,0,31,30.62,31,178300,29.75
27-Sep-1996,0,35.75,31.25,35.12,197500,33.71
30-Sep-1996,0,38,35,36.5,326700,35.03
01-Oct-1996,0,36,33.75,34.88,235900,33.48
02-Oct-1996,0,35.25,34.5,35.25,98800,33.83
03-Oct-1996,0,36.75,34.25,36.12,97200,34.67
04-Oct-1996,0,38,36.5,36.5,103900,35.03
07-Oct-1996,0,37.25,34.5,35.88,63300,34.44
08-Oct-1996,0,36.62,34.62,34.62,96600,33.23
09-Oct-1996,0,35.25,31.75,32.75,169500,31.43
10-Oct-1996,0,33.25,30,30.25,184800,29.03
11-Oct-1996,0,31,28.25,28.75,321100,27.59
14-Oct-1996,0,31,28.25,31,499900,29.75
15-Oct-1996,0,33,31.75,32.88,264300,31.56
16-Oct-1996,0,33,32.25,32.5,151900,31.19
17-Oct-1996,0,32.5,31.75,32.12,34000,30.83
18-Oct-1996,0,34.25,31.75,34,106300,32.63
21-Oct-1996,0,34.25,33.5,33.5,36200,32.15
22-Oct-1996,0,34,32.25,32.5,117900,31.19
23-Oct-1996,0,32.75,31,31.5,92400,30.23
24-Oct-1996,0,31.75,30.62,30.62,24400,29.39
25-Oct-1996,0,32.5,30.75,31.75,165500,30.47
28-Oct-1996,0,32.5,31.75,32,85700,30.71
29-Oct-1996,0,33,32,33,71000,31.67
30-Oct-1996,0,32.75,31.5,32.12,58400,30.83
31-Oct-1996,0,32,30.5,32,22400,30.71
01-Nov-1996,0,32.25,31,31.25,1836900,29.99
04-Nov-1996,0,31.75,31.12,31.19,97200,29.93
05-Nov-1996,0,31.75,31,31.25,431200,29.99
06-Nov-1996,0,35.12,31.25,33.75,264500,32.39
07-Nov-1996,0,34,32.75,33.75,215800,32.39
08-Nov-1996,0,33.75,32.25,32.25,159300,30.95
11-Nov-1996,0,33.75,32.25,33.75,229200,32.39
12-Nov-1996,0,33.75,33,33.25,323000,31.91
13-Nov-1996,0,35.25,33.5,34.88,289500,33.48
14-Nov-1996,0,37,34.75,36.12,436600,34.67
15-Nov-1996,0,36.25,35,35.25,443800,33.83
18-Nov-1996,0,35.5,31.5,32,675000,30.71
19-Nov-1996,0,32.5,31.75,31.75,378400,30.47
20-Nov-1996,0,32,26,27.25,995600,26.15
21-Nov-1996,0,30.25,27,29.88,1056800,28.68
22-Nov-1996,0,31.25,29.25,30.38,202000,29.16
25-Nov-1996,0,31.75,30.75,31.75,351500,30.47
26-Nov-1996,0,31.75,31,31.25,177900,29.99
27-Nov-1996,0,31.75,31.25,31.25,164700,29.99
29-Nov-1996,0,32.25,31.25,31.5,61400,30.23
02-Dec-1996,0,33.75,31.5,33,137100,31.67
03-Dec-1996,0,35.25,34.25,34.56,572000,33.17
04-Dec-1996,0,34.75,33,33.25,240200,31.91
05-Dec-1996,0,33.75,33.25,33.25,129500,31.91
06-Dec-1996,0,33.25,31.25,32.5,420500,31.19
09-Dec-1996,0,32.75,32,32.12,32100,30.83
10-Dec-1996,0,33.75,32.06,33.75,183500,32.39
11-Dec-1996,0,33.25,31.5,33.25,164900,31.91
12-Dec-1996,0,35,33,34.12,348200,32.75
13-Dec-1996,0,34.25,33,33.12,79900,31.79
16-Dec-1996,0,34.75,33.12,34.5,120300,33.11
17-Dec-1996,0,33.38,29.5,29.75,312000,28.55
18-Dec-1996,0,31.5,29.88,30.38,314500,29.16
19-Dec-1996,0,30.5,24.12,28.25,1152500,27.11
20-Dec-1996,0,29,25.75,26.5,217400,25.43
23-Dec-1996,0,26.75,25.88,26,162800,24.95
24-Dec-1996,0,27,26,26.25,110800,25.19
26-Dec-1996,0,27.88,26.5,27,80600,25.91
27-Dec-1996,0,27.25,25.62,25.62,60500,24.59
30-Dec-1996,0,26.25,25,25,47200,23.99
31-Dec-1996,0,26.25,25.02,26,144800,24.95
02-Jan-1997,0,27.62,25.75,27,330200,25.91
03-Jan-1997,0,29,27.5,29,273500,27.83
06-Jan-1997,0,32,28.5,30.5,547500,29.27
07-Jan-1997,0,33,30.25,32.5,151000,31.19
08-Jan-1997,0,34.25,32.5,34,385300,32.63
09-Jan-1997,0,34.25,31.75,31.75,142000,30.47
10-Jan-1997,0,31.75,29.88,31.38,206200,30.12
13-Jan-1997,0,32,30.19,30.19,43700,28.97
14-Jan-1997,0,31,29.25,29.25,149800,28.07
15-Jan-1997,0,29.75,28.38,29,119700,27.83
16-Jan-1997,0,29.12,28,28.5,126700,27.35
17-Jan-1997,0,30.25,28.5,30,194200,28.79
20-Jan-1997,0,30.62,29.5,29.75,123200,28.55
21-Jan-1997,0,30.25,29.25,29.38,31300,28.2
22-Jan-1997,0,29.75,28.5,28.62,66200,27.47
23-Jan-1997,0,28.75,25.5,26.75,313700,25.67
24-Jan-1997,0,28.25,26.75,28,360200,26.87
27-Jan-1997,0,30.25,27.5,30,416100,28.79
28-Jan-1997,0,30,28,28.25,95500,27.11
29-Jan-1997,0,29,27.75,28,120200,26.87
30-Jan-1997,0,28.75,27.75,28.38,262700,27.24
31-Jan-1997,0,28.75,27.75,28.5,150100,27.35
03-Feb-1997,0,28,27,27.5,123400,26.39
04-Feb-1997,0,28,26,27.25,164800,26.15
05-Feb-1997,0,28.38,27,27.75,262400,26.63
06-Feb-1997,0,29,27.5,28.12,149700,26.99
07-Feb-1997,0,28.12,26.25,27,208200,25.91
10-Feb-1997,0,26.75,23.5,23.75,491600,22.79
11-Feb-1997,0,26,22.75,24,996100,23.03
12-Feb-1997,0,26,24.75,25.5,1058200,24.47
13-Feb-1997,0,26.38,25.38,25.88,697300,24.84
14-Feb-1997,0,26.5,25.88,26.12,124000,25.07
18-Feb-1997,0,27.75,26.25,27,127200,25.91
19-Feb-1997,0,27.75,26.5,26.5,693000,25.43
20-Feb-1997,0,27.5,26.38,27.5,168200,26.39
21-Feb-1997,0,27.5,25,25.5,218300,24.47
24-Feb-1997,0,26.75,24,26,133100,24.95
25-Feb-1997,0,28,26,26.5,128100,25.43
26-Feb-1997,0,26.75,25.5,25.62,151500,24.59
27-Feb-1997,0,25.62,25.25,25.25,54900,24.23
28-Feb-1997,0,25.25,24.38,24.44,168500,23.46
03-Mar-1997,0,25.12,22.75,22.75,112400,21.83
04-Mar-1997,0,23.5,22,22.88,281100,21.96
05-Mar-1997,0,24.25,22.5,23.88,188100,22.92
06-Mar-1997,0,26.25,23.62,25.5,139600,24.47
07-Mar-1997,0,26.38,23.5,24.25,72200,23.27
10-Mar-1997,0,24.5,21.5,21.88,192200,21
11-Mar-1997,0,21.62,20.25,21.12,408800,20.27
12-Mar-1997,0,21.25,20.12,21,325000,20.15
13-Mar-1997,0,21.25,20.62,20.88,627100,20.04
14-Mar-1997,0,21.12,19.75,19.81,453000,19.01
17-Mar-1997,0,20.12,19.5,19.75,57500,18.96
18-Mar-1997,0,20,19.12,19.12,303400,18.35
19-Mar-1997,0,19.62,17.25,17.5,125200,16.8
20-Mar-1997,0,18.75,17.25,18,451300,17.28
21-Mar-1997,0,20.25,17.88,20,143900,19.2
24-Mar-1997,0,20,17.25,18.25,1486400,17.52
25-Mar-1997,0,19,17.5,17.88,200900,17.16
26-Mar-1997,0,20,17.75,20,390000,19.2
27-Mar-1997,0,21.75,19.88,20.25,503200,19.43
31-Mar-1997,0,21.12,19.75,19.75,175900,18.96
01-Apr-1997,0,20.25,19.62,20.12,217500,19.31
02-Apr-1997,0,20.12,19.25,19.25,83600,18.48
03-Apr-1997,0,19.88,19,19.25,53500,18.48
04-Apr-1997,0,21.62,18.88,21.12,214700,20.27
07-Apr-1997,0,24.25,21,23.5,245300,22.55
08-Apr-1997,0,26,23,23.38,354700,22.44
09-Apr-1997,0,23.75,21.75,22.88,145200,21.96
10-Apr-1997,0,23.38,22.38,23,128700,22.07
11-Apr-1997,0,23.75,21.75,22.62,164100,21.71
14-Apr-1997,0,22.75,21.25,22.25,143100,21.35
15-Apr-1997,0,23.5,22.5,22.88,107000,21.96
16-Apr-1997,0,23.75,22.25,23.5,132500,22.55
17-Apr-1997,0,23.62,22.5,22.88,118800,21.96
18-Apr-1997,0,23.25,21.62,22.25,271500,21.35
21-Apr-1997,0,20.12,18,18.25,1530400,17.52
22-Apr-1997,0,18.88,17,17.25,186400,16.56
23-Apr-1997,0,18.12,17.25,17.38,404300,16.68
24-Apr-1997,0,18.12,17,17.25,128400,16.56
25-Apr-1997,0,17.75,16.88,17.25,107800,16.56
28-Apr-1997,0,17.38,16.62,17,221700,16.32
