Date,Open,High,Low,Close,Volume,AdjClose
22-Apr-1999,0,17,15,17,4118300,15.2
23-Apr-1999,0,17.5,16.38,17.25,698000,15.42
26-Apr-1999,0,17.44,16.75,17.12,331700,15.3
27-Apr-1999,0,17,16.62,16.88,252500,15.09
28-Apr-1999,0,17.81,17,17.81,383100,15.92
29-Apr-1999,0,19.25,17.88,18.88,523700,16.88
30-Apr-1999,0,19.75,19.12,19.5,221000,17.43
03-May-1999,0,19.62,18.94,19.38,205200,17.32
04-May-1999,0,20.12,19.38,20.06,523700,17.93
05-May-1999,0,20.06,19.69,20.06,127600,17.93
06-May-1999,0,20.12,19.75,20.12,108900,17.98
07-May-1999,0,21.38,19.88,21,85600,18.77
10-May-1999,0,21.5,20.62,20.88,84600,18.66
11-May-1999,0,20.88,20.06,20.19,54600,18.05
12-May-1999,0,21.56,20.06,20.94,42200,18.72
13-May-1999,0,21,20.12,20.56,208800,18.38
14-May-1999,0,20,19.38,19.38,58100,17.32
17-May-1999,0,19.75,19.25,19.75,54300,17.65
18-May-1999,0,20.31,19.5,19.88,138000,17.77
19-May-1999,0,21.38,19.75,21.25,323600,18.99
20-May-1999,0,22.25,21.12,21.19,289200,18.94
21-May-1999,0,21.38,20.38,21.06,126600,18.82
24-May-1999,0,21.75,19.88,20.12,133500,17.98
25-May-1999,0,20.38,19.88,20,89600,17.88
26-May-1999,0,20.12,19.31,20,42900,17.88
27-May-1999,0,20.75,20,20.38,90100,18.22
28-May-1999,0,20.75,20,20.5,8700,18.32
01-Jun-1999,0,20.75,20,20.38,23500,18.22
02-Jun-1999,0,21.38,20.06,21.38,88200,19.11
03-Jun-1999,0,21.88,20.38,21.75,74300,19.44
04-Jun-1999,0,22.75,21.25,22.5,53600,20.11
07-Jun-1999,0,22.5,21.88,21.88,19200,19.56
08-Jun-1999,0,22.25,21,21,26500,18.77
09-Jun-1999,0,21.56,20.88,21.19,18400,18.94
10-Jun-1999,0,22,21.19,21.5,8500,19.22
11-Jun-1999,0,22,21,21.75,36400,19.44
14-Jun-1999,0,21.88,20,20,18600,17.88
15-Jun-1999,0,20,17.5,19.12,71000,17.09
16-Jun-1999,0,20,18.75,19.25,20900,17.21
17-Jun-1999,0,20,19.5,20,7100,17.88
18-Jun-1999,0,20.5,19.88,20.25,10500,18.1
21-Jun-1999,0,20.75,20.38,20.75,31100,18.55
22-Jun-1999,0,22,20.5,21.5,190800,19.22
23-Jun-1999,0,21.5,21,21.25,55600,18.99
24-Jun-1999,0,21.88,21.12,21.12,10600,18.88
25-Jun-1999,0,23,21.12,21.75,39600,19.44
28-Jun-1999,0,23.62,22.12,23,140100,20.56
29-Jun-1999,0,24,22.88,24,109000,21.45
30-Jun-1999,0,26.19,24,25.5,1016000,22.79
01-Jul-1999,0,25.56,23.25,23.25,171200,20.78
02-Jul-1999,0,24.25,23.25,23.5,71000,21.01
06-Jul-1999,0,24.12,23.5,23.75,27100,21.23
07-Jul-1999,0,24.12,23.62,23.75,16200,21.23
08-Jul-1999,0,23.88,23,23,109800,20.56
09-Jul-1999,0,23.25,22.38,22.44,79500,20.06
12-Jul-1999,0,22.44,20.38,21.25,28800,18.99
13-Jul-1999,0,21.38,20.12,20.5,87600,18.32
14-Jul-1999,0,20.75,20,20.19,147100,18.05
15-Jul-1999,0,20.5,19.88,20.25,316200,18.1
16-Jul-1999,0,21.25,20.38,21.25,100900,18.99
19-Jul-1999,0,22.62,21,22.38,61800,20
20-Jul-1999,0,23.5,22.25,23.38,133400,20.9
21-Jul-1999,0,25.5,23.12,25.25,138100,22.57
22-Jul-1999,0,25.5,24.5,24.62,147400,22.01
23-Jul-1999,0,24.5,22.5,22.94,142100,20.51
26-Jul-1999,0,23.5,22.25,22.75,56600,20.34
27-Jul-1999,0,23,22.38,22.88,7900,20.45
28-Jul-1999,0,23.25,22.69,23.12,114000,20.67
29-Jul-1999,0,23,22.5,22.5,203000,20.11
30-Jul-1999,0,23.12,22.62,23.12,61400,20.67
02-Aug-1999,0,24,22.88,23,43700,20.56
03-Aug-1999,0,23.5,22.75,23.5,10700,21.01
04-Aug-1999,0,24,22.62,23.5,30500,21.01
05-Aug-1999,0,23.38,22.62,22.62,5000,20.22
06-Aug-1999,0,22.62,21.75,22,17500,19.66
09-Aug-1999,0,22,21.62,21.88,26700,19.56
10-Aug-1999,0,21.75,19.75,20,70200,17.88
11-Aug-1999,0,20.62,19.62,19.88,88600,17.77
12-Aug-1999,0,19.97,18.25,19,107300,16.98
13-Aug-1999,0,19.25,18.75,19,337200,16.98
16-Aug-1999,0,20.25,18.88,19.94,249000,17.82
17-Aug-1999,0,19.88,19.5,19.88,22200,17.77
18-Aug-1999,0,20.12,19.88,19.88,21000,17.77
19-Aug-1999,0,20.06,19.88,19.88,28300,17.77
20-Aug-1999,0,20,19.62,19.88,6500,17.77
23-Aug-1999,0,19.94,19.75,19.88,3900,17.77
24-Aug-1999,0,19.94,19.75,19.88,5400,17.77
25-Aug-1999,0,19.78,19.25,19.25,3700,17.21
26-Aug-1999,0,19.5,18,18.19,435200,16.26
27-Aug-1999,0,19.12,18.25,19.12,162100,17.09
30-Aug-1999,0,19.38,18.62,19.25,76100,17.21
31-Aug-1999,0,20,19,19.94,117500,17.82
01-Sep-1999,0,21.12,19.88,20.62,43100,18.43
02-Sep-1999,0,21,20.62,21,11200,18.77
03-Sep-1999,0,25.12,22.12,25.12,60900,22.45
07-Sep-1999,0,24.25,22.88,23.25,105100,20.78
08-Sep-1999,0,23.03,22.25,22.75,2100,20.34
09-Sep-1999,0,23,22.25,22.56,45000,20.17
10-Sep-1999,0,22.75,22.25,22.38,5200,20
13-Sep-1999,0,22.75,21.88,21.88,26200,19.56
14-Sep-1999,0,22,21.62,21.75,15500,19.44
15-Sep-1999,0,22,21.62,22,9000,19.66
16-Sep-1999,0,22.25,21.5,21.62,9400,19.33
17-Sep-1999,0,21.94,21.62,21.62,4300,19.33
20-Sep-1999,0,22,21.62,22,1100,19.66
21-Sep-1999,0,23.75,21.5,22.75,17200,20.34
22-Sep-1999,0,23.25,22.75,23.25,2600,20.78
23-Sep-1999,0,23,22.5,22.62,7500,20.22
24-Sep-1999,0,23,22.38,23,27300,20.56
27-Sep-1999,0,24.33,22.97,23.62,26200,21.11
28-Sep-1999,0,24.5,23.62,24.12,10500,21.56
29-Sep-1999,0,24.88,24.12,24.88,38200,22.24
30-Sep-1999,0,25.38,24.62,25.25,98300,22.57
01-Oct-1999,0,25.62,25,25.25,9200,22.57
04-Oct-1999,0,26,25,25.25,17300,22.57
05-Oct-1999,0,25.5,24.75,24.75,101800,22.12
06-Oct-1999,0,25.38,24.38,25.34,129400,22.65
07-Oct-1999,0,25.34,24.5,24.88,46600,22.24
08-Oct-1999,0,24.88,24.62,24.81,14400,22.18
11-Oct-1999,0,25.5,24.62,25.5,14600,22.79
12-Oct-1999,0,25.62,25,25.38,47800,22.69
13-Oct-1999,0,25.5,23.38,23.88,74200,21.35
14-Oct-1999,0,24.06,23.81,23.88,216600,21.35
15-Oct-1999,0,24,22.69,22.69,71500,20.28
