Date,Open,High,Low,Close,Volume,AdjClose
20-May-1993,0,2.02,1.93,1.95,10645031,1.78
21-May-1993,0,1.99,1.93,1.93,1424250,1.76
24-May-1993,0,1.99,1.93,1.93,639844,1.76
25-May-1993,0,1.99,1.93,1.96,715781,1.79
26-May-1993,0,1.99,1.93,1.93,791156,1.76
27-May-1993,0,1.99,1.9,1.9,1038656,1.73
28-May-1993,0,1.96,1.9,1.9,684281,1.73
01-Jun-1993,0,1.99,1.9,1.95,756844,1.78
02-Jun-1993,0,1.98,1.9,1.93,405281,1.76
03-Jun-1993,0,1.99,1.9,1.96,683719,1.79
04-Jun-1993,0,1.99,1.91,1.93,236250,1.76
07-Jun-1993,0,1.99,1.93,1.96,510750,1.79
08-Jun-1993,0,1.99,1.93,1.96,441281,1.79
09-Jun-1993,0,1.99,1.93,1.99,996750,1.82
10-Jun-1993,0,1.99,1.93,1.96,606094,1.79
11-Jun-1993,0,1.99,1.93,1.93,161438,1.76
14-Jun-1993,0,2.06,1.93,2.06,823500,1.88
15-Jun-1993,0,2.15,2.02,2.06,883406,1.88
16-Jun-1993,0,2.12,2.06,2.06,390938,1.88
17-Jun-1993,0,2.15,2.06,2.06,393750,1.88
18-Jun-1993,0,2.18,2.06,2.09,256781,1.91
21-Jun-1993,0,2.18,2.12,2.18,256219,1.99
22-Jun-1993,0,2.31,2.15,2.21,765844,2.02
23-Jun-1993,0,2.31,2.21,2.21,1467563,2.02
24-Jun-1993,0,2.28,2.21,2.23,1717313,2.03
25-Jun-1993,0,2.28,2.21,2.21,583031,2.02
28-Jun-1993,0,2.25,2.21,2.23,430031,2.03
29-Jun-1993,0,2.25,2.21,2.25,256781,2.05
30-Jun-1993,0,2.37,2.26,2.34,1098281,2.13
01-Jul-1993,0,2.37,2.31,2.37,140625,2.16
02-Jul-1993,0,2.37,2.31,2.34,144563,2.13
06-Jul-1993,0,2.34,2.28,2.34,743625,2.13
07-Jul-1993,0,2.37,2.28,2.37,526781,2.16
08-Jul-1993,0,2.5,2.31,2.47,590906,2.25
09-Jul-1993,0,2.56,2.47,2.47,524813,2.25
12-Jul-1993,0,2.56,2.44,2.44,202781,2.23
13-Jul-1993,0,2.5,2.44,2.44,95063,2.23
14-Jul-1993,0,2.5,2.44,2.44,772031,2.23
