Date,Open,High,Low,Close,Volume,AdjClose
17-Aug-1998,0,9.44,8.88,9.44,1900,2.78
18-Aug-1998,0,9.69,9.25,9.5,8500,2.8
19-Aug-1998,0,9.5,9,9.25,5500,2.72
20-Aug-1998,0,9.25,9,9,1900,2.65
21-Aug-1998,0,8.94,8.88,8.88,2000,2.61
24-Aug-1998,0,8.88,8.88,8.88,2000,2.61
25-Aug-1998,0,8.62,8.06,8.19,5900,2.41
26-Aug-1998,0,8.06,8.06,8.06,200,2.37
27-Aug-1998,0,8.75,8.06,8.75,27300,2.58
28-Aug-1998,0,8.62,8.5,8.62,900,2.54
31-Aug-1998,0,8.5,8.31,8.31,1300,2.45
01-Sep-1998,0,8.12,7.88,8.12,6000,2.39
02-Sep-1998,0,8,8,8,400,2.35
03-Sep-1998,0,8,7.81,7.88,2700,2.32
04-Sep-1998,0,8.5,8,8.5,2400,2.5
08-Sep-1998,0,8.5,8.38,8.38,4500,2.47
09-Sep-1998,0,8.25,8.25,8.25,3000,2.43
10-Sep-1998,0,8.25,8.25,8.25,600,2.43
11-Sep-1998,0,8.25,8.25,8.25,8300,2.43
14-Sep-1998,0,8.25,8.25,8.25,900,2.43
15-Sep-1998,0,8.75,8.25,8.75,12700,2.58
16-Sep-1998,0,8.62,8.5,8.5,1500,2.5
17-Sep-1998,0,8.38,8.12,8.12,2100,2.39
18-Sep-1998,0,8.12,8.12,8.12,2200,2.39
21-Sep-1998,0,8.25,8.12,8.25,4800,2.43
22-Sep-1998,0,8.5,8.12,8.12,6700,2.39
23-Sep-1998,0,8.38,8.12,8.38,1100,2.47
24-Sep-1998,0,8.5,8.31,8.31,1700,2.45
25-Sep-1998,0,8.25,8.25,8.25,1000,2.43
28-Sep-1998,0,8.5,8.38,8.5,3500,2.56
29-Sep-1998,0,8.25,8.19,8.25,2200,2.49
30-Sep-1998,0,8.12,8.12,8.12,400,2.45
01-Oct-1998,0,8.12,8.12,8.12,600,2.45
02-Oct-1998,0,8,8,8,400,2.41
05-Oct-1998,0,8.25,8,8.25,2200,2.49
06-Oct-1998,0,8.12,8.06,8.06,5900,2.43
07-Oct-1998,NaN,NaN,NaN,8.06,0,2.43
08-Oct-1998,0,8.06,8,8.06,2500,2.43
09-Oct-1998,0,8,8,8,100,2.41
12-Oct-1998,0,8,8,8,100,2.41
13-Oct-1998,0,8.38,8,8,2600,2.41
14-Oct-1998,0,8,7.88,7.88,1300,2.37
15-Oct-1998,0,8,7.88,7.88,1900,2.37
16-Oct-1998,0,8.12,7.88,8.12,3400,2.45
19-Oct-1998,0,8,8,8,3400,2.41
20-Oct-1998,0,8.38,8,8.12,3100,2.45
21-Oct-1998,0,8.25,8,8.25,500,2.49
22-Oct-1998,0,8.25,8.25,8.25,3500,2.49
23-Oct-1998,0,8.25,8.25,8.25,1100,2.49
26-Oct-1998,0,8.19,8.06,8.06,1400,2.43
27-Oct-1998,NaN,NaN,NaN,8.06,0,2.43
28-Oct-1998,0,8,8,8,600,2.41
29-Oct-1998,0,8,8,8,3000,2.41
30-Oct-1998,0,8,8,8,1200,2.41
02-Nov-1998,0,8.12,8.06,8.12,3200,2.45
03-Nov-1998,0,8.06,8.06,8.06,300,2.43
04-Nov-1998,0,8.12,8.12,8.12,300,2.45
05-Nov-1998,0,8,8,8,200,2.41
06-Nov-1998,0,8,8,8,700,2.41
09-Nov-1998,0,8,8,8,1400,2.41
10-Nov-1998,0,7.88,7.56,7.75,10200,2.33
11-Nov-1998,0,7.75,7.5,7.5,12300,2.26
12-Nov-1998,0,7.56,7.56,7.56,800,2.28
13-Nov-1998,0,7.56,7.56,7.56,1500,2.28
16-Nov-1998,0,7.75,7.75,7.75,1900,2.33
17-Nov-1998,0,8.25,7.88,7.88,15400,2.37
18-Nov-1998,0,8,7.75,7.88,6600,2.37
19-Nov-1998,0,7.88,7.75,7.88,700,2.37
20-Nov-1998,0,8.06,7.81,8,10200,2.41
23-Nov-1998,0,8,7.81,7.81,3500,2.35
24-Nov-1998,0,7.88,7.88,7.88,1100,2.37
25-Nov-1998,0,8,8,8,1900,2.41
27-Nov-1998,0,8,8,8,500,2.41
30-Nov-1998,NaN,NaN,NaN,8,0,2.41
