Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.15,1.09,1.09,202,0.5
04-Jan-1978,NaN,NaN,NaN,1.09,0,0.5
05-Jan-1978,NaN,NaN,NaN,1.09,0,0.5
06-Jan-1978,0,1.15,1.09,1.09,7999,0.5
09-Jan-1978,0,1.13,1.08,1.08,8397,0.5
10-Jan-1978,0,1.13,1.08,1.08,12602,0.5
11-Jan-1978,NaN,NaN,NaN,1.08,0,0.5
12-Jan-1978,0,1.13,1.08,1.08,14600,0.5
13-Jan-1978,NaN,NaN,NaN,1.08,0,0.5
16-Jan-1978,NaN,NaN,NaN,1.08,0,0.5
17-Jan-1978,0,1.13,1.08,1.08,20000,0.5
18-Jan-1978,NaN,NaN,NaN,1.08,0,0.5
19-Jan-1978,NaN,NaN,NaN,1.08,0,0.5
20-Jan-1978,0,1.13,1.08,1.08,202,0.5
23-Jan-1978,NaN,NaN,NaN,1.08,0,0.5
24-Jan-1978,NaN,NaN,NaN,1.07,0,0.49
25-Jan-1978,0,1.12,1.07,1.07,10800,0.49
26-Jan-1978,0,1.12,1.07,1.07,202,0.49
27-Jan-1978,NaN,NaN,NaN,1.07,0,0.49
30-Jan-1978,0,1.12,1.07,1.07,12602,0.49
31-Jan-1978,NaN,NaN,NaN,1.07,0,0.49
01-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
02-Feb-1978,0,1.13,1.08,1.08,4401,0.5
03-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
06-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
07-Feb-1978,0,1.13,1.08,1.08,202,0.5
08-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
09-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
10-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
13-Feb-1978,0,1.13,1.08,1.08,3800,0.5
14-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
15-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
16-Feb-1978,0,1.13,1.08,1.08,3800,0.5
17-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
21-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
22-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
23-Feb-1978,NaN,NaN,NaN,1.08,0,0.5
24-Feb-1978,0,1.13,1.08,1.08,20000,0.5
27-Feb-1978,0,1.15,1.09,1.09,10800,0.5
28-Feb-1978,0,1.15,1.09,1.09,4401,0.5
01-Mar-1978,NaN,NaN,NaN,1.09,0,0.5
02-Mar-1978,NaN,NaN,NaN,1.09,0,0.5
03-Mar-1978,0,1.15,1.09,1.09,202,0.5
06-Mar-1978,0,1.15,1.09,1.09,10800,0.5
07-Mar-1978,NaN,NaN,NaN,1.09,0,0.5
08-Mar-1978,0,1.15,1.09,1.09,10800,0.5
09-Mar-1978,0,1.15,1.09,1.09,202,0.5
10-Mar-1978,NaN,NaN,NaN,1.09,0,0.5
13-Mar-1978,0,1.15,1.09,1.09,18799,0.5
14-Mar-1978,0,1.15,1.09,1.09,18799,0.5
15-Mar-1978,0,1.25,1.2,1.2,50402,0.55
16-Mar-1978,0,1.28,1.22,1.22,48802,0.56
17-Mar-1978,NaN,NaN,NaN,1.22,0,0.56
20-Mar-1978,0,1.28,1.22,1.22,39002,0.56
21-Mar-1978,0,1.32,1.27,1.27,54202,0.58
22-Mar-1978,0,1.34,1.29,1.29,18799,0.59
23-Mar-1978,0,1.36,1.3,1.3,22802,0.6
27-Mar-1978,0,1.33,1.28,1.28,126002,0.59
28-Mar-1978,NaN,NaN,NaN,1.28,0,0.59
29-Mar-1978,0,1.34,1.29,1.29,121797,0.59
30-Mar-1978,NaN,NaN,NaN,1.29,0,0.59
31-Mar-1978,0,1.34,1.29,1.29,202,0.59
03-Apr-1978,NaN,NaN,NaN,1.29,0,0.59
04-Apr-1978,0,1.34,1.29,1.29,202,0.59
05-Apr-1978,NaN,NaN,NaN,1.29,0,0.59
06-Apr-1978,0,1.34,1.29,1.29,14600,0.59
07-Apr-1978,0,1.34,1.29,1.29,18799,0.59
10-Apr-1978,0,1.34,1.29,1.29,12602,0.59
11-Apr-1978,0,1.34,1.29,1.29,3800,0.59
12-Apr-1978,0,1.34,1.29,1.29,202,0.59
13-Apr-1978,0,1.36,1.3,1.3,12602,0.6
14-Apr-1978,0,1.36,1.3,1.3,76802,0.6
17-Apr-1978,0,1.34,1.29,1.29,38002,0.59
18-Apr-1978,0,1.33,1.28,1.28,58401,0.59
19-Apr-1978,0,1.33,1.28,1.28,10800,0.59
20-Apr-1978,NaN,NaN,NaN,1.28,0,0.59
21-Apr-1978,0,1.33,1.28,1.28,34202,0.59
24-Apr-1978,0,1.33,1.28,1.28,136202,0.59
25-Apr-1978,NaN,NaN,NaN,1.28,0,0.59
26-Apr-1978,0,1.32,1.27,1.27,3800,0.58
27-Apr-1978,NaN,NaN,NaN,1.28,0,0.59
28-Apr-1978,NaN,NaN,NaN,1.28,0,0.59
01-May-1978,0,1.32,1.27,1.27,20000,0.58
02-May-1978,0,1.28,1.22,1.22,39002,0.56
03-May-1978,NaN,NaN,NaN,1.22,0,0.56
04-May-1978,0,1.27,1.21,1.21,12602,0.56
05-May-1978,0,1.25,1.2,1.2,8397,0.55
08-May-1978,NaN,NaN,NaN,1.2,0,0.55
09-May-1978,0,1.24,1.19,1.19,8397,0.55
10-May-1978,0,1.24,1.19,1.19,4401,0.55
11-May-1978,NaN,NaN,NaN,1.19,0,0.55
12-May-1978,NaN,NaN,NaN,1.19,0,0.55
15-May-1978,0,1.24,1.19,1.19,28202,0.55
16-May-1978,0,1.24,1.19,1.19,10800,0.55
17-May-1978,0,1.25,1.2,1.2,202,0.55
18-May-1978,0,1.27,1.21,1.21,34999,0.56
19-May-1978,0,1.27,1.21,1.21,202,0.56
22-May-1978,NaN,NaN,NaN,1.21,0,0.56
23-May-1978,0,1.27,1.21,1.21,202,0.56
24-May-1978,NaN,NaN,NaN,1.21,0,0.56
25-May-1978,0,1.27,1.21,1.21,30800,0.56
26-May-1978,NaN,NaN,NaN,1.21,0,0.56
30-May-1978,NaN,NaN,NaN,1.21,0,0.56
31-May-1978,0,1.27,1.21,1.21,202,0.56
01-Jun-1978,NaN,NaN,NaN,1.21,0,0.56
02-Jun-1978,NaN,NaN,NaN,1.21,0,0.56
05-Jun-1978,0,1.27,1.21,1.21,202,0.56
06-Jun-1978,0,1.28,1.22,1.22,14600,0.56
07-Jun-1978,NaN,NaN,NaN,1.22,0,0.56
08-Jun-1978,0,1.28,1.22,1.22,4401,0.56
09-Jun-1978,NaN,NaN,NaN,1.22,0,0.56
12-Jun-1978,NaN,NaN,NaN,1.22,0,0.56
13-Jun-1978,0,1.28,1.22,1.22,4401,0.56
14-Jun-1978,0,1.28,1.22,1.22,18799,0.56
15-Jun-1978,0,1.29,1.24,1.24,202,0.57
16-Jun-1978,0,1.29,1.24,1.24,202,0.57
19-Jun-1978,0,1.29,1.24,1.24,56599,0.57
20-Jun-1978,0,1.29,1.24,1.24,46197,0.57
21-Jun-1978,NaN,NaN,NaN,1.24,0,0.57
22-Jun-1978,NaN,NaN,NaN,1.24,0,0.57
23-Jun-1978,NaN,NaN,NaN,1.24,0,0.57
26-Jun-1978,0,1.29,1.24,1.24,202,0.57
27-Jun-1978,NaN,NaN,NaN,1.24,0,0.57
28-Jun-1978,NaN,NaN,NaN,1.24,0,0.57
29-Jun-1978,NaN,NaN,NaN,1.24,0,0.57
30-Jun-1978,NaN,NaN,NaN,1.24,0,0.57
03-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
05-Jul-1978,0,1.29,1.24,1.24,202,0.57
06-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
07-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
10-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
11-Jul-1978,0,1.29,1.24,1.24,202,0.57
12-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
13-Jul-1978,0,1.27,1.21,1.21,16200,0.56
14-Jul-1978,0,1.29,1.24,1.24,22802,0.57
17-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
18-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
19-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
20-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
21-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
24-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
25-Jul-1978,0,1.29,1.24,1.24,202,0.57
26-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
27-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
28-Jul-1978,NaN,NaN,NaN,1.24,0,0.57
31-Jul-1978,0,1.29,1.24,1.24,202,0.57
01-Aug-1978,NaN,NaN,NaN,1.24,0,0.57
02-Aug-1978,0,1.3,1.25,1.25,202,0.57
03-Aug-1978,NaN,NaN,NaN,1.25,0,0.57
04-Aug-1978,0,1.3,1.25,1.25,14600,0.57
07-Aug-1978,NaN,NaN,NaN,1.25,0,0.57
08-Aug-1978,0,1.32,1.27,1.27,202,0.58
09-Aug-1978,NaN,NaN,NaN,1.27,0,0.58
10-Aug-1978,0,1.32,1.27,1.27,3800,0.58
11-Aug-1978,NaN,NaN,NaN,1.27,0,0.58
14-Aug-1978,0,1.32,1.27,1.27,202,0.58
15-Aug-1978,NaN,NaN,NaN,1.27,0,0.58
16-Aug-1978,NaN,NaN,NaN,1.27,0,0.58
17-Aug-1978,NaN,NaN,NaN,1.27,0,0.58
18-Aug-1978,NaN,NaN,NaN,1.27,0,0.58
21-Aug-1978,NaN,NaN,NaN,1.28,0,0.59
22-Aug-1978,0,1.37,1.32,1.32,250999,0.61
23-Aug-1978,0,1.37,1.32,1.32,202,0.61
24-Aug-1978,0,1.36,1.3,1.3,3800,0.6
25-Aug-1978,0,1.61,1.53,1.53,99799,0.7
28-Aug-1978,0,1.6,1.52,1.52,121797,0.7
29-Aug-1978,0,1.59,1.5,1.5,43200,0.69
30-Aug-1978,0,1.59,1.5,1.5,8397,0.69
31-Aug-1978,0,1.59,1.5,1.5,12602,0.69
01-Sep-1978,NaN,NaN,NaN,1.5,0,0.69
05-Sep-1978,0,1.61,1.53,1.53,3800,0.7
06-Sep-1978,NaN,NaN,NaN,1.53,0,0.7
07-Sep-1978,NaN,NaN,NaN,1.56,0,0.72
08-Sep-1978,0,1.63,1.56,1.56,4401,0.72
11-Sep-1978,0,1.63,1.56,1.56,53001,0.72
12-Sep-1978,0,1.63,1.56,1.56,202,0.72
13-Sep-1978,0,1.63,1.56,1.56,38002,0.72
14-Sep-1978,0,1.63,1.56,1.56,20000,0.72
15-Sep-1978,NaN,NaN,NaN,1.56,0,0.72
18-Sep-1978,0,1.63,1.56,1.56,3800,0.72
19-Sep-1978,NaN,NaN,NaN,1.53,0,0.7
20-Sep-1978,0,1.62,1.54,1.54,30800,0.71
21-Sep-1978,NaN,NaN,NaN,1.56,0,0.72
22-Sep-1978,0,1.61,1.53,1.53,8397,0.7
25-Sep-1978,NaN,NaN,NaN,1.53,0,0.7
26-Sep-1978,0,1.61,1.53,1.53,8397,0.7
27-Sep-1978,0,1.61,1.53,1.53,76802,0.7
28-Sep-1978,NaN,NaN,NaN,1.53,0,0.7
29-Sep-1978,NaN,NaN,NaN,1.53,0,0.7
02-Oct-1978,0,1.61,1.53,1.53,202,0.7
03-Oct-1978,NaN,NaN,NaN,1.56,0,0.72
04-Oct-1978,NaN,NaN,NaN,1.56,0,0.72
05-Oct-1978,NaN,NaN,NaN,1.56,0,0.72
06-Oct-1978,0,1.62,1.54,1.54,8397,0.71
09-Oct-1978,NaN,NaN,NaN,1.56,0,0.72
10-Oct-1978,0,1.63,1.56,1.56,202,0.72
11-Oct-1978,0,1.65,1.57,1.57,3800,0.72
12-Oct-1978,NaN,NaN,NaN,1.57,0,0.72
13-Oct-1978,0,1.65,1.57,1.57,3800,0.72
16-Oct-1978,0,1.65,1.57,1.57,202,0.72
17-Oct-1978,NaN,NaN,NaN,1.57,0,0.72
18-Oct-1978,NaN,NaN,NaN,1.57,0,0.72
19-Oct-1978,NaN,NaN,NaN,1.57,0,0.72
20-Oct-1978,0,1.65,1.57,1.57,4401,0.72
23-Oct-1978,0,1.65,1.57,1.57,202,0.72
24-Oct-1978,0,1.65,1.57,1.57,40797,0.72
25-Oct-1978,NaN,NaN,NaN,1.57,0,0.72
26-Oct-1978,NaN,NaN,NaN,1.57,0,0.72
27-Oct-1978,0,1.65,1.57,1.57,7999,0.72
30-Oct-1978,0,1.5,1.42,1.42,103802,0.65
31-Oct-1978,0,1.5,1.42,1.42,8397,0.65
01-Nov-1978,NaN,NaN,NaN,1.42,0,0.65
02-Nov-1978,NaN,NaN,NaN,1.42,0,0.65
03-Nov-1978,0,1.5,1.42,1.42,12602,0.65
06-Nov-1978,NaN,NaN,NaN,1.42,0,0.65
07-Nov-1978,0,1.5,1.42,1.42,8397,0.65
08-Nov-1978,NaN,NaN,NaN,1.42,0,0.65
09-Nov-1978,0,1.5,1.42,1.42,28202,0.65
10-Nov-1978,0,1.47,1.4,1.4,8397,0.64
13-Nov-1978,NaN,NaN,NaN,1.4,0,0.64
14-Nov-1978,0,1.29,1.21,1.21,18799,0.56
15-Nov-1978,NaN,NaN,NaN,1.24,0,0.57
