Date,Open,High,Low,Close,Volume,AdjClose
07-Nov-2007,7.25,7.25,7.15,7.15,437500,6.65
08-Nov-2007,7.23,7.23,7.2,7.2,5500,6.7
09-Nov-2007,NaN,NaN,NaN,7.2,0,6.7
12-Nov-2007,7.25,7.25,7.25,7.25,3000,6.74
13-Nov-2007,7.25,7.3,7.25,7.3,3000,6.79
14-Nov-2007,7.28,7.28,7.28,7.28,1000,6.77
15-Nov-2007,NaN,NaN,NaN,7.28,0,6.77
16-Nov-2007,NaN,NaN,NaN,7.28,0,6.77
19-Nov-2007,7.27,7.27,7.27,7.27,230200,6.76
20-Nov-2007,7.25,7.25,7.25,7.25,22700,6.74
21-Nov-2007,NaN,NaN,NaN,7.25,0,6.74
23-Nov-2007,7.25,7.25,7.25,7.25,16500,6.74
26-Nov-2007,7.3,7.3,7.3,7.3,300,6.79
27-Nov-2007,NaN,NaN,NaN,7.3,0,6.79
28-Nov-2007,NaN,NaN,NaN,7.3,0,6.79
29-Nov-2007,NaN,NaN,NaN,7.3,0,6.79
30-Nov-2007,7.2,7.22,7.2,7.22,355200,6.72
03-Dec-2007,7.2,7.2,7.2,7.2,4300,6.7
04-Dec-2007,NaN,NaN,NaN,7.2,0,6.7
05-Dec-2007,7.22,7.22,7.22,7.22,150000,6.72
06-Dec-2007,NaN,NaN,NaN,7.22,0,6.72
07-Dec-2007,7.22,7.22,7.21,7.21,60000,6.71
10-Dec-2007,7.22,7.22,7.22,7.22,11000,6.72
11-Dec-2007,NaN,NaN,NaN,7.22,0,6.72
12-Dec-2007,NaN,NaN,NaN,7.22,0,6.72
13-Dec-2007,NaN,NaN,NaN,7.22,0,6.72
14-Dec-2007,NaN,NaN,NaN,7.22,0,6.72
17-Dec-2007,NaN,NaN,NaN,7.22,0,6.72
18-Dec-2007,7.24,7.24,7.24,7.24,2000,6.73
19-Dec-2007,7.24,7.24,7.24,7.24,1000,6.73
20-Dec-2007,NaN,NaN,NaN,7.24,0,6.73
21-Dec-2007,NaN,NaN,NaN,7.24,0,6.73
24-Dec-2007,NaN,NaN,NaN,7.24,0,6.73
26-Dec-2007,NaN,NaN,NaN,7.24,0,6.73
27-Dec-2007,NaN,NaN,NaN,7.24,0,6.73
28-Dec-2007,NaN,NaN,NaN,7.24,0,6.73
31-Dec-2007,NaN,NaN,NaN,7.24,0,6.73
02-Jan-2008,NaN,NaN,NaN,7.24,0,6.73
03-Jan-2008,NaN,NaN,NaN,7.24,0,6.73
04-Jan-2008,NaN,NaN,NaN,7.24,0,6.73
07-Jan-2008,NaN,NaN,NaN,7.24,0,6.73
