Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-2000,7.97,8.12,6.75,7.12,113900,7.12
04-Jan-2000,6.5,6.88,6.44,6.62,148200,6.62
05-Jan-2000,7.25,7.62,6.94,7.38,146800,7.38
06-Jan-2000,7.75,8.19,7.44,8,301300,8
07-Jan-2000,8.06,8.88,7.88,8.25,139700,8.25
10-Jan-2000,8.69,9,8.5,8.94,161400,8.94
11-Jan-2000,9,9.38,8.88,8.88,298900,8.88
12-Jan-2000,9.19,9.69,9,9.62,159600,9.62
13-Jan-2000,9.62,9.88,9.12,9.56,249700,9.56
14-Jan-2000,9.5,10,8.59,8.94,174700,8.94
18-Jan-2000,8.94,9.5,8.75,9.44,136900,9.44
19-Jan-2000,9.44,9.62,9.12,9.5,104000,9.5
20-Jan-2000,9.62,10.06,9.5,9.94,272800,9.94
21-Jan-2000,9.94,12.06,9.94,11.62,418900,11.62
24-Jan-2000,12.03,16.25,12.03,14.44,367500,14.44
25-Jan-2000,14.38,15,12.62,12.88,249200,12.88
26-Jan-2000,13.5,13.56,11.38,11.75,272600,11.75
27-Jan-2000,12.12,12.62,11.19,11.25,193700,11.25
28-Jan-2000,11.81,12.56,11.25,11.62,209800,11.62
31-Jan-2000,11.75,12.5,11.62,12.5,117200,12.5
01-Feb-2000,0,13.25,12.38,13.25,75400,13.25
02-Feb-2000,13.88,14.81,13.75,14.81,148500,14.81
03-Feb-2000,14.94,15.12,14.12,14.38,231300,14.38
04-Feb-2000,14.88,15.56,14.72,14.88,287200,14.88
07-Feb-2000,15.5,16,13.38,13.38,307600,13.38
08-Feb-2000,14.88,15.25,14.12,14.25,264200,14.25
09-Feb-2000,15.12,15.12,14.06,14.25,212500,14.25
10-Feb-2000,14.94,15.12,14.5,14.88,232400,14.88
11-Feb-2000,14.94,15.12,14.88,14.97,167900,14.97
14-Feb-2000,15.25,15.88,14.94,15.88,285900,15.88
15-Feb-2000,16.12,19.5,16.06,19.5,421500,19.5
16-Feb-2000,21,24,20,22.5,478500,22.5
17-Feb-2000,25,25.25,23,25,415800,25
18-Feb-2000,26,26,19.88,20.81,430700,20.81
22-Feb-2000,24.94,25,21.5,23,307100,23
23-Feb-2000,23.62,25,23,24.06,232700,24.06
24-Feb-2000,24.5,24.81,23,23,223300,23
25-Feb-2000,23.56,25.25,23.06,24.5,179500,24.5
28-Feb-2000,24.25,25,23.38,24,105400,24
29-Feb-2000,24,24,22.88,23.06,117000,23.06
01-Mar-2000,NaN,NaN,NaN,23.06,0,23.06
02-Mar-2000,NaN,NaN,NaN,23.06,0,23.06
03-Mar-2000,NaN,NaN,NaN,23.06,0,23.06
06-Mar-2000,NaN,NaN,NaN,23.06,0,23.06
07-Mar-2000,25.12,25.12,23.75,23.75,80300,23.75
08-Mar-2000,24.12,24.12,22.5,23,82800,23
09-Mar-2000,24,24,22.88,22.88,86300,22.88
10-Mar-2000,24,24.5,23.12,23.38,45700,23.38
13-Mar-2000,23.38,23.62,22.88,23,108400,23
14-Mar-2000,22,23.62,22,22.88,101300,22.88
15-Mar-2000,23.06,23.25,22.62,22.62,78900,22.62
16-Mar-2000,23.06,24,22.19,22.25,100600,22.25
17-Mar-2000,23,23.5,22,22,75500,22
20-Mar-2000,23,23,21.88,21.88,64000,21.88
21-Mar-2000,22.38,22.38,20.25,20.5,82500,20.5
22-Mar-2000,21.25,21.25,19,19.5,82400,19.5
23-Mar-2000,19.75,20.25,19,19.25,96500,19.25
24-Mar-2000,20,20.38,19,20.12,120900,20.12
27-Mar-2000,20.38,21.5,20,21,76900,21
28-Mar-2000,22.25,22.25,21,21.62,96300,21.62
29-Mar-2000,22.12,24.06,22,24,161800,24
30-Mar-2000,24.25,25.06,24,24.5,318300,24.5
31-Mar-2000,23.5,24.5,20,20.75,213000,20.75
03-Apr-2000,20.94,21.5,17.75,18,157300,18
04-Apr-2000,18,19.25,13,14,191500,14
05-Apr-2000,15.5,17.5,14,17.25,121100,17.25
06-Apr-2000,19.12,20,18.25,19.38,226600,19.38
07-Apr-2000,19.75,20.62,19,19.31,106000,19.31
10-Apr-2000,19.5,19.5,15.25,15.5,150900,15.5
11-Apr-2000,16.12,16.62,15,16.5,55000,16.5
12-Apr-2000,16.12,16.38,11,11.62,296000,11.62
13-Apr-2000,14.12,16.31,13.88,14.62,170500,14.62
14-Apr-2000,14.25,16.25,11.31,11.75,340400,11.75
17-Apr-2000,11,15.69,10.5,14.5,145600,14.5
18-Apr-2000,14.94,15.44,14.12,14.25,164500,14.25
19-Apr-2000,14.94,15.62,13,13,93900,13
20-Apr-2000,13.75,13.75,12.25,12.94,51400,12.94
24-Apr-2000,12.84,12.94,12,12.94,29200,12.94
25-Apr-2000,0,13,12.84,12.88,8600,12.88
26-Apr-2000,13,13.25,12.75,12.75,20100,12.75
27-Apr-2000,13.56,14.56,13.25,13.5,73800,13.5
28-Apr-2000,13.5,14.62,13.5,14.12,17900,14.12
01-May-2000,14.12,14.25,13.75,13.94,8900,13.94
02-May-2000,13.94,14,13.56,13.56,17600,13.56
03-May-2000,13.5,13.75,13.12,13.12,15800,13.12
04-May-2000,13.28,13.28,12.06,12.25,34600,12.25
05-May-2000,12.12,12.5,11.62,11.75,51400,11.75
08-May-2000,12.03,12.12,11.75,12,53700,12
09-May-2000,12.12,13,11.88,11.88,31400,11.88
10-May-2000,12.12,12.12,10.81,10.81,99700,10.81
11-May-2000,11.12,11.12,10.62,10.62,38900,10.62
12-May-2000,10.75,11,10.69,10.94,29500,10.94
15-May-2000,10.88,10.88,10.62,10.75,17500,10.75
16-May-2000,10.81,11.56,10.75,11.06,82100,11.06
17-May-2000,11.12,11.88,10.94,11.75,40000,11.75
18-May-2000,11.81,11.88,11.12,11.38,25000,11.38
19-May-2000,10.75,10.94,10.5,10.91,46400,10.91
22-May-2000,10.88,10.88,10.25,10.31,29700,10.31
23-May-2000,10.25,10.44,10.25,10.44,5300,10.44
24-May-2000,10.31,10.31,10,10,34900,10
25-May-2000,10.25,10.5,10,10.5,30600,10.5
26-May-2000,10.56,12.38,10.56,12.25,138100,12.25
30-May-2000,11.5,12.25,11.25,11.62,25300,11.62
31-May-2000,12,13.25,12,12.44,52300,12.44
01-Jun-2000,12.38,12.38,12,12.06,5900,12.06
02-Jun-2000,12.81,13.25,12.62,12.62,33500,12.62
05-Jun-2000,13.38,13.62,12.75,12.81,49400,12.81
06-Jun-2000,12.88,13.12,12.19,12.38,55600,12.38
07-Jun-2000,12.5,12.5,11.62,11.94,21300,11.94
08-Jun-2000,12.12,12.25,11.75,12.12,14700,12.12
09-Jun-2000,12.12,12.25,11.81,11.88,16000,11.88
12-Jun-2000,12.12,12.5,12,12.25,15000,12.25
13-Jun-2000,12.25,12.5,12.25,12.25,6400,12.25
14-Jun-2000,12.06,12.25,12.06,12.12,24600,12.12
15-Jun-2000,12.06,12.12,10.88,10.94,46800,10.94
16-Jun-2000,10.88,11.5,10.88,11.38,13300,11.38
19-Jun-2000,11.25,11.75,11.12,11.44,13000,11.44
20-Jun-2000,11.5,11.94,11.5,11.94,27400,11.94
21-Jun-2000,11.75,11.88,11.25,11.38,19300,11.38
22-Jun-2000,11.5,11.5,11.25,11.38,29000,11.38
23-Jun-2000,11.25,12,11.25,12,21700,12
26-Jun-2000,11.25,11.88,11.25,11.69,41600,11.69
27-Jun-2000,11.62,11.94,11.56,11.69,24800,11.69
28-Jun-2000,11.69,13.38,11.5,13.25,94500,13.25
29-Jun-2000,13.38,13.75,12.88,13.75,126800,13.75
30-Jun-2000,13.56,14.12,13.56,13.69,340400,13.69
03-Jul-2000,13.28,13.75,12.88,13.62,49100,13.62
05-Jul-2000,12.97,13.62,12.75,13.62,52800,13.62
06-Jul-2000,13.44,14.12,13.19,14,72300,14
07-Jul-2000,13.88,14,13.16,13.25,24700,13.25
