Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2009,9,10.5,7,10.5,15480,9.92
05-Jan-2009,11.19,11.19,8,8.81,35727,8.33
06-Jan-2009,8.9,11.96,8.65,11.89,53860,11.24
07-Jan-2009,9.92,12.3,9.92,10.24,22141,9.68
08-Jan-2009,10.19,11.45,9,9.91,26139,9.37
09-Jan-2009,9.47,9.81,8.13,9.13,38965,8.63
12-Jan-2009,8.48,8.75,7.67,7.67,62996,7.25
13-Jan-2009,7.69,8.57,6.95,7.18,58953,6.79
14-Jan-2009,6.9,7.4,6.71,6.71,39783,6.34
15-Jan-2009,6.69,7.49,6.5,7.25,42888,6.85
16-Jan-2009,7.28,8,7,7.39,78209,6.98
20-Jan-2009,7.04,7.59,6.92,6.92,58499,6.54
21-Jan-2009,7.03,7.25,6.01,6.95,47633,6.57
22-Jan-2009,6.81,6.81,6.02,6.02,30803,5.69
23-Jan-2009,6.15,6.36,5.92,5.95,19879,5.62
26-Jan-2009,5.94,6.46,5.94,6,26377,5.67
27-Jan-2009,6,6.05,5.75,6,28969,5.67
28-Jan-2009,6.04,6.46,5.88,6.35,80670,6
29-Jan-2009,6.49,6.49,5.75,5.76,27180,5.44
30-Jan-2009,6.74,6.75,5.95,6.06,33681,5.73
02-Feb-2009,5.9,6.23,5.75,5.9,23494,5.58
03-Feb-2009,5.91,6.14,5.75,5.8,30193,5.48
04-Feb-2009,5.77,6.07,5.74,5.75,24203,5.43
05-Feb-2009,5.82,5.98,5.6,5.82,425465,5.5
06-Feb-2009,5.76,5.94,5.58,5.83,52587,5.51
09-Feb-2009,5.85,5.85,5.5,5.64,24080,5.33
10-Feb-2009,5.63,5.7,5.5,5.53,31209,5.23
11-Feb-2009,5.5,5.59,5.4,5.53,16587,5.23
12-Feb-2009,5.27,6.36,5.27,6.36,26471,6.01
13-Feb-2009,6.33,6.81,5.61,5.9,26940,5.58
17-Feb-2009,5.74,6.09,5.52,5.64,28458,5.33
18-Feb-2009,5.51,5.87,5.4,5.46,40789,5.16
19-Feb-2009,5.53,5.58,5.25,5.25,45314,4.96
20-Feb-2009,5.2,5.42,5.2,5.31,34536,5.02
23-Feb-2009,5.32,5.39,4.5,4.73,28496,4.47
24-Feb-2009,4.77,5.98,4.77,5.22,25160,4.93
25-Feb-2009,5.21,5.7,4.81,4.86,23526,4.59
26-Feb-2009,4.88,5.5,4.56,5,27835,4.73
27-Feb-2009,4.96,5.1,4.75,5,20084,4.73
02-Mar-2009,4.84,5.08,4.26,4.28,28578,4.05
03-Mar-2009,4.28,7,4,4.06,55997,3.84
