Date,Open,High,Low,Close,Volume,AdjClose
28-Oct-2009,25.01,20.29,17.95,17.95,10208434,17.95
29-Oct-2009,18.33,19.4,17.71,18.67,1310894,18.67
30-Oct-2009,18.97,19.05,17.35,17.57,520135,17.57
02-Nov-2009,18.1,19.18,17.51,18.4,467551,18.4
03-Nov-2009,18.02,18.87,17.8,18.6,343450,18.6
04-Nov-2009,19.1,19.47,18.65,18.95,554447,18.95
05-Nov-2009,19.29,19.65,18.53,19.3,191669,19.3
06-Nov-2009,18.9,19.71,18.76,19.41,161703,19.41
09-Nov-2009,19.74,20.09,19.61,20.01,164136,20.01
10-Nov-2009,20.12,21.39,19.9,20.24,350999,20.24
11-Nov-2009,19.75,20.82,19.75,20.32,52765,20.32
12-Nov-2009,20.35,20.53,20.11,20.15,97367,20.15
13-Nov-2009,19.99,20.17,19.71,19.94,257038,19.94
16-Nov-2009,20.39,20.39,18.84,18.97,208634,18.97
17-Nov-2009,18.99,19.5,18.99,19.41,88496,19.41
18-Nov-2009,19.81,19.81,18.56,18.85,100243,18.85
19-Nov-2009,18.75,18.75,17.68,17.9,189988,17.9
20-Nov-2009,17.72,18.02,17.6,17.95,116547,17.95
23-Nov-2009,18.63,19.07,18.43,18.73,162385,18.73
24-Nov-2009,18.7,19.16,18.28,18.86,141989,18.86
25-Nov-2009,18.95,19.41,18.86,19.3,144267,19.3
27-Nov-2009,18.58,19.12,18.5,18.97,19788,18.97
30-Nov-2009,19.25,19.41,18,18.5,402857,18.5
01-Dec-2009,18.5,18.79,18.23,18.77,165910,18.77
02-Dec-2009,18.88,19.7,18.84,19.5,161916,19.5
03-Dec-2009,19.48,19.9,19.05,19.51,143706,19.51
04-Dec-2009,19.88,20.17,19.57,20.15,105393,20.15
07-Dec-2009,20.57,21.4,19.83,20.42,197045,20.42
08-Dec-2009,20.5,21,20.14,20.63,134635,20.63
09-Dec-2009,20.65,20.7,20.4,20.5,93376,20.5
10-Dec-2009,20.4,20.94,19.71,20.42,152251,20.42
11-Dec-2009,20.58,20.85,20.31,20.47,61309,20.47
14-Dec-2009,20.55,20.75,20.23,20.25,126690,20.25
15-Dec-2009,20.38,20.8,20.01,20.08,131632,20.08
16-Dec-2009,20,21.14,20,20.92,288620,20.92
17-Dec-2009,20.75,22.11,20.65,21.77,251816,21.77
18-Dec-2009,21.88,22.18,21.13,21.31,856747,21.31
21-Dec-2009,21.72,22.21,21.39,21.97,122925,21.97
22-Dec-2009,22.01,22.32,21.67,21.88,83567,21.88
23-Dec-2009,21.9,23.09,21.9,22.36,74819,22.36
24-Dec-2009,22.52,23.07,22.52,22.63,63734,22.63
28-Dec-2009,22.78,23.31,22.46,23.22,76084,23.22
29-Dec-2009,23.3,24,22.92,23.65,116306,23.65
30-Dec-2009,23.4,23.65,21.87,22.5,149317,22.5
31-Dec-2009,22.56,22.56,21.73,22.24,74448,22.24
04-Jan-2010,22.45,22.45,21.56,22.16,144838,22.16
05-Jan-2010,22.16,22.27,22.04,22.13,62455,22.13
06-Jan-2010,22.04,22.15,21,21.24,200410,21.24
07-Jan-2010,21.25,21.74,21.12,21.48,78889,21.48
08-Jan-2010,21.57,22.59,21.57,22.4,95356,22.4
11-Jan-2010,22.61,22.93,22.3,22.69,71256,22.69
12-Jan-2010,22.54,22.98,21.95,22.24,61002,22.24
13-Jan-2010,22.39,22.52,22.29,22.31,43105,22.31
14-Jan-2010,22.2,22.58,21.91,22.22,49950,22.22
15-Jan-2010,22.34,22.34,21.63,22.09,80113,22.09
19-Jan-2010,22.01,22.07,21.59,22.05,48881,22.05
20-Jan-2010,21.65,22.2,21.65,22.12,53465,22.12
21-Jan-2010,22.09,22.15,21.5,21.51,68629,21.51
22-Jan-2010,21.5,22.22,21.5,21.69,77845,21.69
25-Jan-2010,21.69,22.13,21.4,21.51,106227,21.51
26-Jan-2010,21.51,21.7,20.76,20.85,76578,20.85
27-Jan-2010,20.64,21.17,20.64,21.14,13883,21.14
28-Jan-2010,21.32,21.56,19.95,20.12,69982,20.12
29-Jan-2010,20.04,21.04,20.01,21,135792,21
01-Feb-2010,21,21.26,20.35,20.6,59744,20.6
02-Feb-2010,20.67,20.73,20.17,20.66,165045,20.66
03-Feb-2010,20.58,20.91,20.38,20.5,114428,20.5
04-Feb-2010,20.32,20.32,19.41,19.75,236818,19.75
05-Feb-2010,19.89,20.02,19.48,19.9,135273,19.9
08-Feb-2010,19.68,20.02,19.48,19.83,92383,19.83
09-Feb-2010,19.98,21.11,19.98,20.57,80850,20.57
10-Feb-2010,20.64,21.46,20.64,21.4,57684,21.4
11-Feb-2010,21.31,21.74,21.2,21.64,64019,21.64
12-Feb-2010,21.52,22.38,21.13,21.33,108087,21.33
16-Feb-2010,21.55,22.18,20.72,22,215437,22
17-Feb-2010,21.95,22.3,20.53,20.61,201792,20.61
18-Feb-2010,20.65,21.21,20.33,21.16,119310,21.16
19-Feb-2010,21.16,21.5,20.85,20.93,117733,20.93
