Date,Open,High,Low,Close,Volume,AdjClose
26-Nov-1991,0,2.41,2.25,2.33,2106000,2.33
27-Nov-1991,0,2.41,2.25,2.25,212001,2.25
29-Nov-1991,0,2.41,2.25,2.25,13800,2.25
02-Dec-1991,0,2.41,2.25,2.41,390099,2.41
03-Dec-1991,0,2.41,2.33,2.33,267000,2.33
04-Dec-1991,0,2.41,2.33,2.33,97299,2.33
05-Dec-1991,0,2.41,2.33,2.33,164901,2.33
06-Dec-1991,0,2.41,2.33,2.37,85899,2.37
09-Dec-1991,0,2.41,2.33,2.33,75699,2.33
10-Dec-1991,0,2.37,2.33,2.33,126999,2.33
11-Dec-1991,0,2.33,2.33,2.33,84099,2.33
12-Dec-1991,0,2.41,2.33,2.33,94899,2.33
13-Dec-1991,0,2.41,2.33,2.33,66699,2.33
16-Dec-1991,0,2.41,2.33,2.33,39000,2.33
17-Dec-1991,0,2.41,2.33,2.33,78099,2.33
18-Dec-1991,0,2.41,2.33,2.41,31500,2.41
19-Dec-1991,0,2.41,2.33,2.33,24600,2.33
20-Dec-1991,0,2.41,2.33,2.33,173001,2.33
23-Dec-1991,0,2.33,2.33,2.33,77499,2.33
24-Dec-1991,0,2.41,2.33,2.33,41700,2.33
26-Dec-1991,0,2.41,2.33,2.37,265500,2.37
27-Dec-1991,0,2.41,2.33,2.33,49800,2.33
30-Dec-1991,0,2.33,2.33,2.33,60999,2.33
31-Dec-1991,0,2.41,2.33,2.33,395499,2.33
02-Jan-1992,0,2.41,2.33,2.33,70599,2.33
03-Jan-1992,0,2.41,2.16,2.25,371199,2.25
06-Jan-1992,0,2.41,2.25,2.29,201501,2.29
07-Jan-1992,0,2.41,2.25,2.41,367599,2.41
08-Jan-1992,0,2.41,2.25,2.33,215301,2.33
09-Jan-1992,0,2.41,2.33,2.33,358899,2.33
10-Jan-1992,0,2.41,2.25,2.41,153501,2.41
13-Jan-1992,0,2.41,2.25,2.25,80499,2.25
14-Jan-1992,0,2.41,2.25,2.41,354099,2.41
15-Jan-1992,0,2.41,2.33,2.41,128499,2.41
16-Jan-1992,0,2.41,2.33,2.41,251700,2.41
17-Jan-1992,0,2.58,2.33,2.41,387699,2.41
20-Jan-1992,0,2.58,2.41,2.58,306900,2.58
21-Jan-1992,0,2.83,2.41,2.83,753501,2.83
22-Jan-1992,0,2.83,2.66,2.66,348600,2.66
23-Jan-1992,0,2.83,2.66,2.66,532401,2.66
24-Jan-1992,0,2.83,2.58,2.58,199701,2.58
27-Jan-1992,0,2.75,2.58,2.75,123099,2.75
28-Jan-1992,0,2.75,2.58,2.58,69099,2.58
29-Jan-1992,0,2.75,2.58,2.58,244701,2.58
30-Jan-1992,0,2.75,2.58,2.75,94899,2.75
31-Jan-1992,0,2.75,2.58,2.75,90699,2.75
03-Feb-1992,0,2.75,2.62,2.75,155901,2.75
04-Feb-1992,0,2.83,2.58,2.58,186201,2.58
05-Feb-1992,0,2.83,2.58,2.58,93999,2.58
06-Feb-1992,0,2.83,2.58,2.66,78699,2.66
07-Feb-1992,0,2.83,2.66,2.75,157701,2.75
10-Feb-1992,0,2.91,2.66,2.83,438999,2.83
11-Feb-1992,0,3.08,2.75,2.91,384399,2.91
12-Feb-1992,0,3.08,2.83,3.08,203301,3.08
13-Feb-1992,0,3.25,2.91,3,212601,3
14-Feb-1992,0,3.16,3,3.16,415599,3.16
18-Feb-1992,0,3.16,3,3,217101,3
19-Feb-1992,0,3.16,3,3,59499,3
20-Feb-1992,0,3.16,3,3.16,69699,3.16
21-Feb-1992,0,3.16,3,3,50799,3
24-Feb-1992,0,3.16,3,3,57699,3
25-Feb-1992,0,3.16,2.91,2.91,258900,2.91
26-Feb-1992,0,3.16,2.91,3.04,171501,3.04
27-Feb-1992,0,3.16,3,3,147699,3
28-Feb-1992,0,3.25,3,3.16,54099,3.16
02-Mar-1992,0,3.33,3.08,3.33,179001,3.33
03-Mar-1992,0,3.58,3.25,3.41,663999,3.41
04-Mar-1992,0,3.58,3.41,3.54,363999,3.54
05-Mar-1992,0,3.58,3.33,3.33,358599,3.33
06-Mar-1992,0,3.5,3.16,3.29,224901,3.29
09-Mar-1992,0,3.33,3.16,3.33,16800,3.33
10-Mar-1992,0,3.33,3.16,3.29,100899,3.29
11-Mar-1992,0,3.33,3.25,3.33,48300,3.33
12-Mar-1992,0,3.33,3.25,3.29,125199,3.29
13-Mar-1992,0,3.41,3.33,3.41,119499,3.41
16-Mar-1992,0,3.41,3.33,3.41,121599,3.41
17-Mar-1992,0,3.41,3.33,3.33,158301,3.33
18-Mar-1992,0,3.41,3.33,3.37,102699,3.37
19-Mar-1992,0,3.41,3.33,3.41,84699,3.41
20-Mar-1992,NaN,NaN,NaN,3.41,0,3.41
23-Mar-1992,0,3.41,3.33,3.41,66399,3.41
24-Mar-1992,0,3.41,3.33,3.41,148299,3.41
25-Mar-1992,0,3.41,3.33,3.41,92499,3.41
26-Mar-1992,0,3.41,3.33,3.41,30900,3.41
27-Mar-1992,0,3.41,3.16,3.29,119499,3.29
30-Mar-1992,0,3.33,3.16,3.21,107199,3.21
31-Mar-1992,0,3.33,3.16,3.33,27900,3.33
01-Apr-1992,0,3.33,3.16,3.25,28500,3.25
02-Apr-1992,0,3.33,3.16,3.16,18600,3.16
03-Apr-1992,0,3.25,2.91,3.08,56799,3.08
06-Apr-1992,0,3.08,3,3,29700,3
07-Apr-1992,0,3.25,3,3.08,65199,3.08
08-Apr-1992,0,3.25,3.08,3.25,83799,3.25
09-Apr-1992,0,3.25,3.08,3.25,30600,3.25
10-Apr-1992,0,3.25,3.08,3.08,4200,3.08
13-Apr-1992,0,3.21,3.08,3.21,5100,3.21
14-Apr-1992,0,3.25,3.08,3.25,35400,3.25
15-Apr-1992,0,3.33,3.08,3.16,39900,3.16
16-Apr-1992,0,3.16,2.91,3.08,150201,3.08
20-Apr-1992,0,3.08,2.91,3,50499,3
21-Apr-1992,0,3,2.87,3,23400,3
22-Apr-1992,0,3.08,2.87,3,141999,3
23-Apr-1992,0,3.25,3,3.25,209301,3.25
24-Apr-1992,0,3.25,3.08,3.08,69999,3.08
27-Apr-1992,0,3.16,3.08,3.08,39000,3.08
28-Apr-1992,0,3.16,2.91,3.04,64599,3.04
29-Apr-1992,0,2.91,2.91,2.91,3600,2.91
30-Apr-1992,0,3.08,3,3,70599,3
01-May-1992,0,2.91,2.91,2.91,2100,2.91
04-May-1992,0,3.08,3,3.08,78099,3.08
05-May-1992,0,3.08,3,3.04,39600,3.04
06-May-1992,0,3.08,3,3.04,27600,3.04
07-May-1992,0,3.08,3,3,205701,3
08-May-1992,0,3.08,3,3,5700,3
11-May-1992,0,3.08,3,3,96999,3
12-May-1992,0,3.08,2.91,3,73299,3
13-May-1992,0,2.91,2.91,2.91,2400,2.91
14-May-1992,0,3,2.91,2.91,9600,2.91
15-May-1992,0,3,2.91,3,13800,3
18-May-1992,0,3,2.83,2.83,124899,2.83
19-May-1992,0,2.83,2.75,2.75,45900,2.75
20-May-1992,0,2.83,2.75,2.75,27300,2.75
21-May-1992,0,2.83,2.75,2.83,6300,2.83
22-May-1992,0,2.83,2.75,2.79,54099,2.79
26-May-1992,0,2.83,2.75,2.79,43800,2.79
27-May-1992,0,2.83,2.75,2.79,55299,2.79
28-May-1992,0,2.83,2.75,2.75,5700,2.75
29-May-1992,0,2.83,2.75,2.75,41700,2.75
01-Jun-1992,0,2.79,2.75,2.75,198801,2.75
02-Jun-1992,0,2.79,2.75,2.79,10200,2.79
03-Jun-1992,0,2.83,2.75,2.79,11100,2.79
04-Jun-1992,0,2.83,2.75,2.83,21000,2.83
05-Jun-1992,0,2.79,2.66,2.66,24900,2.66
08-Jun-1992,0,2.66,2.58,2.58,5400,2.58
09-Jun-1992,0,2.75,2.58,2.58,37800,2.58
10-Jun-1992,0,2.75,2.58,2.58,159501,2.58
11-Jun-1992,0,2.75,2.75,2.75,600,2.75
12-Jun-1992,0,2.75,2.58,2.75,14400,2.75
15-Jun-1992,0,2.58,2.58,2.58,3900,2.58
16-Jun-1992,0,2.75,2.58,2.58,17100,2.58
17-Jun-1992,0,2.66,2.16,2.33,2680500,2.33
18-Jun-1992,0,2.41,2.16,2.41,138099,2.41
19-Jun-1992,0,2.41,2.25,2.41,445299,2.41
22-Jun-1992,0,2.41,2.25,2.33,19800,2.33
23-Jun-1992,0,2.5,2.33,2.46,21600,2.46
24-Jun-1992,0,2.5,2.37,2.5,11700,2.5
25-Jun-1992,0,2.5,2.41,2.5,4500,2.5
26-Jun-1992,0,2.5,2.33,2.5,11100,2.5
29-Jun-1992,0,2.58,2.5,2.58,207801,2.58
30-Jun-1992,0,2.66,2.5,2.58,111399,2.58
01-Jul-1992,0,2.75,2.58,2.75,9000,2.75
02-Jul-1992,0,2.66,2.58,2.66,4500,2.66
06-Jul-1992,0,2.75,2.75,2.75,2700,2.75
07-Jul-1992,0,2.75,2.58,2.75,8700,2.75
08-Jul-1992,0,2.58,2.58,2.58,300,2.58
09-Jul-1992,0,2.58,2.58,2.58,600,2.58
10-Jul-1992,0,2.83,2.58,2.83,54099,2.83
13-Jul-1992,0,2.83,2.66,2.66,40200,2.66
14-Jul-1992,0,2.83,2.66,2.83,22200,2.83
15-Jul-1992,0,2.66,2.66,2.66,6000,2.66
16-Jul-1992,0,2.83,2.66,2.83,18600,2.83
17-Jul-1992,0,2.83,2.66,2.83,6900,2.83
20-Jul-1992,0,2.83,2.66,2.83,24900,2.83
21-Jul-1992,0,2.83,2.66,2.66,9000,2.66
22-Jul-1992,0,2.91,2.75,2.87,115599,2.87
23-Jul-1992,0,3.08,2.91,2.91,193401,2.91
24-Jul-1992,0,3.08,2.91,2.91,111099,2.91
27-Jul-1992,0,3.08,2.91,3.08,44100,3.08
28-Jul-1992,0,3.08,2.91,3,202701,3
29-Jul-1992,0,3.08,2.91,2.91,7200,2.91
30-Jul-1992,0,3.08,2.91,2.91,18900,2.91
31-Jul-1992,0,3.08,2.91,2.91,148299,2.91
03-Aug-1992,0,3.08,2.91,2.91,8400,2.91
04-Aug-1992,0,3.08,2.91,3.08,64599,3.08
05-Aug-1992,0,3.08,2.91,2.91,13800,2.91
06-Aug-1992,0,3.08,2.91,2.91,6600,2.91
07-Aug-1992,0,3.08,2.91,2.91,91599,2.91
10-Aug-1992,0,3.08,3.08,3.08,300,3.08
11-Aug-1992,0,3.08,2.91,3.08,21300,3.08
12-Aug-1992,0,3,2.91,2.91,7800,2.91
13-Aug-1992,0,2.96,2.91,2.91,3900,2.91
14-Aug-1992,0,3.04,2.91,2.91,8400,2.91
17-Aug-1992,0,3.16,2.91,3.08,54999,3.08
18-Aug-1992,0,3.16,3,3,31500,3
19-Aug-1992,0,3.16,3,3.12,22800,3.12
20-Aug-1992,0,3.16,3,3,36600,3
21-Aug-1992,0,3.25,3.08,3.25,202401,3.25
24-Aug-1992,0,3.25,3.08,3.08,21600,3.08
25-Aug-1992,0,3.25,3,3,125799,3
26-Aug-1992,0,3.04,3,3,29700,3
27-Aug-1992,0,3.12,3,3,106899,3
